identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0006702037;WRIGLEY FRANCE S.N.C.;2018;Air;Hydroflurocarbures (HFC);340;kg/an
0052900281;EARL QUEMENEUR BERNARD;2018;Air;Ammoniac (NH3);14500;kg/an
0079526801;Station de dépollution de Bonneuil-en-France;2018;Sol;Chrome et composés (exprimés en tant que Cr);379;kg/an
0002900126;SCEA GONIDEC;2018;Air;Ammoniac (NH3);12900;kg/an
0003202504;EXTRACTHIVE CHEMICAL PRODUCTS-EX ISOCHEM;2018;Air;Hydroflurocarbures (HFC);173;kg/an
0003300377;MACON ENERGIES SERVICES;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;23900000;kg/an
0003300377;MACON ENERGIES SERVICES;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);23900000;kg/an
0003300469;Solvay Opérations France;2018;Air;Ammoniac (NH3);11500;kg/an
0003300469;Solvay Opérations France;2018;Air;Composés organiques volatils non méthaniques (COVNM);47800;kg/an
0003300469;Solvay Opérations France;2018;Air;Hydrochlorofluorocarbures (HCFC);2350;kg/an
0003300469;Solvay Opérations France;2018;Air;Hydroflurocarbures (HFC);3920;kg/an
0003300469;Solvay Opérations France;2018;Air;Oxydes de soufre (SOx/SO2);153000;kg/an
0003300469;Solvay Opérations France;2018;Air;Oxydes d'azote (NOx/NO2);327000;kg/an
0003300469;Solvay Opérations France;2018;Air;Protoxyde d'azote (N2O);16800;kg/an
0003300469;Solvay Opérations France;2018;Air;Tétrachlorométhane (TCM, tétrachlorure de carbone);390;kg/an
0003300469;Solvay Opérations France;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;419000000;kg/an
0003300469;Solvay Opérations France;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);419000000;kg/an
0003800279;BIOGAZ DU HAUT PAYS (SAS);2018;Sol;Zinc et composés (exprimés en tant que Zn);267;kg/an
0005100009;SUEZ RV NORD EST;2018;Air;Méthane (CH4);222000;kg/an
0005100009;SUEZ RV NORD EST;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);11000000;kg/an
0005100009;SUEZ RV NORD EST;2018;Air;Dioxyde de carbone (CO2) d'origine biomasse;11000000;kg/an
0005100028;SODELEG;2018;Air;Composés organiques volatils non méthaniques (COVNM);39900;kg/an
0005100028;SODELEG;2018;Air;Méthane (CH4);251000;kg/an
0005100096;MATERNE;2018;Air;Hydroflurocarbures (HFC);123;kg/an
0005100097;NESTLE France SAS;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;17300000;kg/an
0005100097;NESTLE France SAS;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);17300000;kg/an
0005100114;TEREOS FRANCE (BUCY);2018;Air;Composés organiques volatils non méthaniques (COVNM);48300;kg/an
0005101758;EUROSERUM;2018;Eau (indirect);Demande biologique en oxygène (DBO5);121000;kg/an
0005101758;EUROSERUM;2018;Eau (indirect);Demande chimique en oxygène (DCO);236000;kg/an
0005101887;AJINOMOTO ANIMAL NUTRITION EUROPE;2018;Air;Hydroflurocarbures (HFC);615;kg/an
0005101887;AJINOMOTO ANIMAL NUTRITION EUROPE;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;21400000;kg/an
0005101887;AJINOMOTO ANIMAL NUTRITION EUROPE;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);21400000;kg/an
0005101887;AJINOMOTO ANIMAL NUTRITION EUROPE;2018;Eau (direct);Demande chimique en oxygène (DCO);344000;kg/an
0005101887;AJINOMOTO ANIMAL NUTRITION EUROPE;2018;Sol;Chrome et composés (exprimés en tant que Cr);112;kg/an
0005101887;AJINOMOTO ANIMAL NUTRITION EUROPE;2018;Sol;Cuivre et composés (exprimés en tant que Cu);97.6;kg/an
0005101887;AJINOMOTO ANIMAL NUTRITION EUROPE;2018;Sol;Fer et composés (exprimés en tant que Fe);93300;kg/an
0005101887;AJINOMOTO ANIMAL NUTRITION EUROPE;2018;Sol;Manganèse et composés (exprimés en tant que Mn);922;kg/an
0005101887;AJINOMOTO ANIMAL NUTRITION EUROPE;2018;Sol;Nickel et composés (exprimés en tant que Ni);85.2;kg/an
0005101887;AJINOMOTO ANIMAL NUTRITION EUROPE;2018;Sol;Zinc et composés (exprimés en tant que Zn);510;kg/an
0005101897;IDEX Environnement Picardie (ex Valorga);2018;Sol;Azote total;63400;kg/an
0005101897;IDEX Environnement Picardie (ex Valorga);2018;Sol;Phosphore total;7800;kg/an
0005101900;AMIENS ENERGIES;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;19500000;kg/an
0005101900;AMIENS ENERGIES;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);19500000;kg/an
0005101904;PROCTER et  GAMBLE AMIENS;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;13800000;kg/an
0005101904;PROCTER et  GAMBLE AMIENS;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);13800000;kg/an
0005101916;Mersen (ex CARBONE LORRAINE);2018;Eau (indirect);Demande biologique en oxygène (DBO5);96900;kg/an
0005101916;Mersen (ex CARBONE LORRAINE);2018;Eau (indirect);Demande chimique en oxygène (DCO);260000;kg/an
0005102011;PARICHE Gérard SAS;2018;Air;Composés organiques volatils non méthaniques (COVNM);33600;kg/an
0005102027;SECODE;2018;Air;Méthane (CH4);968000;kg/an
0005102027;SECODE;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);14300000;kg/an
0005102027;SECODE;2018;Air;Dioxyde de carbone (CO2) d'origine biomasse;14300000;kg/an
0005102078;DS SMITH PACKAGING EX OTOR PICARDIE;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;29600000;kg/an
0005102078;DS SMITH PACKAGING EX OTOR PICARDIE;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);29600000;kg/an
0005102147;SICA PULPE HAUTE PICARDIE;2018;Air;Acétaldéhyde (aldéhyde acétique  éthanal);954;kg/an
0005102147;SICA PULPE HAUTE PICARDIE;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;27400000;kg/an
0005102147;SICA PULPE HAUTE PICARDIE;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);27400000;kg/an
0005102153;SAINT LOUIS SUCRE;2018;Air;Oxydes d'azote (NOx/NO2);147000;kg/an
0005102153;SAINT LOUIS SUCRE;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;113000000;kg/an
0005102153;SAINT LOUIS SUCRE;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);127000000;kg/an
0005102153;SAINT LOUIS SUCRE;2018;Air;Dioxyde de carbone (CO2) d'origine biomasse;14200000;kg/an
0005102153;SAINT LOUIS SUCRE;2018;Sol;Arsenic et composés (exprimés en tant que As);6.86;kg/an
0005102169;DAILYCER FRANCE SAS;2018;Air;Hydroflurocarbures (HFC);262;kg/an
0005102308;SMIRTOM Picardie Ouest - site de Thieulloy l'Abbaye / TRINOVAL;2018;Air;Méthane (CH4);714000;kg/an
0005102355;STELIA AEROSPACE;2018;Air;Composés organiques volatils non méthaniques (COVNM);54900;kg/an
0005102362;AJINOMOTO FOODS EUROPE;2018;Eau (indirect);Azote total;401000;kg/an
0005102362;AJINOMOTO FOODS EUROPE;2018;Eau (indirect);Demande chimique en oxygène (DCO);2040000;kg/an
0005102372;SUEZ ENVIRONNEMENT;2018;Air;Méthane (CH4);140000;kg/an
0005102374;BONDUELLE EUROPE LONG LIFE;2018;Sol;Zinc et composés (exprimés en tant que Zn);104;kg/an
0005102404;TEREOS  STARCH & SWEETENER EUROPE;2018;Air;Protoxyde d'azote (N2O);10300;kg/an
0005102404;TEREOS  STARCH & SWEETENER EUROPE;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;236000000;kg/an
0005102404;TEREOS  STARCH & SWEETENER EUROPE;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);236000000;kg/an
0005102404;TEREOS  STARCH & SWEETENER EUROPE;2018;Eau (direct);Chrome et composés (exprimés en tant que Cr);71.5;kg/an
0005102404;TEREOS  STARCH & SWEETENER EUROPE;2018;Eau (direct);Cuivre et composés (exprimés en tant que Cu);100;kg/an
0005102404;TEREOS  STARCH & SWEETENER EUROPE;2018;Sol;Zinc et composés (exprimés en tant que Zn);152;kg/an
0005102417;COVED;2018;Air;Méthane (CH4);397000;kg/an
0005102490;SITPA  Rosieres;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);34900000;kg/an
0005102490;SITPA  Rosieres;2018;Air;Dioxyde de carbone (CO2) d'origine biomasse;34900000;kg/an
0005102505;ROYE sucrerie et conditionnement;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;73900000;kg/an
0005102505;ROYE sucrerie et conditionnement;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);73900000;kg/an
0005102507;DESHYDRATATION DE PULPES SUCRERIE ROYE;2018;Air;Composés organiques volatils non méthaniques (COVNM);38700;kg/an
0005102507;DESHYDRATATION DE PULPES SUCRERIE ROYE;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;34100000;kg/an
0005102507;DESHYDRATATION DE PULPES SUCRERIE ROYE;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);34100000;kg/an
0005102581;ROQUETTE  FRERES;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;42100000;kg/an
0005102581;ROQUETTE  FRERES;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);42100000;kg/an
0005102581;ROQUETTE  FRERES;2018;Eau (direct);Nickel et composés (exprimés en tant que Ni);30.7;kg/an
0005102581;ROQUETTE  FRERES;2018;Sol;Azote total;520000;kg/an
0005102581;ROQUETTE  FRERES;2018;Sol;Cuivre et composés (exprimés en tant que Cu);58;kg/an
0005102581;ROQUETTE  FRERES;2018;Sol;Nickel et composés (exprimés en tant que Ni);30.6;kg/an
0005102581;ROQUETTE  FRERES;2018;Sol;Nonylphénols et éthoxylates de nonylphénol (NP/NPE);2.2;kg/an
0005102581;ROQUETTE  FRERES;2018;Sol;Phosphore total;114000;kg/an
0005102581;ROQUETTE  FRERES;2018;Sol;Zinc et composés (exprimés en tant que Zn);441;kg/an
0005102587;RKW SFE SAS;2018;Air;Composés organiques volatils non méthaniques (COVNM);100000;kg/an
0005102598;Cristal Union, établissement de Sainte Emilie;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;67000000;kg/an
0005102598;Cristal Union, établissement de Sainte Emilie;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);67000000;kg/an
0005102598;Cristal Union, établissement de Sainte Emilie;2018;Sol;Arsenic et composés (exprimés en tant que As);10.4;kg/an
0005102598;Cristal Union, établissement de Sainte Emilie;2018;Sol;Zinc et composés (exprimés en tant que Zn);383;kg/an
0005103204;EDILIANS tuilerie de St Germer;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;32000000;kg/an
0005103204;EDILIANS tuilerie de St Germer;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);32000000;kg/an
0005103657;Flint Groupe France;2018;Air;Composés organiques volatils non méthaniques (COVNM);145000;kg/an
0005103728;SOCOPIC-Sté Cogénér.Picardie (ex.Dalkia);2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;103000000;kg/an
0005103728;SOCOPIC-Sté Cogénér.Picardie (ex.Dalkia);2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);103000000;kg/an
0005103811;ESIANE;2018;Air;Oxydes d'azote (NOx/NO2);129000;kg/an
0005103811;ESIANE;2018;Air;Dioxyde de carbone (CO2) d'origine non biomasse;61100000;kg/an
0005103811;ESIANE;2018;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);141000000;kg/an
0005103811;ESIANE;2018;Air;Dioxyde de carbone (CO2) d'origine biomasse;80200000;kg/an
0005103859;GALLOO FRANCE SA AMIENS (EX NORMAND);2018;Eau (direct);Mercure et composés (exprimés en tant que Hg);1.22;kg/an
