identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0003300469;Solvay Opérations France;2017;Air;Hydrochlorofluorocarbures (HCFC);3640;kg/an
0007205801;Centre Multifiliaire de Valorisation des Déchets;2017;Air;Dioxyde de carbone (CO2) d'origine biomasse;14100000;kg/an
0052300038;SAS LES MONTAGNES D'AUZANCES;2017;Sol;Phosphore total;5720;kg/an
0005208150;THEBAULT PLY-LAND S.A.S;2017;Air;Aldéhyde formique (formaldéhyde);64500;kg/an
0006401556;ORANGINA SUNTORY FRANCE PRODUCTION;2017;Air;Dioxyde de carbone (CO2) d'origine non biomasse;236000000;kg/an
0006401556;ORANGINA SUNTORY FRANCE PRODUCTION;2017;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);236000000;kg/an
0007000622;SAVE;2017;Air;Oxydes d'azote (NOx/NO2);2080000;kg/an
0007001926;LFB Biomédicaments;2017;Eau (indirect);Phosphore total;7600;kg/an
0018200064;KALHYGE (Ex Ininital BTB);2017;Eau (indirect);Cadmium et composés (exprimés en tant que Cd);71;kg/an
0052902038;SCEA JEZEQUEL;2017;Air;Ammoniac (NH3);16900;kg/an
0003300469;Solvay Opérations France;2017;Air;Composés organiques volatils non méthaniques (COVNM);45500;kg/an
0003300469;Solvay Opérations France;2017;Air;Hydroflurocarbures (HFC);3910;kg/an
0003300469;Solvay Opérations France;2017;Air;Oxydes de soufre (SOx/SO2);173000;kg/an
0003300469;Solvay Opérations France;2017;Air;Oxydes d'azote (NOx/NO2);368000;kg/an
0003300469;Solvay Opérations France;2017;Air;Protoxyde d'azote (N2O);17000;kg/an
0003300469;Solvay Opérations France;2017;Air;Tétrachlorométhane (TCM, tétrachlorure de carbone);375;kg/an
0003300469;Solvay Opérations France;2017;Air;Dioxyde de carbone (CO2) d'origine non biomasse;445000000;kg/an
0003300469;Solvay Opérations France;2017;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);445000000;kg/an
0005100009;SUEZ RV NORD EST;2017;Air;Méthane (CH4);547000;kg/an
0005100009;SUEZ RV NORD EST;2017;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);15100000;kg/an
0005100009;SUEZ RV NORD EST;2017;Air;Dioxyde de carbone (CO2) d'origine biomasse;15100000;kg/an
0005100028;SODELEG;2017;Air;Composés organiques volatils non méthaniques (COVNM);37100;kg/an
0005100028;SODELEG;2017;Air;Méthane (CH4);338000;kg/an
0005100097;NESTLE France SAS;2017;Air;Dioxyde de carbone (CO2) d'origine non biomasse;17200000;kg/an
0005100097;NESTLE France SAS;2017;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);17200000;kg/an
0005100114;TEREOS FRANCE (BUCY);2017;Air;Composés organiques volatils non méthaniques (COVNM);78800;kg/an
0005100114;TEREOS FRANCE (BUCY);2017;Air;Oxydes d'azote (NOx/NO2);122000;kg/an
0005100114;TEREOS FRANCE (BUCY);2017;Air;Dioxyde de carbone (CO2) d'origine non biomasse;135000000;kg/an
0005100114;TEREOS FRANCE (BUCY);2017;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);156000000;kg/an
0005100114;TEREOS FRANCE (BUCY);2017;Air;Dioxyde de carbone (CO2) d'origine biomasse;21200000;kg/an
0005100143;WEPA GREENFIELD SAS;2017;Air;Dioxyde de carbone (CO2) d'origine non biomasse;21200000;kg/an
0005100143;WEPA GREENFIELD SAS;2017;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);21200000;kg/an
0005100143;WEPA GREENFIELD SAS;2017;Eau (direct);Demande chimique en oxygène (DCO);182000;kg/an
0005100143;WEPA GREENFIELD SAS;2017;Sol;Cadmium et composés (exprimés en tant que Cd);7.87;kg/an
0005100143;WEPA GREENFIELD SAS;2017;Sol;Chrome et composés (exprimés en tant que Cr);339;kg/an
0005100143;WEPA GREENFIELD SAS;2017;Sol;Cuivre et composés (exprimés en tant que Cu);1770;kg/an
