identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0007000992;H2D;2005;Sol;Benzène;1;kg/an
0005500334;SECANIM BRETAGNE;2005;Air;Chlore;100;kg/an
0006103676;Métropole de Lyon;2005;Air;Mercure et composés (exprimés en tant que Hg);29;kg/an
0006200067;EDF - CCG Blénod;2005;Air;Arsenic et composés (exprimés en tant que As);61;kg/an
0006501936;SAM MONTEREAU;2005;Air;Manganèse et composés (exprimés en tant que Mn);658;kg/an
0006700633;MARS PF;2005;Air;Hydrochlorofluorocarbures (HCFC);644;kg/an
0007100125;STSM - Galvanisation Reunion;2005;Air;Zinc et composés (exprimés en tant que Zn);773;kg/an
0007002969;EDILIANS ( Ex IMERYS TC);2005;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);10100000;kg/an
0007000956;ARCELORMITTAL FRANCE;2005;Eau (direct);Phénols (en tant que C total);163;kg/an
0007000956;ARCELORMITTAL FRANCE;2005;Eau (direct);Plomb et composés (exprimés en tant que Pb);74.9;kg/an
0007000956;ARCELORMITTAL FRANCE;2005;Eau (direct);Zinc et composés (exprimés en tant que Zn);1690;kg/an
0007000962;IMERYS ALUMINATES - Usine de Dunkerque;2005;Air;Cadmium et composés (exprimés en tant que Cd);18.6;kg/an
0007000962;IMERYS ALUMINATES - Usine de Dunkerque;2005;Air;Oxydes de soufre (SOx/SO2);759000;kg/an
0007000962;IMERYS ALUMINATES - Usine de Dunkerque;2005;Air;Oxydes d'azote (NOx/NO2);268000;kg/an
0007000962;IMERYS ALUMINATES - Usine de Dunkerque;2005;Air;Chlore;3420;kg/an
0007000962;IMERYS ALUMINATES - Usine de Dunkerque;2005;Air;Fluor et ses composés (F);434;kg/an
0007000976;CALAIS ENERGIE;2005;Air;Dioxyde de carbone (CO2) d'origine biomasse;12400000;kg/an
0007000979;INTEROR;2005;Air;Composés organiques volatils non méthaniques (COVNM);55000;kg/an
0007000979;INTEROR;2005;Eau (direct);Chloroforme (trichlorométhane);248;kg/an
0007000985;CRODA CHOCQUES SAS;2005;Air;Composés organiques volatils non méthaniques (COVNM);55600;kg/an
0007000985;CRODA CHOCQUES SAS;2005;Air;Chlorométhane (chlorure de méthyle);8100;kg/an
0007000985;CRODA CHOCQUES SAS;2005;Air;Oxyde de propylène (1,2-époxypropane);41700;kg/an
0007000985;CRODA CHOCQUES SAS;2005;Air;Oxyde d'éthylène;5290;kg/an
0007000987;VENATOR Pigments France;2005;Air;Oxydes de soufre (SOx/SO2);152000;kg/an
0007000987;VENATOR Pigments France;2005;Eau (direct);Phosphore total;6970;kg/an
0007000991;HERTA;2005;Eau (indirect);Carbone organique total (en tant que C total ou DCO/3);109000;kg/an
0007000991;HERTA;2005;Eau (indirect);Demande biologique en oxygène (DBO5);177000;kg/an
0007000991;HERTA;2005;Eau (indirect);Demande chimique en oxygène (DCO);327000;kg/an
0007000992;H2D;2005;Air;Composés organiques volatils non méthaniques (COVNM);441000;kg/an
0007000999;UIOM d' Henin Beaumont;2005;Air;Dioxyde de carbone (CO2) d'origine biomasse;23500000;kg/an
0007000999;UIOM d' Henin Beaumont;2005;Air;Acide fluorhydrique (flurorure d'hydrogène);527;kg/an
0007000999;UIOM d' Henin Beaumont;2005;Air;Antimoine et composés (exprimés en tant que Sb);10;kg/an
0007000999;UIOM d' Henin Beaumont;2005;Air;Cobalt et composés (exprimés en tant que Co);1.6;kg/an
0007001004;INOVA OPERATIONS SAS;2005;Air;Mercure et composés (exprimés en tant que Hg);33;kg/an
0007001104;SCHUR FLEXIBLES UNI ROTO (ex VITROCELLE);2005;Air;Acétaldéhyde (aldéhyde acétique  éthanal);600000;kg/an
0007001105;LUNOR Coopérative;2005;Sol;Carbone organique total (en tant que C total ou DCO/3);135000;kg/an
0007001105;LUNOR Coopérative;2005;Sol;Demande chimique en oxygène (DCO);406000;kg/an
0007001124;COCA-COLA PRODUCTION SAS;2005;Eau (indirect);Carbone organique total (en tant que C total ou DCO/3);200000;kg/an
0007001124;COCA-COLA PRODUCTION SAS;2005;Eau (indirect);Demande biologique en oxygène (DBO5);292000;kg/an
0007001124;COCA-COLA PRODUCTION SAS;2005;Eau (indirect);Demande chimique en oxygène (DCO);601000;kg/an
0007001139;C&D FOODS France;2005;Eau (indirect);Carbone organique total (en tant que C total ou DCO/3);172000;kg/an
0007001139;C&D FOODS France;2005;Eau (indirect);Demande biologique en oxygène (DBO5);327000;kg/an
0007001139;C&D FOODS France;2005;Eau (indirect);Demande chimique en oxygène (DCO);515000;kg/an
0007001139;C&D FOODS France;2005;Eau (indirect);Phosphore total;8680;kg/an
