identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0005100143;WEPA GREENFIELD SAS;2022;Sol;Cadmium et composés (exprimés en tant que Cd);7.92;kg/an
0005100143;WEPA GREENFIELD SAS;2022;Sol;Chrome et composés (exprimés en tant que Cr);357;kg/an
0005100143;WEPA GREENFIELD SAS;2022;Sol;Cuivre et composés (exprimés en tant que Cu);1950;kg/an
0005100143;WEPA GREENFIELD SAS;2022;Sol;Mercure et composés (exprimés en tant que Hg);7.92;kg/an
0005100143;WEPA GREENFIELD SAS;2022;Sol;Nickel et composés (exprimés en tant que Ni);154;kg/an
0005100143;WEPA GREENFIELD SAS;2022;Sol;Plomb et composés (exprimés en tant que Pb);380;kg/an
0005100143;WEPA GREENFIELD SAS;2022;Sol;Zinc et composés (exprimés en tant que Zn);5810;kg/an
0005100188;STE INDUST ET CHIM DE L'AISNE;2022;Air;Antimoine et composés (exprimés en tant que Sb);1110;kg/an
0005100190;DSP France SAS;2022;Air;Composés organiques volatils non méthaniques (COVNM);35300;kg/an
0005100190;DSP France SAS;2022;Eau (direct);Chlorures (en tant que Cl total);3070000;kg/an
0005100190;DSP France SAS;2022;Eau (direct);Sulfates;2860000;kg/an
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);45400000;kg/an
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;45400000;kg/an
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2022;Air;Oxydes d'azote (NOx/NO2);189000;kg/an
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2022;Air;Oxydes de soufre (SOx/SO2);163000;kg/an
0005100293;EVERBAL PAPETERIE;2022;Air;Dioxyde de carbone (CO2) d'origine biomasse;46600000;kg/an
0005100293;EVERBAL PAPETERIE;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);47300000;kg/an
0005100293;EVERBAL PAPETERIE;2022;Sol;Cuivre et composés (exprimés en tant que Cu);190;kg/an
0005100293;EVERBAL PAPETERIE;2022;Sol;Zinc et composés (exprimés en tant que Zn);248;kg/an
0005100311;EDIFI NORD;2022;Air;Méthane (CH4);272000;kg/an
0005100349;SOPROCOS;2022;Air;Composés organiques volatils non méthaniques (COVNM);144000;kg/an
0005100400;EVIOSYS Packaging France SAS;2022;Air;Composés organiques volatils non méthaniques (COVNM);110000;kg/an
0005100467;ROQUETTE Frères;2022;Air;Hydroflurocarbures (HFC);307;kg/an
0005100467;ROQUETTE Frères;2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;27500000;kg/an
0005100467;ROQUETTE Frères;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);27500000;kg/an
0005100467;ROQUETTE Frères;2022;Sol;Cuivre et composés (exprimés en tant que Cu);75.6;kg/an
0005100467;ROQUETTE Frères;2022;Sol;Nickel et composés (exprimés en tant que Ni);47.5;kg/an
0005100467;ROQUETTE Frères;2022;Sol;Zinc et composés (exprimés en tant que Zn);631;kg/an
0005100477;ABL Technic Saint-Quentin;2022;Air;Dioxines et furanes (PCDD + PCDF) (exprimés en iTeq);0.075;kg/an
0005100507;ENGIE COFELY;2022;Air;Dioxyde de carbone (CO2) d'origine biomasse;14100000;kg/an
0005100507;ENGIE COFELY;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);21100000;kg/an
0005100521;TEREOS FRANCE;2022;Air;Composés organiques volatils non méthaniques (COVNM);245000;kg/an
0005100521;TEREOS FRANCE;2022;Air;Dioxyde de carbone (CO2) d'origine biomasse;215000000;kg/an
0005100521;TEREOS FRANCE;2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;224000000;kg/an
0005100521;TEREOS FRANCE;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);439000000;kg/an
0005100521;TEREOS FRANCE;2022;Sol;Zinc et composés (exprimés en tant que Zn);276;kg/an
0005100562;MBK INDUSTRIE;2022;Air;Composés organiques volatils non méthaniques (COVNM);64600;kg/an
0005100611;CENTRE HOSPITALIER GENERAL;2022;Eau (indirect);Demande biologique en oxygène (DBO5);88800;kg/an
0005100756;ATEMAX FRANCE;2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;16100000;kg/an
0005100756;ATEMAX FRANCE;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);16100000;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2022;Air;Dioxyde de carbone (CO2) d'origine biomasse;118000000;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;21800000;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);140000000;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2022;Eau (direct);Demande chimique en oxygène (DCO);205000;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2022;Sol;Mercure et composés (exprimés en tant que Hg);3.02;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2022;Sol;Nickel et composés (exprimés en tant que Ni);134;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2022;Sol;Plomb et composés (exprimés en tant que Pb);263;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2022;Sol;PCBi : somme des 7 PCB indicateurs (PCB 28+PCB 52+PCB 101+PCB 118+PCB 138+PCB 153+PCB 180);1.27;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2022;Sol;Zinc et composés (exprimés en tant que Zn);1890;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2022;Sol;Azote total;121000;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2022;Sol;Chrome et composés (exprimés en tant que Cr);275;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2022;Sol;Cuivre et composés (exprimés en tant que Cu);1280;kg/an
0005100850;ETEX FRANCE BUILDING PERFORMANCE;2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;42400000;kg/an
0005100850;ETEX FRANCE BUILDING PERFORMANCE;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);42400000;kg/an
0005100909;VISKASE;2022;Air;Sulfure de carbone;390000;kg/an
0005100909;VISKASE;2022;Air;Composés organiques volatils non méthaniques (COVNM);390000;kg/an
0005100909;VISKASE;2022;Air;Sulfure d'hydrogène (H2S);33600;kg/an
0005100912;AGCO;2022;Air;Composés organiques volatils non méthaniques (COVNM);67400;kg/an
0005100917;SOLABIA;2022;Air;Composés organiques volatils non méthaniques (COVNM);37800;kg/an
0005100918;SPONTEX;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);26900000;kg/an
0005100918;SPONTEX;2022;Air;Sulfure d'hydrogène (H2S);15900;kg/an
0005100918;SPONTEX;2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;26900000;kg/an
0005100918;SPONTEX;2022;Air;Sulfure de carbone;304000;kg/an
0005100978;BASF France (ex Coatings);2022;Air;Composés organiques volatils non méthaniques (COVNM);36600;kg/an
0005100993;SI Group (ex ADDIVANT);2022;Air;Composés organiques volatils non méthaniques (COVNM);31100;kg/an
0005101029;TEREOS FRANCE;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);60800000;kg/an
0005101029;TEREOS FRANCE;2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;60800000;kg/an
0005101029;TEREOS FRANCE;2022;Eau (direct);Nickel et composés (exprimés en tant que Ni);24.3;kg/an
0005101072;REGEAL;2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;11900000;kg/an
0005101072;REGEAL;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);11900000;kg/an
0005101075;ENGIE;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);17300000;kg/an
0005101102;CREIL ENERGIE (ex DALKIA FRANCE);2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;11300000;kg/an
0005101102;CREIL ENERGIE (ex DALKIA FRANCE);2022;Air;Dioxyde de carbone (CO2) d'origine biomasse;12500000;kg/an
0005101102;CREIL ENERGIE (ex DALKIA FRANCE);2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);23800000;kg/an
0005101176;SAVERGLASS;2022;Air;Oxydes de soufre (SOx/SO2);249000;kg/an
0005101176;SAVERGLASS;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);60200000;kg/an
0005101176;SAVERGLASS;2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;60200000;kg/an
0005101176;SAVERGLASS;2022;Air;Oxydes d'azote (NOx/NO2);181000;kg/an
0005101211;STORENGY;2022;Air;Méthane (CH4);252000;kg/an
0005101211;STORENGY;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);21900000;kg/an
0005101211;STORENGY;2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;21900000;kg/an
0005101339;UNILEVER FRANCE HPC Industries;2022;Sol;Zinc et composés (exprimés en tant que Zn);212;kg/an
0005101363;ARCELORMITTAL ATLANTIQUE -  LORRAINE;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);47900000;kg/an
0005101363;ARCELORMITTAL ATLANTIQUE -  LORRAINE;2022;Air;Composés organiques volatils non méthaniques (COVNM);40200;kg/an
0005101363;ARCELORMITTAL ATLANTIQUE -  LORRAINE;2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;47900000;kg/an
0005101610;SAINT GOBAIN GLASS;2022;Air;Sélénium;68;kg/an
0005101610;SAINT GOBAIN GLASS;2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;14900000;kg/an
0005101610;SAINT GOBAIN GLASS;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);14900000;kg/an
0005101610;SAINT GOBAIN GLASS;2022;Air;Oxydes d'azote (NOx/NO2);112000;kg/an
0005101668;ARKEMA;2022;Air;Composés organiques volatils non méthaniques (COVNM);104000;kg/an
0005101758;EUROSERUM;2022;Eau (indirect);Demande chimique en oxygène (DCO);165000;kg/an
0005101758;EUROSERUM;2022;Eau (indirect);Demande biologique en oxygène (DBO5);79500;kg/an
0005101812;ETOUVIE ENERGIES ET ENVIRONNEMENT;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);12400000;kg/an
0005101887;METEX NOOVISTAGO;2022;Air;Hydroflurocarbures (HFC);208;kg/an
0005101887;METEX NOOVISTAGO;2022;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);11100000;kg/an
0005101887;METEX NOOVISTAGO;2022;Air;Dioxyde de carbone (CO2) d'origine non biomasse;11100000;kg/an
0005101887;METEX NOOVISTAGO;2022;Eau (direct);Demande chimique en oxygène (DCO);157000;kg/an
0005101887;METEX NOOVISTAGO;2022;Sol;Fer et composés (exprimés en tant que Fe);54800;kg/an
0005101887;METEX NOOVISTAGO;2022;Sol;Chrome et composés (exprimés en tant que Cr);165;kg/an
0005101887;METEX NOOVISTAGO;2022;Sol;Cuivre et composés (exprimés en tant que Cu);55.8;kg/an
0005101887;METEX NOOVISTAGO;2022;Sol;Nickel et composés (exprimés en tant que Ni);87.9;kg/an
0005101887;METEX NOOVISTAGO;2022;Sol;Plomb et composés (exprimés en tant que Pb);22.7;kg/an
0005101887;METEX NOOVISTAGO;2022;Sol;Zinc et composés (exprimés en tant que Zn);224;kg/an
