identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0005100333;LE CREUSET SAS;2014;Air;Zinc et composés (exprimés en tant que Zn);567;kg/an
0005205229;COGESTAR SNC;2014;Air;Dioxyde de carbone (CO2) d'origine non biomasse;43200000;kg/an
0005500609;BUNGE France;2014;Air;Dioxyde de carbone (CO2) d'origine non biomasse;24600000;kg/an
0005501786;CONSERVERIE MORBIHANNAISE Lanvenegen;2014;Air;Dioxyde de carbone (CO2) d'origine non biomasse;10700000;kg/an
0006207526;FROMAGERIE HENRI HUTIN;2014;Air;Dioxyde de carbone (CO2) d'origine non biomasse;18400000;kg/an
0007000825;GRAFTECH FRANCE SNC;2014;Air;Dioxyde de carbone (CO2) d'origine non biomasse;41500000;kg/an
0007001789;NOVANDIE (SAS)-(ex Générale UItra Frais);2014;Air;Hydroflurocarbures (HFC);410;kg/an
0078314101;STATION D'EPURATION ALMANARRE HYERES CARQUEIRANNE;2014;Sol;Composés organohalogénés (exprimés en tant que AOX);4390;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2014;Sol;Nickel et composés (exprimés en tant que Ni);75.1;kg/an
;GAEC des Prelions;2014;Air;Ammoniac (NH3);21500;kg/an
;EARL Les Cornalières;2014;Air;Ammoniac (NH3);11500;kg/an
;SAS EGGTEAM AVIPONTE;2014;Air;Ammoniac (NH3);24100;kg/an
;GAEC du Perrat (site volaille);2014;Air;Ammoniac (NH3);27900;kg/an
;SARL de Montburon;2014;Air;Ammoniac (NH3);11000;kg/an
;SARL ELEVAGE DES CHARMES;2014;Air;Ammoniac (NH3);23800;kg/an
;SARL Elevage du Bois Cochon;2014;Air;Ammoniac (NH3);13800;kg/an
;EARL des Quatres Saisons;2014;Air;Ammoniac (NH3);14500;kg/an
;SARL Elevage des Marais;2014;Air;Ammoniac (NH3);34800;kg/an
;PROVENT SDPR - Elevage des 3 Monts;2014;Air;Ammoniac (NH3);40600;kg/an
;SCEA SOGIFRA;2014;Air;Ammoniac (NH3);13300;kg/an
;GAEC de l'Orme;2014;Air;Ammoniac (NH3);14200;kg/an
;SA Larçon;2014;Air;Ammoniac (NH3);11200;kg/an
;SCEA Les COUTURES;2014;Air;Ammoniac (NH3);15200;kg/an
;SCEA des 3B;2014;Air;Ammoniac (NH3);12200;kg/an
;SAS Les Montagnes d'AUZANCES;2014;Sol;Phosphore total;5070;kg/an
;GAEC MANSCOURT;2014;Air;Ammoniac (NH3);11300;kg/an
;GAEC des Hayettes - MOREAU;2014;Air;Ammoniac (NH3);16900;kg/an
;EARL DE LA BREZE;2014;Air;Ammoniac (NH3);10000;kg/an
;GAEC DE ROOVER;2014;Air;Ammoniac (NH3);24800;kg/an
;AUVERGNE POUSSINS;2014;Air;Ammoniac (NH3);11800;kg/an
0005100009;SUEZ RV NORD EST;2014;Air;Méthane (CH4);896000;kg/an
0005100009;SUEZ RV NORD EST;2014;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);15600000;kg/an
0005100009;SUEZ RV NORD EST;2014;Air;Dioxyde de carbone (CO2) d'origine biomasse;15600000;kg/an
0005100097;NESTLE France SAS;2014;Air;Dioxyde de carbone (CO2) d'origine non biomasse;17300000;kg/an
0005100097;NESTLE France SAS;2014;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);17300000;kg/an
0005100114;TEREOS FRANCE (BUCY);2014;Air;Composés organiques volatils non méthaniques (COVNM);155000;kg/an
0005100114;TEREOS FRANCE (BUCY);2014;Air;Oxydes de soufre (SOx/SO2);178000;kg/an
0005100114;TEREOS FRANCE (BUCY);2014;Air;Oxydes d'azote (NOx/NO2);133000;kg/an
0005100114;TEREOS FRANCE (BUCY);2014;Air;Dioxyde de carbone (CO2) d'origine non biomasse;130000000;kg/an
0005100114;TEREOS FRANCE (BUCY);2014;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);149000000;kg/an
0005100114;TEREOS FRANCE (BUCY);2014;Air;Dioxyde de carbone (CO2) d'origine biomasse;19200000;kg/an
0005100143;WEPA GREENFIELD SAS;2014;Air;Dioxyde de carbone (CO2) d'origine non biomasse;27000000;kg/an
