EUTL_ID;EUTL_Name;PRTR_Site_Name;PRTR_PlantID;Distance_m;avg_name_score;manual
GB_408;GLAXOSMITHKLINE PLC;Ware;8681;260.0409673;0.332410283;0
GB_449;EPR Thetford Limited;Thetford;8758;262.4469289;0.484493616;2
GB_212;Combustion process - Nestle Fawdon;Nestle Fawdon;40723;264.1454592;0.340529941;1
GB_350;Browns Lane Site;Allesley;13055;265.1997911;0.387587051;0
GB_204984;Special Profiles;Skinningrove;14421;265.6152284;0.383799172;0
GB_348;Activecraft Limited;Bury;8590;270.254615;0.112965839;0
GB_569;The Royal Group Of Hospitals;Belfast;8997;276.1311674;0.336180124;0
GB_279;Muntons plc - Cedar Maltings;Cedar Maltings;8435;276.6108393;0.469026445;1
GB_749;Lamb Weston/Meijer UK Ltd;Wisbech;8139;279.665327;0.328574304;0
GB_769;SCA Packaging EP Boilerhouse;Hooton Park Sustainable Energy Facility;43140;280.6350629;0.432632283;0
GB_864;Kellogg Company - Wrexham;Wrexham;8222;281.1359167;0.31455314;2
GB_209925;Essity UK Limited - Tawd Mill;Skelmersdale;4362;282.7710778;0.369910283;0
GB_601;Norbord Cowie;Cowie;9017;283.3976773;0.325786351;2
GB_436;The University of Birmingham;Edgbaston;8733;283.4270381;0.318653669;0
GB_206199;Shell Green;Mersey Valley Sludge Processing Centre;13717;285.5400395;0.390655011;0
GB_1139;Refresco Beverages UK Limited;Bridgwater;11741;286.5592465;0.320836209;0
GB_418;GlaxoSmithKline, Barnard Castle;Barnard Castle;8699;286.8654504;0.370902346;2
GB_1107;Barclays Capital - Northolt;Northolt Data Centre;11084;287.3559694;0.397132505;2
GB_1048;Tronox Pigment - CHP Plant;Grimsby;2254;288.860894;0.378838854;0
GB_1026;Parkandillick china clay calcining plant;St Dennis;8569;288.9308112;0.330068235;0
GB_198;Power House Complex;RAF Fylingdales;8256;291.3025332;0.351427377;0
GB_202262;Johnson Tiles;Tunstall;13759;292.7435372;0.41424789;0
GB_609;GE Plastics ABS Ltd;Grangemouth Olefins;9023;297.3405522;0.359289982;0
GB_205755;Hanson Quarry Products Europe - Whatley;Whatley;13685;298.7099546;0.351221952;2
GB_855;Ardagh Glass - Headlands;Knottingley;8541;300.446311;0.347814323;0
GB_1061;BAE Systems - Barrow;Barrow-In-Furness;8603;301.8250959;0.365455723;2
GB_199;James Cook University Hospital;The James Cook University Hospital;8257;304.3570779;0.532246884;1
GB_280;Electric Glass Fiber UK Ltd;Wigan;8436;305.7713614;0.404632505;0
GB_211918;Hele Manor;London;14662;306.3655491;0.357410283;0
GB_233;Croda Europe - Ditton;Ditton;13265;308.3489654;0.269398587;2
GB_978;Knauf Sittingbourne;Ridham Biomass Power Plant;14588;315.7945228;0.352940776;0
GB_366;Energy Centres A and B;Gloucestershire Royal Hospital;8617;326.2170596;0.386089937;0
GB_520;Batchelors Factory;Worksop;8862;327.9470199;0.320108696;0
GB_670;University of Strathclyde;Glasgow;9086;330.7579448;0.340584886;0
GB_374;Airbus UK Limited - Broughton;Broughton;8632;335.4009176;0.503012135;2
GB_1065;Flint Site;Delyn Mill;8026;337.3906341;0.379632505;0
GB_1072;Flint Site - Flint;Delyn Mill;8026;337.3906341;0.405390081;0
GB_1073;Flint Site - Coleshill;Delyn Mill;8026;337.3906341;0.404632505;0
GB_206176;Eurovia Roadstone;Dagenham;8740;342.5455733;0.315988714;0
GB_730;Gas Turbines;Par Harbour;8567;347.9148828;0.358167859;0
GB_661;HM Naval Base Clyde;Coulport;9077;350.1882002;0.309237768;0
GB_783;Langeled Receiving Facilities;Easington;8914;350.8476262;0.35578193;0
GB_118;SPECIALTY MINERALS LIFFORD;Lifford;8099;351.8661837;0.31473629;2
GB_401;Hull University Teaching Hospitals NHS Trust;Castle Hill Hospital;8670;352.7042568;0.439760097;2
GB_960;II-VI Compound Semiconductors Limited;Newton Aycliffe;8827;353.4039071;0.311337486;0
GB_633;University of Aberdeen;Aberdeen;9049;355.1289957;0.309935535;0
GB_207922;Virtus Hayes Limited;Hayes;14666;357.7014769;0.326854727;2
GB_504;Visteon Swansea - Boiler House;Basildon;8950;360.8013251;0.34689441;0
GB_1059;PVC 9;Hillhouse International;43113;361.3233624;0.320212215;0
GB_319;Product Development Site;Gaydon;8518;361.4679073;0.269398587;0
GB_468;The Open University - Walton Hall;Milton Keynes;8780;363.0270306;0.378267741;0
GB_247;Kronospan Ltd;Chirk;8364;364.5484529;0.331484357;0
GB_958;Coors Tower Brewery;Tower Brewery;8112;368.8448896;0.483411183;1
GB_491;SI Group - UK, Ltd - Four Ashes;Four Ashes;8815;369.5833352;0.376708529;2
GB_1248;Sherwood Forest Hospitals NHS Foundation Trust;Kings Mill Hospital;11737;373.5686085;0.345040591;0
GB_761;Case New Holland Total Site;Basildon;8950;374.7964725;0.394531495;0
GB_903;Cooper Tire & Rubber Company Europe Limited;Melksham;8563;378.4402012;0.332793425;0
GB_990;Preston Board and Packaging;Romiley;8707;387.783533;0.31402404;0
GB_437;Jaguar Cars Ltd - Whitley Engineering Centre;Coventry;8734;394.0200822;0.347614961;0
GB_925;Saint-Gobain Isover UK;Runcorn;8934;394.3157993;0.377376866;0
GB_461;University of Nottingham;Nottingham;8771;398.9886661;0.364354727;0
GB_256;Syngenta - Jealott's Hill;Huddersfield;2199;400.0839522;0.322506901;0
GB_1067;The Cheese Company (previously Glanbia Foods);Lockerbie;7221;400.6337463;0.391537267;0
GB_228;Roxel (UK Rocket Motors) Ltd;Summerfield;8312;411.0032391;0.291992952;0
GB_947;Arjowiggins Ivybridge Limited;Stowford Mill;8937;412.5044044;0.300084276;0
GB_340;UW Construction Ltd/University of Warwick;Coventry;11968;412.5060097;0.397473561;0
GB_151;Syngenta Limited;Huddersfield;8149;421.293897;0.314354727;0
GB_655;Raeburn Brick Limited;Glasgow;9071;435.3854422;0.316262542;0
GB_306;EXCEL District Energy Company Limited;Royal Victoria Dock;13738;438.4415261;0.363383549;0
GB_539;Royal Blackburn Teaching Hospital;Queens Park Hospital;8887;440.6845836;0.415648919;0
GB_563;ULEC Ashton Street Energy Centre;Liverpool;8929;444.8905585;0.332873246;0
GB_813;Ibstock Brick Ltd - Atlas Factory;Atlas Brickworks;8449;447.3936087;0.422525248;1
GB_1025;Herreschoff Kiln no.3;Lee Moor Site;8566;451.9372232;0.373481712;0
GB_311;Growth Power Burstwick CHP;Burstwick Energy Centre;11743;457.1788143;0.414415114;1
GB_396;SLI Glass - Harworth;Harworth;8973;459.1887001;0.314354727;2
GB_573;Altnagelvin H&SS Trust;Londonderry;8985;463.5828246;0.337441363;0
GB_764;Royal Botanic Gardens, Kew;Richmond;8957;465.3745886;0.38907695;0
GB_683;Brunel University;Uxbridge;8870;476.1919427;0.349485446;0
GB_298;West End Nurseries;Angmering;11081;476.8607112;0.307410283;0
GB_852;PLASMOR LTD GREAT HECK;Knottingley;8730;483.0175769;0.335019711;0
GB_355;BAE SYSTEMS - CHADDERTON;Chadderton;8601;484.9078946;0.352359778;2
GB_241;Unilever UK Ltd;Crawley;14189;489.8117747;0.368918219;0
GB_777;Boiler House;Queen Elizabeth Hospital;8968;493.7032663;0.404632505;0
GB_679;BAE Land Systems - Radway Green;Radway Green;8443;493.9675913;0.391541828;2
GB_208242;Glasshouse Generation (Macketts);Wight Salads, Newport;8668;497.3656074;0.421299172;0
GB_779;Prinovis Liverpool Ltd.;Speke;9590;497.3664946;0.351854727;0
