Year;PollutantID;Pollutant_Name;PlantID;Site;Easting;Northing;Operator;SectorID;Sector; Emission ;Unit;Country
2004;2;Carbon Dioxide as Carbon;422;Wareham;397500;85130;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;22392.72741;Tonnes;England
1998;2;Carbon Dioxide as Carbon;707;Mablethorpe;548830;387110;Conoco Ltd;3;Oil & gas exploration and production;35460.54545;Tonnes;England
1999;2;Carbon Dioxide as Carbon;707;Mablethorpe;548830;387110;Conoco Ltd;3;Oil & gas exploration and production;30000;Tonnes;England
2000;2;Carbon Dioxide as Carbon;707;Mablethorpe;548830;387110;Conoco Ltd;3;Oil & gas exploration and production;81830.48065;Tonnes;England
2001;2;Carbon Dioxide as Carbon;707;Mablethorpe;548830;387110;Conoco Ltd;3;Oil & gas exploration and production;65467.63636;Tonnes;England
2002;2;Carbon Dioxide as Carbon;707;Mablethorpe;548830;387110;Conoco Ltd;3;Oil & gas exploration and production;38466.84545;Tonnes;England
2003;2;Carbon Dioxide as Carbon;707;Mablethorpe;548830;387110;Conoco Ltd;3;Oil & gas exploration and production;27778.05818;Tonnes;England
2004;2;Carbon Dioxide as Carbon;707;Mablethorpe;548830;387110;Conoco Ltd;3;Oil & gas exploration and production;49094.60244;Tonnes;England
1998;2;Carbon Dioxide as Carbon;927;Easington;539770;420260;Dynegy Storage Ltd;3;Oil & gas exploration and production;28599.91227;Tonnes;England
1999;2;Carbon Dioxide as Carbon;927;Easington;539770;420260;Dynegy Storage Ltd;3;Oil & gas exploration and production;18548.7297;Tonnes;England
2000;2;Carbon Dioxide as Carbon;927;Easington;539770;420260;Dynegy Storage Ltd;3;Oil & gas exploration and production;31285.73716;Tonnes;England
2001;2;Carbon Dioxide as Carbon;927;Easington;539770;420260;Dynegy Storage Ltd;3;Oil & gas exploration and production;32879.27723;Tonnes;England
2002;2;Carbon Dioxide as Carbon;927;Easington;539770;420260;Dynegy Storage Ltd;3;Oil & gas exploration and production;26446.33073;Tonnes;England
2003;2;Carbon Dioxide as Carbon;927;Easington;539770;420260;Dynegy Storage Ltd;3;Oil & gas exploration and production;25652.64136;Tonnes;England
2004;2;Carbon Dioxide as Carbon;927;Easington;539770;420260;Dynegy Storage Ltd;3;Oil & gas exploration and production;29510.64005;Tonnes;England
1998;2;Carbon Dioxide as Carbon;985;Seal Sands;451760;524080;Enron Power Operations Ltd;19;Processing & distribution of natural gas;16963.63636;Tonnes;England
1999;2;Carbon Dioxide as Carbon;985;Seal Sands;451760;524080;Enron Power Operations Ltd;19;Processing & distribution of natural gas;17836.36364;Tonnes;England
2000;2;Carbon Dioxide as Carbon;985;Seal Sands;451760;524080;Enron Power Operations Ltd;19;Processing & distribution of natural gas;15818.18182;Tonnes;England
2001;2;Carbon Dioxide as Carbon;985;Seal Sands;451760;524080;Enron Power Operations Ltd;19;Processing & distribution of natural gas;13990.90909;Tonnes;England
2002;2;Carbon Dioxide as Carbon;985;Seal Sands;451760;524080;Enron Power Operations Ltd;19;Processing & distribution of natural gas;15612;Tonnes;England
2003;2;Carbon Dioxide as Carbon;985;Seal Sands;451760;524080;Enron Power Operations Ltd;19;Processing & distribution of natural gas;17101.63636;Tonnes;England
2004;2;Carbon Dioxide as Carbon;985;Seal Sands;451760;524080;Enron Power Operations Ltd;19;Processing & distribution of natural gas;16691.45455;Tonnes;England
1998;2;Carbon Dioxide as Carbon;1314;Barrow Terminals Processes;322670;468040;Hydrocarbon Resources Ltd;3;Oil & gas exploration and production;68181.81818;Tonnes;England
1999;2;Carbon Dioxide as Carbon;1314;Barrow Terminals Processes;322670;468040;Hydrocarbon Resources Ltd;3;Oil & gas exploration and production;63004.68362;Tonnes;England
2000;2;Carbon Dioxide as Carbon;1314;Barrow Terminals Processes;322670;468040;Hydrocarbon Resources Ltd;3;Oil & gas exploration and production;210545.4545;Tonnes;England
2001;2;Carbon Dioxide as Carbon;1314;Barrow Terminals Processes;322670;468040;Hydrocarbon Resources Ltd;3;Oil & gas exploration and production;225818.1818;Tonnes;England
2002;2;Carbon Dioxide as Carbon;1314;Barrow Terminals Processes;322670;468040;Hydrocarbon Resources Ltd;3;Oil & gas exploration and production;199090.9091;Tonnes;England
2003;2;Carbon Dioxide as Carbon;1314;Barrow Terminals Processes;322670;468040;Hydrocarbon Resources Ltd;3;Oil & gas exploration and production;189027.2727;Tonnes;England
2004;2;Carbon Dioxide as Carbon;1314;Barrow Terminals Processes;322670;468040;Hydrocarbon Resources Ltd;3;Oil & gas exploration and production;199172.7273;Tonnes;England
1998;2;Carbon Dioxide as Carbon;1822;Bacton;632950;334450;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;49781.56111;Tonnes;England
1999;2;Carbon Dioxide as Carbon;1822;Bacton;632950;334450;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;88727.22553;Tonnes;England
2000;2;Carbon Dioxide as Carbon;1822;Bacton;632950;334450;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;114948.7915;Tonnes;England
2001;2;Carbon Dioxide as Carbon;1822;Bacton;632950;334450;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;121438.5483;Tonnes;England
2002;2;Carbon Dioxide as Carbon;1822;Bacton;632950;334450;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;108520.732;Tonnes;England
2003;2;Carbon Dioxide as Carbon;1822;Bacton;632950;334450;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;100491.3025;Tonnes;England
2004;2;Carbon Dioxide as Carbon;1822;Bacton;632950;334450;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;81225.10477;Tonnes;England
1998;2;Carbon Dioxide as Carbon;1825;Seal Sands;451760;524080;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;113059.2545;Tonnes;England
1999;2;Carbon Dioxide as Carbon;1825;Seal Sands;451760;524080;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;134051.2403;Tonnes;England
2000;2;Carbon Dioxide as Carbon;1825;Seal Sands;451760;524080;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;120961.3636;Tonnes;England
2001;2;Carbon Dioxide as Carbon;1825;Seal Sands;451760;524080;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;160977.801;Tonnes;England
2002;2;Carbon Dioxide as Carbon;1825;Seal Sands;451760;524080;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;149574.6905;Tonnes;England
2003;2;Carbon Dioxide as Carbon;1825;Seal Sands;451760;524080;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;158202.8089;Tonnes;England
2004;2;Carbon Dioxide as Carbon;1825;Seal Sands;451760;524080;Phillips Petroleum Co (UK) Ltd;3;Oil & gas exploration and production;147926.2005;Tonnes;England
