Year;PollutantID;Pollutant_Name;PlantID;Site;Easting;Northing;Operator;SectorID;Sector; Emission ;Unit;Country
2001;2;Carbon Dioxide as Carbon;11382;Alba Northern;581669;913041;Chevron North Sea Ltd;3;Oil & gas exploration and production;91210.50798;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11382;Alba Northern;581669;913041;Chevron North Sea Ltd;3;Oil & gas exploration and production;91003.42054;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11382;Alba Northern;581669;913041;Chevron North Sea Ltd;3;Oil & gas exploration and production;83350.11511;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11382;Alba Northern;581669;913041;Chevron North Sea Ltd;3;Oil & gas exploration and production;68895.77728;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11383;Alwyn North;601508;1219540;Total E&P UK plc;3;Oil & gas exploration and production;84400.26428;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11383;Alwyn North;601508;1219540;Total E&P UK plc;3;Oil & gas exploration and production;100910.4725;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11383;Alwyn North;601508;1219540;Total E&P UK plc;3;Oil & gas exploration and production;117064.5278;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11383;Alwyn North;601508;1219540;Total E&P UK plc;3;Oil & gas exploration and production;152885.0265;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11383;Alwyn North;601508;1219540;Total E&P UK plc;3;Oil & gas exploration and production;137856.2698;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11383;Alwyn North;601508;1219540;Total E&P UK plc;3;Oil & gas exploration and production;117225.0897;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11383;Alwyn North;601508;1219540;Total E&P UK plc;3;Oil & gas exploration and production;124189.106;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11384;Anasuria;570611;812414;Shell UK Exploration & Production;3;Oil & gas exploration and production;46572.12209;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11384;Anasuria;570611;812414;Shell UK Exploration & Production;3;Oil & gas exploration and production;40699.97305;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11384;Anasuria;570611;812414;Shell UK Exploration & Production;3;Oil & gas exploration and production;35476.44096;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11384;Anasuria;570611;812414;Shell UK Exploration & Production;3;Oil & gas exploration and production;37873.81906;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11384;Anasuria;570611;812414;Shell UK Exploration & Production;3;Oil & gas exploration and production;39870.16507;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11384;Anasuria;570611;812414;Shell UK Exploration & Production;3;Oil & gas exploration and production;35417.31834;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11384;Anasuria;570611;812414;Shell UK Exploration & Production;3;Oil & gas exploration and production;34052.56156;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11385;Andrew;601124;911605;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;51141.95281;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11385;Andrew;601124;911605;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;54516.59544;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11385;Andrew;601124;911605;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;49749.55399;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11385;Andrew;601124;911605;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;47023.26577;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11385;Andrew;601124;911605;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;56018.5814;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11385;Andrew;601124;911605;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;51057.40198;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11385;Andrew;601124;911605;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;42348.19701;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11389;Armada;628260;898770;BG Group plc;3;Oil & gas exploration and production;69916.84896;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11389;Armada;628260;898770;BG Group plc;3;Oil & gas exploration and production;70350.72788;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11389;Armada;628260;898770;BG Group plc;3;Oil & gas exploration and production;64871.74745;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11389;Armada;628260;898770;BG Group plc;3;Oil & gas exploration and production;64463.83832;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11389;Armada;628260;898770;BG Group plc;3;Oil & gas exploration and production;65796.73585;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11389;Armada;628260;898770;BG Group plc;3;Oil & gas exploration and production;61736.54854;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11389;Armada;628260;898770;BG Group plc;3;Oil & gas exploration and production;58435.29691;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11391;Auk Alpha;648564;731728;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;26003.80073;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11391;Auk Alpha;648564;731728;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;20754.83645;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11391;Auk Alpha;648564;731728;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;18294.77952;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11391;Auk Alpha;648564;731728;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;13390.14963;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11391;Auk Alpha;648564;731728;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;23395.20604;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11391;Auk Alpha;648564;731728;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;24532.50017;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11391;Auk Alpha;648564;731728;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;18774.2536;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11394;Balmoral;582214;930270;CNR International (UK) Ltd;3;Oil & gas exploration and production;29224.5936;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11394;Balmoral;582214;930270;CNR International (UK) Ltd;3;Oil & gas exploration and production;25416.17405;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11394;Balmoral;582214;930270;CNR International (UK) Ltd;3;Oil & gas exploration and production;22182.25973;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11394;Balmoral;582214;930270;CNR International (UK) Ltd;3;Oil & gas exploration and production;41568.7553;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11394;Balmoral;582214;930270;CNR International (UK) Ltd;3;Oil & gas exploration and production;37794.89388;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11394;Balmoral;582214;930270;CNR International (UK) Ltd;3;Oil & gas exploration and production;25573.99261;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11394;Balmoral;582214;930270;CNR International (UK) Ltd;3;Oil & gas exploration and production;18949.73268;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11395;Beatrice Alpha;338275;915629;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;18262.34443;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11395;Beatrice Alpha;338275;915629;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;5210.617154;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11395;Beatrice Alpha;338275;915629;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;3543.344019;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11395;Beatrice Alpha;338275;915629;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;6651.980651;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11395;Beatrice Alpha;338275;915629;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;9734.58742;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11395;Beatrice Alpha;338275;915629;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;5364.644867;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11395;Beatrice Alpha;338275;915629;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;4433.332685;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11396;Beryl Alpha;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;132054.4274;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11396;Beryl Alpha;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;148265.2343;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11396;Beryl Alpha;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;175012.1158;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11396;Beryl Alpha;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;152762.2542;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11396;Beryl Alpha;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;161650.4297;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11396;Beryl Alpha;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;155094.1512;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11396;Beryl Alpha;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;156121.0716;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11397;Beryl Bravo;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;121413.1276;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11397;Beryl Bravo;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;114775.1729;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11397;Beryl Bravo;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;97865.50544;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11397;Beryl Bravo;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;100443.5816;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11397;Beryl Bravo;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;98627.61756;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11397;Beryl Bravo;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;99173.62813;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11397;Beryl Bravo;599706;1079065;Mobil North Sea Ltd;3;Oil & gas exploration and production;99080.90858;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11398;Bleo Holm;437031;912129;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;29976.59522;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11398;Bleo Holm;437031;912129;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;47709.40492;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11398;Bleo Holm;437031;912129;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;38357.0267;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11398;Bleo Holm;437031;912129;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;70675.6331;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11398;Bleo Holm;437031;912129;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;68080.78206;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11398;Bleo Holm;437031;912129;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;54556.50941;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11399;Brae Alpha;593727;994331;Marathon Oil UK Ltd;3;Oil & gas exploration and production;131953.6849;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11399;Brae Alpha;593727;994331;Marathon Oil UK Ltd;3;Oil & gas exploration and production;106843.7288;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11399;Brae Alpha;593727;994331;Marathon Oil UK Ltd;3;Oil & gas exploration and production;98483.35474;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11399;Brae Alpha;593727;994331;Marathon Oil UK Ltd;3;Oil & gas exploration and production;95317.60419;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11399;Brae Alpha;593727;994331;Marathon Oil UK Ltd;3;Oil & gas exploration and production;82698.58187;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11399;Brae Alpha;593727;994331;Marathon Oil UK Ltd;3;Oil & gas exploration and production;79283.41086;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11399;Brae Alpha;593727;994331;Marathon Oil UK Ltd;3;Oil & gas exploration and production;70219.61817;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11400;Brae Bravo;586911;991210;Marathon Oil UK Ltd;3;Oil & gas exploration and production;204931.2949;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11400;Brae Bravo;586911;991210;Marathon Oil UK Ltd;3;Oil & gas exploration and production;171422.0032;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11400;Brae Bravo;586911;991210;Marathon Oil UK Ltd;3;Oil & gas exploration and production;156391.4585;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11400;Brae Bravo;586911;991210;Marathon Oil UK Ltd;3;Oil & gas exploration and production;125622.1331;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11400;Brae Bravo;586911;991210;Marathon Oil UK Ltd;3;Oil & gas exploration and production;132187.8237;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11400;Brae Bravo;586911;991210;Marathon Oil UK Ltd;3;Oil & gas exploration and production;113948.5527;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11400;Brae Bravo;586911;991210;Marathon Oil UK Ltd;3;Oil & gas exploration and production;119456.8418;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11401;Brent Bravo;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;87405.9759;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11401;Brent Bravo;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;76983.68918;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11401;Brent Bravo;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;76815.73505;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11401;Brent Bravo;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;76126.2185;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11401;Brent Bravo;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;72981.54614;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11401;Brent Bravo;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;73695.78421;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11401;Brent Bravo;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;80588.37114;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11402;Brent Charlie;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;76803.52431;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11402;Brent Charlie;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;79195.27124;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11402;Brent Charlie;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;86654.91762;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11402;Brent Charlie;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;83036.85031;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11402;Brent Charlie;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;74509.87388;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11402;Brent Charlie;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;68121.9966;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11402;Brent Charlie;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;87819.8832;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11403;Brent Delta;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;75912.98328;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11403;Brent Delta;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;71001.70666;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11403;Brent Delta;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;72249.30198;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11403;Brent Delta;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;77345.09794;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11403;Brent Delta;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;76984.11381;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11403;Brent Delta;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;75778.39735;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11403;Brent Delta;599054;1251845;Shell UK Exploration & Production;3;Oil & gas exploration and production;67408.29967;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11404;Britannia;567631;913885;Britannia Operator Ltd;3;Oil & gas exploration and production;39574.35938;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11404;Britannia;567631;913885;Britannia Operator Ltd;3;Oil & gas exploration and production;102424.9618;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11404;Britannia;567631;913885;Britannia Operator Ltd;3;Oil & gas exploration and production;100945.8871;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11404;Britannia;567631;913885;Britannia Operator Ltd;3;Oil & gas exploration and production;100662.4163;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11404;Britannia;567631;913885;Britannia Operator Ltd;3;Oil & gas exploration and production;98460.99798;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11404;Britannia;567631;913885;Britannia Operator Ltd;3;Oil & gas exploration and production;129325.8764;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11404;Britannia;567631;913885;Britannia Operator Ltd;3;Oil & gas exploration and production;97420.21946;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11405;Bruce;600127;1098697;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;98396.44077;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11405;Bruce;600127;1098697;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;88732.48762;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11405;Bruce;600127;1098697;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;91161.50008;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11405;Bruce;600127;1098697;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;129964.0728;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11405;Bruce;600127;1098697;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;139040.6686;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11405;Bruce;600127;1098697;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;112744.743;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11405;Bruce;600127;1098697;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;98679.75178;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11406;Buchan Alpha;518701;891838;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;18136.14444;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11406;Buchan Alpha;518701;891838;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;10876.16725;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11406;Buchan Alpha;518701;891838;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;13362.29751;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11406;Buchan Alpha;518701;891838;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;14574.67174;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11406;Buchan Alpha;518701;891838;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;29629.50029;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11406;Buchan Alpha;518701;891838;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;35124.84352;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11406;Buchan Alpha;518701;891838;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;36427.43375;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11408;Captain FPSO;414105;934448;Chevron North Sea Ltd;3;Oil & gas exploration and production;35431.64568;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11410;Claymore Alpha;501003;951255;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;89080.12135;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11410;Claymore Alpha;501003;951255;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;89850.6286;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11410;Claymore Alpha;501003;951255;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;92538.93121;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11410;Claymore Alpha;501003;951255;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;79874.8445;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11410;Claymore Alpha;501003;951255;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;74427.38416;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11410;Claymore Alpha;501003;951255;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;83015.09542;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11410;Claymore Alpha;501003;951255;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;85628.9199;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11411;Cleeton;578174;464713;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;28019.64205;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11411;Cleeton;578174;464713;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;28685.72642;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11411;Cleeton;578174;464713;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;27537.15241;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11411;Cleeton;578174;464713;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;27374.9644;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11411;Cleeton;578174;464713;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;27131.56512;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11411;Cleeton;578174;464713;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;24635.10203;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11411;Cleeton;578174;464713;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;25576.23764;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11412;Clyde Alpha;664594;738180;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;60155.31817;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11412;Clyde Alpha;664594;738180;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;64241.74798;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11412;Clyde Alpha;664594;738180;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;74115.53771;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11412;Clyde Alpha;664594;738180;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;60792.28637;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11412;Clyde Alpha;664594;738180;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;65053.01828;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11412;Clyde Alpha;664594;738180;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;59764.06014;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11412;Clyde Alpha;664594;738180;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;54188.10765;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11413;Cormorant Alpha;567283;1253581;Shell UK Exploration & Production;3;Oil & gas exploration and production;88498.81347;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11413;Cormorant Alpha;567283;1253581;Shell UK Exploration & Production;3;Oil & gas exploration and production;93100.92227;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11413;Cormorant Alpha;567283;1253581;Shell UK Exploration & Production;3;Oil & gas exploration and production;73658.38508;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11413;Cormorant Alpha;567283;1253581;Shell UK Exploration & Production;3;Oil & gas exploration and production;72003.34693;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11413;Cormorant Alpha;567283;1253581;Shell UK Exploration & Production;3;Oil & gas exploration and production;77701.27748;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11413;Cormorant Alpha;567283;1253581;Shell UK Exploration & Production;3;Oil & gas exploration and production;53959.83615;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11413;Cormorant Alpha;567283;1253581;Shell UK Exploration & Production;3;Oil & gas exploration and production;44945.98353;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11414;Cpt Wellhead Protector Platform (WPP & BLP);414105;934448;Chevron North Sea Ltd;3;Oil & gas exploration and production;66159.18584;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11414;Cpt Wellhead Protector Platform (WPP & BLP);414105;934448;Chevron North Sea Ltd;3;Oil & gas exploration and production;56444.1902;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11414;Cpt Wellhead Protector Platform (WPP & BLP);414105;934448;Chevron North Sea Ltd;3;Oil & gas exploration and production;49140.23906;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11414;Cpt Wellhead Protector Platform (WPP & BLP);414105;934448;Chevron North Sea Ltd;3;Oil & gas exploration and production;76178.72391;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11414;Cpt Wellhead Protector Platform (WPP & BLP);414105;934448;Chevron North Sea Ltd;3;Oil & gas exploration and production;65690.75786;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11414;Cpt Wellhead Protector Platform (WPP & BLP);414105;934448;Chevron North Sea Ltd;3;Oil & gas exploration and production;67628.28098;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11414;Cpt Wellhead Protector Platform (WPP & BLP);414105;934448;Chevron North Sea Ltd;3;Oil & gas exploration and production;34930.96288;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11417;Douglas;296321;404747;BHP Billiton Petroleum Ltd;3;Oil & gas exploration and production;91369.08744;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11417;Douglas;296321;404747;BHP Billiton Petroleum Ltd;3;Oil & gas exploration and production;58226.48143;Tonnes;Unallocated
