identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0005100009;SUEZ RV NORD EST;2003;Air;Dioxyde de carbone (CO2) d'origine biomasse;15100000;kg/an
0006301297;PAULSTRA SNC;2003;Air;Tétrachloroéthylène (PER, tétrachloroéthylène);4820;kg/an
0005100008;Smurfit Kappa PRF;2003;Eau (direct);Carbone organique total (en tant que C total ou DCO/3);95000;kg/an
0005100009;SUEZ RV NORD EST;2003;Air;Méthane (CH4);1070000;kg/an
0005100114;TEREOS FRANCE (BUCY);2003;Air;Composés organiques volatils non méthaniques (COVNM);140000;kg/an
0005100114;TEREOS FRANCE (BUCY);2003;Air;Dioxyde de carbone (CO2) d'origine biomasse;20800000;kg/an
0005100114;TEREOS FRANCE (BUCY);2003;Air;Oxydes de soufre (SOx/SO2);325000;kg/an
0005100114;TEREOS FRANCE (BUCY);2003;Air;Oxydes d'azote (NOx/NO2);170000;kg/an
0005100114;TEREOS FRANCE (BUCY);2003;Eau (direct);Demande biologique en oxygène (DBO5);43000;kg/an
0005100141;ALTIFORT INNOVATECH;2003;Air;Trichloréthylène;7160;kg/an
0005100143;WEPA GREENFIELD SAS;2003;Eau (direct);Carbone organique total (en tant que C total ou DCO/3);91000;kg/an
0005100143;WEPA GREENFIELD SAS;2003;Eau (direct);Demande chimique en oxygène (DCO);240000;kg/an
0005100143;WEPA GREENFIELD SAS;2003;Eau (direct);Phénols (en tant que C total);32;kg/an
0005100185;ARKEMA Usine de Chauny;2003;Air;Composés organiques volatils non méthaniques (COVNM);85500;kg/an
0005100185;ARKEMA Usine de Chauny;2003;Air;Monoxyde de carbone (CO);5600000;kg/an
0005100185;ARKEMA Usine de Chauny;2003;Air;Oxydes d'azote (NOx/NO2);109000;kg/an
0005100185;ARKEMA Usine de Chauny;2003;Eau (direct);Sulfates;1800000;kg/an
0005100185;ARKEMA Usine de Chauny;2003;Eau (direct);Chlore;240000;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Air;1,2-dichloroéthane (DCE - chlorure d'éthylène);45600;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Air;Composés organiques volatils non méthaniques (COVNM);144000;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Air;Dichlorométhane (DCM, chlorure de méthylène);25400;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Air;Acrylonitrile;3920;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Air;Aldéhyde formique (formaldéhyde);1670;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Air;Chlore;61;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Air;Chlorométhane (chlorure de méthyle);11000;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Air;Méthanol (alcool méthylique);50100;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Air;Oxyde de bis(chlorométhyle);113;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Eau (direct);Demande chimique en oxygène (DCO);300000;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Eau (direct);Composés organohalogénés (exprimés en tant que AOX);5400;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Eau (direct);1,2-dichloroéthane (DCE - chlorure d'éthylène);180;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Eau (direct);Dichlorométhane (DCM, chlorure de méthylène);36;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Eau (direct);Chlorures (en tant que Cl total);3800000;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Eau (direct);Sulfates;3900000;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Eau (direct);Carbone organique total (en tant que C total ou DCO/3);100000;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Eau (direct);Aldéhyde formique (formaldéhyde);2000;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2003;Eau (direct);Chlore;3800000;kg/an
0005100191;NEXANS WIRES CHAUNY;2003;Air;Composés organiques volatils non méthaniques (COVNM);132000;kg/an
0005100191;NEXANS WIRES CHAUNY;2003;Air;Cuivre et composés (exprimés en tant que Cu);113;kg/an
0005100191;NEXANS WIRES CHAUNY;2003;Air;Crésol (mélange d'isomères);1490;kg/an
0005100191;NEXANS WIRES CHAUNY;2003;Air;Phénols (en tant que C total);118;kg/an
0005100220;SAINT LOUIS SUCRE ÉTABLISSEMENT NORD EST;2003;Air;Chrome et composés (exprimés en tant que Cr);400;kg/an
0005100220;SAINT LOUIS SUCRE ÉTABLISSEMENT NORD EST;2003;Air;Oxydes de soufre (SOx/SO2);398000;kg/an
0005100220;SAINT LOUIS SUCRE ÉTABLISSEMENT NORD EST;2003;Air;Oxydes d'azote (NOx/NO2);152000;kg/an
0005100220;SAINT LOUIS SUCRE ÉTABLISSEMENT NORD EST;2003;Air;Zinc et composés (exprimés en tant que Zn);247;kg/an
