ETS_Name;PRTR_Name;EUTL_Name;Similarity;
Essent Productie Geleen BV WKC Swentibold;Essent Productie Geleen BV;NA;0.12195122;
Sonneborn Refined Products;Sonneborn Refined Products BV (Amsterdam);NA;0.12195122;
ENGIE Maximacentrale;Maxima-centrale;NA;0.122222222;
AKW Energy BV;TAQA Energy BV;NA;0.122710623;x
Solidus Solutions Board BV locatie Oude Pekela;Solidus Solutions Board Oude Pekela;NA;0.127329193;
Hollandplant BV;Holland Malt BV;NA;0.127350427;
FrieslandCampina Domo locatie Borculo;FrieslandCampina Domo (Borculo);NA;0.128060207;
Schreurs Holland BV;Pharr Holland BV;NA;0.129385965;
SCA Hygiene Products Cuijk BV;SCA Hygiene Products BV (Tilburg);NA;0.130830855;
EPZ Conventional Operations;EPZ NV (Conventional Operations);NA;0.132330247;
WKC Enschede;RWZI Enschede;NA;0.132478632;
ESD-SIC bv;ESD-SIC BV;NA;0.133333333;
Dana Petroleum Netherlands BV facility F2-A-Hanze;Dana Petroleum Netherlands BV;NA;0.136054422;
McCain Foods Holland BV, vestiging Lelystad;McCain Foods Holland BV (Lelystad);NA;0.136129161;
FrieslandCampina DMV BV, locatie Veghel;FrieslandCampina DMV BV;NA;0.136752137;
Cargill BV Multiseed Amsterdam;Cargill BV (Multiseed);NA;0.141414141;
Koninklijke Mosa BV, locatie Wandtegel;Koninklijke Mosa BV Wandtegelfabriek;NA;0.141751949;
ENGIE Energie Nederland NV Centrale Gelderland;ENGIE Energie Nederland NV;NA;0.144927536;
O-I Manufacturing Netherlands BV, vestiging Maastricht;O-I Manufacturing Netherlands BV Schiedam;NA;0.145085501;x
Parenco BV;Enerco BV;NA;0.14537037;
Air Products Nederland BV, Locatie Botlek (Merseyweg);Air Products Nederland BV (Botlek);NA;0.14890862;
Sloe Centrale BV;Sloe Centrale BV (Vlissingen);NA;0.149425287;
BB Energy BV;TAQA Energy BV;NA;0.150793651;x
HB Energy BV;TAQA Energy BV;NA;0.150793651;x
Dana Petroleum Netherlands BV facility P11-B-De Ruyter;Dana Petroleum Netherlands BV;NA;0.154320988;
Warmte Station GalileÃ¯straat;EON Warmte Station Galileistraat;NA;0.156580688;
Air Products Nederland B.V., Locatie Botlek (Merseyweg);Air Products Nederland BV (Botlek);NA;0.156684492;
Solidus Solutions Board BV locatie Coevorden;Solidus Solutions Board Oude Pekela;NA;0.163461807;
Heineken Nederland BV, brouwerij Zoeterwoude;Heineken Netherlands Supply BV, brouwerij Zoeterwoude;NA;0.163492095;
Solidus Solutions Board BV locatie Hoogkerk;Solidus Solutions Board Groningen-Hoogkerk;NA;0.165190107;
Rodruza - Steenfabriek Zandberg BV;Rodruza Steenfabriek de Zandberg;NA;0.165604575;
Wienerberger BV Steenfabriek Esbeek;Wienerberger Steenfabriek Bemmel;NA;0.168852627;x
Wienerberger BV Steenfabriek Milsbeek;Wienerberger Steenfabriek De Vlijt;NA;0.169487324;x
Polman BV;Polskamp BV;NA;0.169612795;x
Ruigenhil Vastgoed BV Nedstaal BKG 1;Ruigenhil Vastgoed BV (Nedstaal/FNSteel/Heros);NA;0.171497585;
Air Liquide Industrie BV, vestiging Bergen op Zoom;Air Liquide Industrie BV;NA;0.173333333;x
RWE Eemshaven Magnum BV;RWE Eemshaven Holding II BV;NA;0.174280306;x
Shin-Etsu PVC BV Locatie Botlek;Shin-Etsu PVC BV (VCM Botlek);NA;0.174406748;
Wienerberger BV Steenfabriek Timmermans;Wienerberger Steenfabriek Thorn;NA;0.175940979;x
Suiker Unie fabriek Groningen;Suiker Unie (Groningen);NA;0.176495086;
Uniper Centrale Maasvlakte;Uniper Centrale Den Haag;NA;0.176731894;x
JSE BV;EPS BV;NA;0.177777778;x
Cosun Beet Company - Productielocatie Dinteloord;Cosun Beet Company-Dinteloord;NA;0.177921456;
Nouryon Industrial Chemicals BV (Rotterdam);Nobian Industrial Chemicals BV (Rotterdam);NA;0.1787489;x
Air Liquide Industrie BV, vestiging Botlek-Rotterdam;Air Liquide Industrie BV;NA;0.179487179;x
Vattenfall Power Velsen;Vattenfall Power Generation BV (Velsen);NA;0.180230398;
McCain Foods Holland BV, vestiging Lewedorp;McCain Foods Holland BV (Lelystad);NA;0.180535245;x
Wienerberger BV Steenfabriek Daams;Wienerberger Steenfabriek Haaften;NA;0.180757151;x
Ropa BV;Loparex BV;NA;0.180952381;x
Vattenfall Power IJmond;Vattenfall Power Generation BV (IJmond 1);NA;0.182573347;
Favini Apeldoorn BV;VION Apeldoorn BV;NA;0.18369453;x
ENGIE Centrale Harculo;Centrale Harculo;NA;0.184659091;
Wienerberger BV Steenfabriek Zennewijnen;Wienerberger Steenfabriek De Vlijt;NA;0.185056926;x
A.C. Hartman BV, locatie Sexbierum;A.C. Hartman BV;NA;0.18627451;
PPG Industries Fiber Glass BV;PPG Industries Delfzijl BV;NA;0.187802619;x
Wienerberger BV Steenfabriek De Roodvoet;Wienerberger Steenfabriek Doorwerth;NA;0.188364055;x
Cargill BV Sas van Gent;Cargill BV;NA;0.188405797;
Koninklijke Nedalco BV;Koninklijke Zeelandia;NA;0.191107504;x
Wienerberger BV Steenfabriek de Nijverheid;Wienerberger Steenfabriek Heteren;NA;0.192207792;x
Nouryon Industrial Chemicals BV (Hengelo);Nouryon Functional Chemicals BV;NA;0.193868928;
ENGIE Centrale Bergum;Centrale Bergum;NA;0.195238095;
AC Hartman BV, locatie Sexbierum;AC Hartman BV;NA;0.197916667;x
Yara Sluiskil BV BKG 1;YARA Sluiskil BV;NA;0.198863636;
A de Bruijn & Zn BV;NA;NA;NA;
Academisch Ziekenhuis Groningen;NA;NA;NA;
ADM Europoort BV;Archer Daniels Midland Europoort BV (ADM);NA;NA;
Agro Care;NA;NA;NA;
Agro Care Ontwikkeling II;NA;NA;NA;
Agro Care WP11 Exploitatie;NA;NA;NA;
Aluminium Delfzijl BV (Aldel);DAMCO Aluminium Delfzijl Coöperatie U.A.;NA;NA;
Amsteldijk Beheer BV;NA;NA;NA;
AVEBE UA locatie Foxhol;Avebe ua (Foxhol);NA;NA;
AVEBE UA locatie Gasselternijveen;Avebe ua (Gasselternijveen);NA;NA;
AVEBE UA locatie Ter Apelkanaal;NA;NA;NA;
AVEBE UA locatie Veendam (DWM);Avebe ba (DWM Veendam);NA;NA;
Aviko BV, vestiging Lomm;NA;NA;NA;
Aviko BV, vestiging Steenderen;NA;NA;NA;
Barendse DC II bv;NA;NA;NA;
Bavaria NV;NA;NA;NA;
Beekenkamp Plants BV;NA;NA;NA;
Bergmont BV;NA;NA;NA;
Bloemenkwekerij Nico Kiep BV;NA;NA;NA;
C Zwinkels;NA;NA;NA;
Cargill Bergen op Zoom BKG 1;NA;NA;NA;
Cargill BV Rotterdam Botlek;NA;NA;NA;
Centrica Production Nederland BV;NA;NA;NA;
CG van Winden BV;NA;NA;NA;
Chemelot BKG 01;Chemelot Site Permit BV;NA;NA;
CoÃ¶peratieve Grasdrogerij Ruinerwold en omstreken BA;NA;NA;NA;
CV JW Knoppert en zn;NA;NA;NA;
De Vries Erica BV;NA;NA;NA;
De Witte Ruiter Energie BV;NA;NA;NA;
Dekker Chrysanten BV;NA;NA;NA;
DOC Kaas BV, vestiging Zuivelpark;DOC Kaas (Zuivelfabriek);NA;NA;
DS Utility Plant;NA;NA;NA;
Effort Sharing Installation: Netherlands;NA;NA;NA;
E-max Aluminium Remelt;NA;NA;NA;
Emmtec Services BV;EMMTEC Services BV;NA;NA;
ENCI BV, vestiging IJmuiden;ENCI BV (IJmuiden);NA;NA;
ENCI BV, vestiging Maastricht;ENCI BV (Maastricht);NA;NA;
Eneco Centrale Lage Weide;Eneco Lage Weide;NA;NA;
Eneco Centrale Merwedekanaal;Eneco Merwedekanaal;NA;NA;
Eneco Hulpwarmtecentrale Kanaleneiland;Eneco HWC Kanaleneiland;NA;NA;
Eneco Hulpwarmtecentrale Nicolaas Beetsstraat;Eneco HWC Nicolaas Beetsstraat;NA;NA;
Eneco Hulpwarmtecentrale Nieuwegein;Eneco HWC Nieuwegein;NA;NA;
Eneco Hulpwarmtecentrale Overvecht;Eneco HWC Overvecht;NA;NA;
Eneco Solar, Bio & Hydro BV, HWC Ypenburg;NA;NA;NA;
Eneco Solar, Bio & Hydro BV, WKC Oosterheem;NA;NA;NA;
Eneco Solar, Bio & Hydro BV, WKC Vaanpark;NA;NA;NA;
Eneco Solar, Bio & Hydro BV, WKC Vathorst;NA;NA;NA;
Eneco Solar, Bio & Hydro BV, WKC Vijfwal;NA;NA;NA;
Eneco Solar, Bio & Hydro BV, WKC Wateringseveld;NA;NA;NA;
Eneco Solar, Bio & Hydro BV, WKC Ypenburg;NA;NA;NA;
Enecogen;ENECOGEN VOF;NA;NA;
Energie Productie Clauscentrale;Clauscentrale;NA;NA;
ENGIE E&P Nederland BV, F3-FB-1 platform;NA;NA;NA;
ENGIE E&P Nederland BV, K12-B platform;NA;NA;NA;
ENGIE Eemscentrale;NA;NA;NA;
EON Delft Gas Turbine Centrale;Eon Locatie Delft;NA;NA;
Eska Graphic Board Hoogezand;Eska BV;NA;NA;
Eska Graphic Board Sappemeer;Eska BV;NA;NA;
Essent BEC Cuijk;NA;NA;NA;
Essent NV Dongecentrale;Essent Energie Productie BV (Dongecentrale);NA;NA;
Essent NV WKC Helmond 3;NA;NA;NA;
Essent WKC Bergen op Zoom;NA;NA;NA;
Essent WKC Heineken;NA;NA;NA;
ESSO Raffinaderij Rotterdam;Esso Nederland BV (Raffinaderij Rotterdam);NA;NA;
f10294;NA;NA;NA;
F10349;NA;NA;NA;
f10928;NA;NA;NA;
f11885;NA;NA;NA;
f12150;NA;NA;NA;
Fa AJCM van Vliet en Zn;NA;NA;NA;
Fa Gebr Ammerlaan;NA;NA;NA;
Fa Gebr Zwinkels;NA;NA;NA;
Fa PCM van Vliet en Zn, Locatie Westland;NA;NA;NA;
Fa PCM van Vliet en Zn, Locatie Zeevliet;NA;NA;NA;
Ferro (Holland) BV Porcelain Enamel;Ferro (Holland) BV (HS);NA;NA;
Firma GJA van Adrichem;NA;NA;NA;
Firma H van der Kaaij & Zn;NA;NA;NA;
Firma HGL Zwinkels en Zn;NA;NA;NA;
Firma Kwekerij RIMATO;NA;NA;NA;
FloraHolland Aalsmeer;NA;NA;NA;
FloraHolland Vestiging Naaldwijk;NA;NA;NA;
