jaar;nic;bedrijfsnaam;plaats;stof;emissie totaal;eenheid
2000;60;Sappi Maastricht BV;Maastricht;Kooldioxide (CO2);276900000;kg
2000;62;Chemelot Site Permit BV;Geleen;Kooldioxide (CO2);2983143000;kg
2000;65;PQ Silicas BV;Eijsden;Kooldioxide (CO2);34138000;kg
2000;66;Marsna Paper B.V.;Meerssen;Kooldioxide (CO2);18996000;kg
2000;84;BASF Nederland B.V.;Maastricht;Kooldioxide (CO2);6057000;kg
2000;113;VDL Nedcar B.V.;Born;Kooldioxide (CO2);32000000;kg
2000;148;ENCI BV (Maastricht);Maastricht;Kooldioxide (CO2);776821000;kg
2000;159;Fenzi AGT Netherlands B.V.;Maastricht;Kooldioxide (CO2);4028597;kg
2000;174;Tata Steel Nederland Tubes BV locatie Maastricht;Maastricht;Kooldioxide (CO2);710655;kg
2000;325;Lawter Maastricht BV;Maastricht;Kooldioxide (CO2);3885021;kg
2000;1102;Honeywell Fluorine Products Europe B.V.;Weert;Kooldioxide (CO2);4934760;kg
2000;1104;Solvay Chemie BV;Herten;Kooldioxide (CO2);8156000;kg
2000;1107;Nouryon Functional Chemicals B.V.;Herkenbosch;Kooldioxide (CO2);10553585;kg
2000;1404;DSM Pharma Chemicals Venlo BV;Venlo;Kooldioxide (CO2);5163000;kg
2000;3513;MGG Netherlands BV;Tegelen;Kooldioxide (CO2);4337328;kg
2000;3853;Alcoa Nederland B.V.;Roermond;Kooldioxide (CO2);7089;kg
2000;4301;Smurfit Westrock Roermond Paper BV;Roermond;Kooldioxide (CO2);153055000;kg
2000;4753;Rockwool B.V.;Roermond;Kooldioxide (CO2);167350000;kg
2000;5727;EverZinc Nederland B.V.;Eijsden;Kooldioxide (CO2);13206000;kg
2000;5729;Celanese Production Netherlands B.V.;Geleen;Kooldioxide (CO2);5698301;kg
2000;5739;E-MAX BILLETS;Kerkrade;Kooldioxide (CO2);13621913;kg
2000;5740;WEPA Nederland B.V.;Swalmen;Kooldioxide (CO2);23782000;kg
2000;5743;Walkro Blitterswijck BV;Blitterswijck;Kooldioxide (CO2);331420;kg
2000;5746;Nuon Power Generation BV (Buggenum);Haelen;Kooldioxide (CO2);9870000;kg
2000;5750;FrieslandCampina Born;Born;Kooldioxide (CO2);4807000;kg
2000;9003;Everris International BV;Heerlen;Kooldioxide (CO2);8629;kg
2000;9014;Essent Productie Geleen B.V.;Geleen;Kooldioxide (CO2);800000000;kg
2000;10001;Nobian Industrial Chemicals BV (Rotterdam);Botlek Rotterdam;Kooldioxide (CO2);193179000;kg
2000;10002;Nouryon Performance Formulations b.v.;Europoort Rotterdam;Kooldioxide (CO2);33955000;kg
2000;10003;Synres B.V.;Hoek Van Holland;Kooldioxide (CO2);10540181;kg
2000;10004;Lyondell Chemical Nederland Ltd.;Botlek Rotterdam;Kooldioxide (CO2);108939349;kg
2000;10005;LBC Rotterdam BV;Botlek Rotterdam;Kooldioxide (CO2);5157000;kg
2000;10006;Shell Nederland Chemie BV (Pernis);Vondelingenplaat Rotterdam;Kooldioxide (CO2);55020000;kg
2000;10011;Leerdammer Company BV;Schoonrewoerd;Kooldioxide (CO2);598500;kg
2000;10012;Kemira Agro Pernis BV;Vondelingenplaat Rotterdam;Kooldioxide (CO2);449552;kg
2000;10013;Hydro Agri Rotterdam B.V.;Vlaardingen;Kooldioxide (CO2);9500;kg
2000;10016;Climax Molybdenum BV;Botlek Rotterdam;Kooldioxide (CO2);8002806;kg
2000;10017;Evonik Carbon Black Nederland BV;Botlek Rotterdam;Kooldioxide (CO2);141000000;kg
2000;10042;Kemira Rotterdam B.V. - locatie Botlek;Botlek Rotterdam;Kooldioxide (CO2);700000;kg
2000;10062;ExxonMobil Chemical Holland BV (RAP);Botlek Rotterdam;Kooldioxide (CO2);459524000;kg
2000;10063;AVR-Afvalverwerking;Botlek Rotterdam;Kooldioxide (CO2);2436202465;kg
2000;10073;Tronox Pigments (Holland) BV;Botlek Rotterdam;Kooldioxide (CO2);105866000;kg
2000;10076;HVC AfvalEnergieCentrale Dordrecht;Dordrecht;Kooldioxide (CO2);299343754;kg
2000;10079;Chemours Netherlands B.V.;Dordrecht;Kooldioxide (CO2);273346951;kg
2000;10082;Akzo Nobel Car Refinishes B.V.;Sassenheim;Kooldioxide (CO2);3851500;kg
2000;10086;NV Nutricia Zoetermeer;Zoetermeer;Kooldioxide (CO2);8722000;kg
2000;10095;Delft Gelatin B.V.;Delft;Kooldioxide (CO2);13489650;kg
2000;10097;SD Guthrie International Zwijndrecht Refinery B.V.;Zwijndrecht;Kooldioxide (CO2);56602950;kg
2000;10546;Lactalis Leerdammer BV (Schoonrewoerd);Schoonrewoerd;Kooldioxide (CO2);3270000;kg
2000;10590;FrieslandCampina Rotterdam;Rotterdam;Kooldioxide (CO2);2466000;kg
2000;10615;ENCI BV (Rotterdam);Botlek Rotterdam;Kooldioxide (CO2);20669441;kg
2000;10621;Hunter Douglas Europe BV;Rotterdam;Kooldioxide (CO2);16687000;kg
2000;10687;Biotech Campus Delft;Delft;Kooldioxide (CO2);198430000;kg
2000;10689;Air Products Nederland BV (Botlek);Botlek Rotterdam;Kooldioxide (CO2);206823000;kg
2000;10698;Cargill Bioindustrial BV;Gouda;Kooldioxide (CO2);50681244;kg
2000;10722;O-I Manufacturing Netherlands BV Schiedam;Schiedam;Kooldioxide (CO2);75961415;kg
2000;10723;O-I Netherlands BV (Leerdam);Leerdam;Kooldioxide (CO2);116140181;kg
2000;10738;Cerexagri BV / ARKEMA Rotterdam BV;Vondelingenplaat Rotterdam;Kooldioxide (CO2);10045000;kg
2000;10793;Tata Steel Nederland Tubes BV locatie Zwijndrecht;Zwijndrecht;Kooldioxide (CO2);987660;kg
2000;10829;Cosun Beet company (Puttershoek);Puttershoek;Kooldioxide (CO2);81733225;kg
2000;10928;Aluminium & Chemie Rotterdam B.V.;Botlek Rotterdam;Kooldioxide (CO2);126284000;kg
2000;10971;Ferro (Holland) B.V. (HS);Rotterdam;Kooldioxide (CO2);8723000;kg
2000;10972;Ferro (Holland) B.V. (IW);Rotterdam;Kooldioxide (CO2);2371000;kg
2000;11024;Cabot B.V.;Botlek Rotterdam;Kooldioxide (CO2);167889730;kg
2000;11046;PURAC Biochem B.V.;Gorinchem;Kooldioxide (CO2);68120000;kg
2000;11105;Heineken Netherlands Supply B.V., brouwerij Zoeterwoude;Zoeterwoude;Kooldioxide (CO2);77162013;kg
2000;11111;Ashland Industries Nederland B.V.;Zwijndrecht;Kooldioxide (CO2);20443000;kg
2000;11366;LANXESS Rotterdam Botlek;Botlek Rotterdam;Kooldioxide (CO2);279519000;kg
2000;12134;Archer Daniels Midland Europoort BV (ADM);Europoort Rotterdam;Kooldioxide (CO2);301903000;kg
2000;12135;ExxonMobil Chemical Holland BV (ROP van RPI);Europoort Rotterdam;Kooldioxide (CO2);87932000;kg
2000;12147;E.ON Warmte Station Galileistraat;Rotterdam;Kooldioxide (CO2);521279000;kg
2000;12149;Uniper Benelux NV (Maasvlakte);Maasvlakte Rotterdam;Kooldioxide (CO2);5290000000;kg
2000;12158;HVC Slibverbrandingsinstallatie;Dordrecht;Kooldioxide (CO2);108006500;kg
2000;12162;Evos Rotterdam B.V.;Europoort Rotterdam;Kooldioxide (CO2);7870574;kg
2000;12167;UZIMET BV;Rijswijk;Kooldioxide (CO2);225000;kg
2000;12168;INV NYLON CHEMICALS NETHERLANDS B.V.;Botlek Rotterdam;Kooldioxide (CO2);10727950;kg
2000;12170;FrieslandCampina Maasdam;Maasdam;Kooldioxide (CO2);1901000;kg
2000;12171;Zuivelfabriek De Graafstroom;Bleskensgraaf Ca;Kooldioxide (CO2);3267880;kg
2000;12172;Promelca B.V. (Gorinchem);Gorinchem;Kooldioxide (CO2);25381000;kg
2000;12174;Ducor Petrochemicals B.V.;Botlek Rotterdam;Kooldioxide (CO2);8370169;kg
2000;12176;Air Products Nederland BV (Pernis);Vondelingenplaat Rotterdam;Kooldioxide (CO2);532095000;kg
2000;12177;VPR Energy B.V.;Europoort Rotterdam;Kooldioxide (CO2);60560000;kg
2000;13001;Tessenderlo Chemie Rotterdam BV;Vlaardingen;Kooldioxide (CO2);7972949;kg
2000;19004;ExxonMobil Chemical Holland BV (RPP van RPI);Botlek Rotterdam;Kooldioxide (CO2);35134000;kg
2000;19071;Shin-Etsu PVC BV (VCM Botlek);Botlek Rotterdam;Kooldioxide (CO2);77943500;kg
2000;19072;FrieslandCampina Nederland B.V.;Noordwijk;Kooldioxide (CO2);1305000;kg
2000;21010;Sonneborn Refined Products BV (Amsterdam);Amsterdam;Kooldioxide (CO2);26280000;kg
2000;21011;Rütgers Resins B.V.;Uithoorn;Kooldioxide (CO2);23582000;kg
2000;21101;Ketjen Netherlands BV;Amsterdam;Kooldioxide (CO2);86629000;kg
2000;21102;ICL FERTILIZERS EUROPE C.V.;Amsterdam;Kooldioxide (CO2);15767000;kg
2000;21103;DSM Agro BV;Velsen-Noord;Kooldioxide (CO2);11171000;kg
2000;21104;GE Plastics ABS B.V.;Amsterdam;Kooldioxide (CO2);13913000;kg
2000;21301;LANXESS Manufacturing Netherlands BV;Amsterdam;Kooldioxide (CO2);5826761;kg
2000;21302;Abbott Healthcare Products BV (Weesp);Weesp;Kooldioxide (CO2);18275836;kg
2000;21304;Givaudan Nederland B.V. (Naarden);Naarden;Kooldioxide (CO2);10728717;kg
2000;21403;Norit Nederland BV (Zaandam);Zaandam;Kooldioxide (CO2);33764786;kg
2000;22002;Campina BV (Heiloo);Heiloo;Kooldioxide (CO2);1939000;kg
2000;22006;FrieslandCampina Nederland B.V. Lutjewinkel;Lutjewinkel;Kooldioxide (CO2);5267000;kg
2000;22007;Campina BV (Ursem);Ursem;Kooldioxide (CO2);4790000;kg
2000;22008;Kaptein PCF;Oosthuizen;Kooldioxide (CO2);588000;kg
2000;22010;DMV International, locatie Uitgeest;Uitgeest;Kooldioxide (CO2);7395000;kg
2000;22011;CONO Kaasmakers (Stompetoren);Stompetoren;Kooldioxide (CO2);6850000;kg
2000;22012;CONO Kaasmakers (Middenbeemster);Westbeemster;Kooldioxide (CO2);2658000;kg
2000;22020;Campina BV (Hilversum);Hilversum;Kooldioxide (CO2);2146000;kg
2000;22617;Bunge Netherlands BV;Amsterdam;Kooldioxide (CO2);60593000;kg
2000;22626;Cargill BV (Multiseed);Amsterdam;Kooldioxide (CO2);32389088;kg
2000;23301;Tata Steel IJmuiden BV;Velsen-Noord;Kooldioxide (CO2);5702000000;kg
2000;24000;Vattenfall Power Generation B.V. (Hemweg);Amsterdam;Kooldioxide (CO2);3708547897;kg
2000;24003;Vattenfall Power Generation B.V. (Velsen);Velsen-Noord;Kooldioxide (CO2);3929523961;kg
2000;24302;Crown van Gelder International B.V.;Velsen-Noord;Kooldioxide (CO2);150000000;kg
2000;24714;ENCI BV (IJmuiden);Velsen-Noord;Kooldioxide (CO2);36534770;kg
2000;28070;Alpha Assembly Solutions Netherlands BV;Naarden;Kooldioxide (CO2);1353000;kg
2000;28072;Quaker Chemical B.V. (A Quaker Houghton Company);Uithoorn;Kooldioxide (CO2);2271070;kg
2000;28085;AEB Amsterdam;Amsterdam;Kooldioxide (CO2);744009092;kg
2000;28091;HVC N.V.;Alkmaar;Kooldioxide (CO2);428202500;kg
2000;28095;Campina BV (Alkmaar);Alkmaar;Kooldioxide (CO2);101000;kg
2000;28096;Friesland Foods Cheese BV (Huizen);Huizen;Kooldioxide (CO2);362000;kg
2000;28097;A-ware Zaandam BV;Zaandam;Kooldioxide (CO2);177000;kg
2000;28098;FrieslandCampina Limmen (Ecomel);Limmen;Kooldioxide (CO2);686000;kg
2000;28175;Waeles Nederland BV;Nieuw-Vennep;Kooldioxide (CO2);380650;kg
2000;28176;Vattenfall Power Generation B.V. (IJmond 1);Velsen-Noord;Kooldioxide (CO2);1923519650;kg
2000;31201;Rohm and Haas B.V.;Amersfoort;Kooldioxide (CO2);1792164;kg
2000;31301;DSM Minera;Maarssen;Kooldioxide (CO2);4832100;kg
2000;31306;Pembroek B.V.;Loosdrecht;Kooldioxide (CO2);90300;kg
2000;31311;CARBOGEN AMCIS B.V.;Veenendaal;Kooldioxide (CO2);3651200;kg
2000;31322;Kerry Bio-Science (Utrecht);Utrecht;Kooldioxide (CO2);2717000;kg
2000;39103;Koninklijke ERU Kaasfabriek B.V.;Woerden;Kooldioxide (CO2);805000;kg
2000;39111;NEDAL Aluminium BV (Utrecht);Utrecht;Kooldioxide (CO2);5282000;kg
2000;41003;Shell Nederland Chemie BV (Moerdijk);Moerdijk;Kooldioxide (CO2);2415645000;kg
2000;41101;SABIC Innovative Plastics BV;Bergen op Zoom;Kooldioxide (CO2);604235759;kg
2000;41102;Allnex Netherlands B.V.;Bergen op Zoom;Kooldioxide (CO2);15900400;kg
2000;41103;Synthos Breda BV;Breda;Kooldioxide (CO2);10154851;kg
2000;41106;IFF Nederland BV;Tilburg;Kooldioxide (CO2);7098000;kg
2000;41108;Caldic Chemie Produktie BV;Zevenbergen;Kooldioxide (CO2);9984068;kg
2000;41307;Aspen Oss B.V.;Oss;Kooldioxide (CO2);30274000;kg
2000;41402;Trobas Gelatine B.V.;Dongen;Kooldioxide (CO2);7401744;kg
2000;41428;Covestro (Netherlands) B.V., vestiging Waalwijk;Waalwijk;Kooldioxide (CO2);4908086;kg
2000;42022;Nutricia Cuijk B.V.;Cuijk;Kooldioxide (CO2);7505000;kg
2000;42028;Campina Foodservice (Bergeyk);Bergeijk;Kooldioxide (CO2);3496000;kg
2000;42034;FrieslandCampina DMV B.V.;Veghel;Kooldioxide (CO2);39516000;kg
2000;42309;CSM Suiker BV (Wittouck);Breda;Kooldioxide (CO2);58200000;kg
2000;42310;Cosun Beet Company-Dinteloord;Dinteloord;Kooldioxide (CO2);106266710;kg
2000;42408;Swinkels Family Brewers N.V.;Lieshout;Kooldioxide (CO2);50154;kg
2000;42629;Cargill BV;Bergen op Zoom;Kooldioxide (CO2);68510000;kg
2000;42834;Rendac Son BV;Son en Breugel;Kooldioxide (CO2);42198000;kg
2000;43001;Avesta Sandvik Tube B.V.;Helmond;Kooldioxide (CO2);261000;kg
2000;43003;Tata Steel Nederland Tubes BV locatie Oosterhout;Oosterhout;Kooldioxide (CO2);13657000;kg
2000;43012;Hitmetal B.V.;Beek en Donk;Kooldioxide (CO2);214;kg
2000;43013;Nyrstar Budel BV;Budel-Dorplein;Kooldioxide (CO2);18919000;kg
2000;43403;DAF Trucks N.V.;Eindhoven;Kooldioxide (CO2);20749100;kg
2000;43513;LDM b.v.;Drunen;Kooldioxide (CO2);1394562;kg
2000;43514;Outokumpu Copper HME BV;Waalwijk;Kooldioxide (CO2);235000;kg
2000;43856;Hydro Extrusion Drunen;Drunen;Kooldioxide (CO2);18483702;kg
2000;44004;Amer Centrale;Geertruidenberg;Kooldioxide (CO2);6411732000;kg
2000;44006;RWZI Oijen (Waterschap Aa en Maas);Oijen;Kooldioxide (CO2);3968313;kg
2000;44007;PreZero Energy Roosendaal B.V.;Roosendaal;Kooldioxide (CO2);39033000;kg
2000;44162;Vlisco Netherlands BV;Helmond;Kooldioxide (CO2);25898650;kg
2000;44303;SCA Hygiene Products BV (Tilburg);Tilburg;Kooldioxide (CO2);12374000;kg
2000;44772;Ardagh Glass Dongen BV;Dongen;Kooldioxide (CO2);93300950;kg
2000;44773;Saint Gobain Construction Products NL BV;Etten-Leur;Kooldioxide (CO2);74017476;kg
2000;48002;Unipol Holland BV;Oss;Kooldioxide (CO2);2395750;kg
2000;48020;CNC;Moerdijk;Kooldioxide (CO2);52007701;kg
2000;48022;Dr. W. Kolb Nederland BV;Klundert;Kooldioxide (CO2);1928200;kg
2000;48023;FrieslandCampina Rijkevoort (Holland Cheese);Rijkevoort;Kooldioxide (CO2);8339000;kg
2000;48024;Essity Operations Cuijk B.V.;Katwijk NB;Kooldioxide (CO2);21581000;kg
2000;48029;FrieslandCampina Eindhoven (Consumer Products Europe);Eindhoven;Kooldioxide (CO2);4618000;kg
2000;48031;FrieslandCampina Butter & Milkpowder - Den Bosch;'s-Hertogenbosch;Kooldioxide (CO2);2775000;kg
2000;48040;FrieslandCampina Tilburg (Holland Cheese);Tilburg;Kooldioxide (CO2);7717000;kg
2000;48051;KBM Master Alloys BV (Oss);Oss;Kooldioxide (CO2);811196;kg
2000;48073;Nedzink BV;Budel-Dorplein;Kooldioxide (CO2);1653000;kg
2000;48074;Friesland Foods Cheese;Raamsdonksveer;Kooldioxide (CO2);177000;kg
2000;48080;Nutrifeed Veghel BV;Veghel;Kooldioxide (CO2);70000;kg
2000;49005;Frico Slices BV (Raamsdonkveer);Raamsdonksveer;Kooldioxide (CO2);41000;kg
2000;49006;WKC Moerdijk;Moerdijk;Kooldioxide (CO2);515355462;kg
2000;49010;Basell Benelux B.V.;Moerdijk;Kooldioxide (CO2);957000;kg
2000;51101;Synthomer Middelburg BV;Middelburg;Kooldioxide (CO2);48228000;kg
2000;51102;Rosier Nederland B.V.;Sas Van GEnt;Kooldioxide (CO2);20335000;kg
2000;51104;Dow Benelux BV (Hoek);Hoek;Kooldioxide (CO2);1871397994;kg
2000;51105;YARA Sluiskil BV;Sluiskil;Kooldioxide (CO2);2546315000;kg
2000;51107;ARKEMA B.V. location Vlissingen;Vlissingen;Kooldioxide (CO2);6087972;kg
2000;51404;ICL-IP Terneuzen BV;Terneuzen;Kooldioxide (CO2);9756000;kg
2000;52612;Cargill Benelux BV;Sas Van GEnt;Kooldioxide (CO2);227450000;kg
2000;53504;Zeeland Aluminium Company (Zalco BV);Vlissingen;Kooldioxide (CO2);353763000;kg
2000;54001;EPZ NV (Conventional Operations);Borssele;Kooldioxide (CO2);1818532638;kg
2000;56118;Stepan Nederland BV;Ritthem;Kooldioxide (CO2);11655710;kg
2000;56119;Decontamination Services BV;Ritthem;Kooldioxide (CO2);23282500;kg
2000;56121;ThermPhos International BV;Ritthem;Kooldioxide (CO2);261502272;kg
2000;61302;N.V. Organon vergunning ingetrokken;Apeldoorn;Kooldioxide (CO2);1780248;kg
2000;61411;Sonac Vuren BV;Vuren;Kooldioxide (CO2);22490178;kg
2000;61412;National Starch & Chemical B.V.;Zutphen;Kooldioxide (CO2);665000;kg
2000;61418;SACHEM Europe BV;Zaltbommel;Kooldioxide (CO2);3161726;kg
2000;61423;BASF Nederland B.V.;Arnhem;Kooldioxide (CO2);1188000;kg
2000;61425;Enka B.V.;Ede;Kooldioxide (CO2);153457000;kg
2000;61426;CP Kelco;Nijmegen;Kooldioxide (CO2);934000;kg
2000;61436;Givaudan Nederland BV (Barneveld);Barneveld;Kooldioxide (CO2);5190000;kg
2000;62006;FrieslandCampina Cheese Varsseveld;Varsseveld;Kooldioxide (CO2);2424000;kg
2000;62009;FrieslandCampina Butter&Milkpowder (Lochem);Lochem;Kooldioxide (CO2);34650000;kg
2000;62010;Nestlé Nederland BV (Nunspeet);Nunspeet;Kooldioxide (CO2);15415000;kg
2000;62013;FrieslandCampina Steenderen;Steenderen;Kooldioxide (CO2);3392000;kg
2000;62016;Frico Cheese BV (Winterswijk);Winterswijk;Kooldioxide (CO2);2783000;kg
2000;62025;FrieslandCampina (Borculo);Borculo;Kooldioxide (CO2);13459000;kg
2000;62027;Friesche Vlag BV (Arnhem);Arnhem;Kooldioxide (CO2);5795000;kg
2000;62031;Arla Foods BV;Nijkerk;Kooldioxide (CO2);3289000;kg
2000;63003;Corus Tubes Arnhem;Arnhem;Kooldioxide (CO2);164000;kg
2000;63012;KME Netherlands B.V.;Zutphen;Kooldioxide (CO2);6876000;kg
2000;63508;Nijmeegsche IJzergieterij BV;Nijmegen;Kooldioxide (CO2);4709000;kg
2000;63524;Lincoln Smitweld B.V.;Nijmegen;Kooldioxide (CO2);1962677;kg
2000;63601;Hydro Extrusion Harderwijk;Harderwijk;Kooldioxide (CO2);17797000;kg
2000;64304;Papierfabriek Doetinchem bv;Doetinchem;Kooldioxide (CO2);31830000;kg
2000;64308;Sappi Nijmegen BV/InnovioPapers;Nijmegen;Kooldioxide (CO2);102514000;kg
2000;64335;DS Smith De Hoop B.V.;Eerbeek;Kooldioxide (CO2);239542000;kg
2000;64353;Stora Enso;Wapenveld;Kooldioxide (CO2);250247000;kg
2000;64354;VHP Security Paper B.V.;Ugchelen;Kooldioxide (CO2);6459000;kg
2000;64360;Smurfit Westrock Parenco B.V.;Renkum;Kooldioxide (CO2);263457000;kg
2000;66201;Coldenhove Paper B.V.;Eerbeek;Kooldioxide (CO2);18585000;kg
2000;66206;TANATEX Chemicals BV;Ede;Kooldioxide (CO2);889538;kg
2000;66220;Smart Packaging Solutions B.V.;Loenen;Kooldioxide (CO2);9950000;kg
2000;66239;Mead Johnson B.V.;Nijmegen;Kooldioxide (CO2);5767000;kg
2000;66253;Stichting Mestverwerking Gelderland SMG (KGBI Stroe);Stroe;Kooldioxide (CO2);3000000;kg
2000;66325;Stichting Mestverwerking Gelderland SMG (KGBI Elspeet);Elspeet;Kooldioxide (CO2);2300000;kg
2000;66355;PFW Aroma ingredients bv;Barneveld;Kooldioxide (CO2);1142700;kg
2000;69033;Vika BV;Ede;Kooldioxide (CO2);2352000;kg
2000;69040;Frico Cheese BV (Markelo);Markelo;Kooldioxide (CO2);765000;kg
2000;69067;Groot Zevert Vergisting;Beltrum;Kooldioxide (CO2);912627;kg
2000;71102;KLK Kolb Specialties B.V.;Delden;Kooldioxide (CO2);6886452;kg
2000;71103;Nouryon Functional Chemicals;Deventer;Kooldioxide (CO2);11506863;kg
2000;71105;Nobian Chemicals BV (Hengelo);Hengelo;Kooldioxide (CO2);427800000;kg
2000;71301;Abbott Biologicals B.V. (Olst);Olst;Kooldioxide (CO2);1677000;kg
2000;72010;Frico Cheese BV (Wierden);Wierden;Kooldioxide (CO2);1861000;kg
2000;72016;Royal Lactalis Leerdammer BV (Dalfsen);Dalfsen;Kooldioxide (CO2);3788000;kg
2000;72024;Ausnutria Kampen BV;Kampen;Kooldioxide (CO2);9158000;kg
2000;72025;Coöp. Zuivelindustrie Dinkelland B.A.;Losser;Kooldioxide (CO2);1615000;kg
2000;72027;Ausnutria Ommen B.V.;Ommen;Kooldioxide (CO2);2251000;kg
2000;72030;Friesland Nutrition, Rijssen;Rijssen;Kooldioxide (CO2);981000;kg
2000;73508;Aluminium Hardenberg B.V.;Hardenberg;Kooldioxide (CO2);11420000;kg
2000;74003;Centrale Harculo;Zwolle;Kooldioxide (CO2);83000000;kg
2000;75305;locatie Boeldershoek;Hengelo;Kooldioxide (CO2);230000000;kg
2000;75342;FrieslandCampina Balkbrug;Balkbrug;Kooldioxide (CO2);8567000;kg
2000;75349;CZ Rouveen kaasspecialiteiten;Rouveen;Kooldioxide (CO2);730000;kg
2000;81103;Norit Nederland B.V.;Klazienaveen;Kooldioxide (CO2);139000000;kg
2000;81104;DOC Kaas (Zuivelfabriek);Hoogeveen;Kooldioxide (CO2);8552000;kg
2000;81105;Diolen Industrial Fibers B.V.;Emmen;Kooldioxide (CO2);225569525;kg
2000;81202;AOC Nederland BV (Schoonebeek);Zandpol;Kooldioxide (CO2);13114000;kg
2000;82002;FrieslandCampina Domo B.V. (Beilen);Beilen;Kooldioxide (CO2);9815000;kg
2000;82603;Avebe u.a. (Gasselternijveen);Gasselternijveen;Kooldioxide (CO2);99791000;kg
2000;83019;Frico Cheese BV (Assen);Assen;Kooldioxide (CO2);8556000;kg
2000;83501;2 RG;Klazienaveen;Kooldioxide (CO2);7803356;kg
2000;84999;FrieslandCampina Kievit (Meppel);Meppel;Kooldioxide (CO2);15208000;kg
2000;85002;Attero BV;Wijster;Kooldioxide (CO2);588101000;kg
2000;85003;Envalior Engineering Materials B.V.;Emmen;Kooldioxide (CO2);145848;kg
2000;85005;Friesland Foods Cheese;Meppel;Kooldioxide (CO2);358000;kg
2000;92001;FrieslandCampina Cheese Gerkesklooster;Gerkesklooster;Kooldioxide (CO2);15986000;kg
2000;92004;Hochwald Foods Nederland BV;Bolsward;Kooldioxide (CO2);6939000;kg
2000;92008;Phoenix BV;Scharsterbrug;Kooldioxide (CO2);7917000;kg
2000;92011;Frico Cheese, Sint Nicolaasga;Sint Nicolaasga;Kooldioxide (CO2);1103000;kg
2000;92012;FrieslandCampina (Leeuwarden);Leeuwarden;Kooldioxide (CO2);7891000;kg
2000;92015;FrieslandCampina Dronrijp;Dronryp;Kooldioxide (CO2);9387000;kg
2000;92016;Friesland Foods Cheese BV (Oosterwolde);Oosterwolde;Kooldioxide (CO2);14953000;kg
2000;92018;Frico Cheese BV (Elsloo);Elsloo;Kooldioxide (CO2);4851000;kg
2000;92020;Frico Cheese BV (Olterterp);Olterterp;Kooldioxide (CO2);4851000;kg
2000;92023;Frico Cheese BV (Burgum);Burgum;Kooldioxide (CO2);5571000;kg
2000;92025;Frico Cheese, Wolvega;De Blesse;Kooldioxide (CO2);1263000;kg
2000;92030;FrieslandCampina (Workum);Workum;Kooldioxide (CO2);16961000;kg
2000;94003;Centrale Bergum;Burgum;Kooldioxide (CO2);57000000;kg
2000;94301;Huhtamaki Nederland B.V.;Franeker;Kooldioxide (CO2);14975000;kg
2000;94706;BASF Nederland B.V.;Heerenveen;Kooldioxide (CO2);9172761;kg
2000;101002;Henkel Nederland Operations B.V.;Scheemda;Kooldioxide (CO2);1526836;kg
2000;101103;BioMCN B.V.;Farmsum;Kooldioxide (CO2);645000000;kg
2000;101104;Dow Benelux B.V.;Delfzijl;Kooldioxide (CO2);9467564;kg
2000;101105;P.Q. Silicas B.V.;Winschoten;Kooldioxide (CO2);16961000;kg
2000;101108;Qemetica NL Silica bv;Delfzijl;Kooldioxide (CO2);29600000;kg
2000;101404;Delamine B.V.;Farmsum;Kooldioxide (CO2);1225124;kg
2000;101405;Electric Glass Fiber NL, B.V.;Westerbroek;Kooldioxide (CO2);55293000;kg
2000;101408;Nedmag B.V.;Veendam;Kooldioxide (CO2);90270759;kg
2000;102001;FrieslandCampina Nederland B.V.;Bedum;Kooldioxide (CO2);18818000;kg
2000;102301;Suiker Unie (Groningen);Groningen;Kooldioxide (CO2);101784097;kg
2000;102302;Cosun Beet Company-Vierverlaten;Groningen;Kooldioxide (CO2);82256100;kg
2000;102615;Avebe b.a. (DWM Veendam);Veendam;Kooldioxide (CO2);21626000;kg
2000;102620;Coöperatie AVEBE U.A.;Ter Apelkanaal;Kooldioxide (CO2);160645000;kg
2000;102621;Avebe u.a. (Foxhol);Foxhol;Kooldioxide (CO2);69195000;kg
2000;103009;KBM Master Alloys B.V.;Delfzijl;Kooldioxide (CO2);3154048;kg
2000;103010;DAMCO Aluminium Delfzijl Coöperatie U.A.;Farmsum;Kooldioxide (CO2);179704000;kg
2000;104001;ENGIE Energie Nederland NV;Eemshaven;Kooldioxide (CO2);4417000000;kg
2000;104003;Delesto B.V.;Farmsum;Kooldioxide (CO2);1844362738;kg
2000;104301;WKC De Eendracht;Appingedam;Kooldioxide (CO2);66146000;kg
2000;104302;Solidus Solutions Board Groningen-Hoogkerk;Groningen;Kooldioxide (CO2);26781000;kg
2000;104304;Eska B.V.;Hoogezand;Kooldioxide (CO2);65044000;kg
2000;104305;Eska B.V.;Sappemeer;Kooldioxide (CO2);51269000;kg
2000;104307;Solidus Board Bad Nieuweschans B.V.;Bad Nieuweschans;Kooldioxide (CO2);38580000;kg
2000;104521;FrieslandCampina Wolvega;Wolvega;Kooldioxide (CO2);1263000;kg
2000;105001;ChemCom Industries BV;Farmsum;Kooldioxide (CO2);131925;kg
2000;105004;Teijin Aramid B.V.;Farmsum;Kooldioxide (CO2);16526257;kg
2000;105007;FrieslandCampina Nederland B.V.;Marum;Kooldioxide (CO2);8019000;kg
2000;105014;Brunner Mond BV (inrichting bestaat niet meer);Farmsum;Kooldioxide (CO2);84100000;kg
