jaar;nic;bedrijfsnaam;plaats;stof;emissie totaal;eenheid
2015;203530;Teijin Aramid BV;Emmen;Kooldioxide (CO2);4019000;kg
2015;203542;Galvano Hengelo BV;Hengelo;Kooldioxide (CO2);157000;kg
2015;203587;Contitank B.V.;Delfzijl;Kooldioxide (CO2);430000;kg
2015;203589;Cerexagri BV;Vondelingenplaat Rotterdam;Kooldioxide (CO2);1018996;kg
2015;203590;Arkema B.V. location Rotterdam;Vondelingenplaat Rotterdam;Kooldioxide (CO2);3542437;kg
2015;203605;Kok Gorinchem BV;Gorinchem;Kooldioxide (CO2);715000;kg
2015;203651;Dutch Advanced Polyesters Emmen B.V.;Emmen;Kooldioxide (CO2);2290000;kg
2015;203738;Fokker Landing Gear;Helmond;Kooldioxide (CO2);469375;kg
2015;203785;Neste Netherlands B.V.;Maasvlakte Rotterdam;Kooldioxide (CO2);49854000;kg
2015;203825;Linde Gas Dieren;Dieren;Kooldioxide (CO2);405309;kg
2015;203868;Cérélia Netherlands B.V.;Sliedrecht;Kooldioxide (CO2);3826615;kg
2015;203887;Noblesse Proteins BV;Wijster;Kooldioxide (CO2);4121858;kg
2015;204038;Keizersberg Diervoeders (Elsendorp);Elsendorp;Kooldioxide (CO2);26321;kg
2015;204050;Driessen Grondwerken;Horst;Kooldioxide (CO2);149184;kg
2015;204051;Driessen Grondwerken BV;Horst;Kooldioxide (CO2);39509;kg
2015;204287;Global Food Group BV;Ospel;Kooldioxide (CO2);545506;kg
2015;204335;Quality Technology Services B.V.;Eemshaven;Kooldioxide (CO2);106600;kg
2015;204361;EcoFuels;Well L;Kooldioxide (CO2);12573908;kg
2015;204363;Vattenfall Warmte N.V. (HWC Schuytgraaf);Arnhem;Kooldioxide (CO2);271264;kg
2015;204395;Renewi Stadskanaal;Stadskanaal;Kooldioxide (CO2);789106;kg
2015;204412;PreZero Recycling Services Noord B.V.;Groningen;Kooldioxide (CO2);612947;kg
2015;204416;Kanola Vethandel;Lexmond;Kooldioxide (CO2);105400;kg
2015;204488;Cumapol Emmen B.V.;Emmen;Kooldioxide (CO2);415000;kg
2015;204492;Ingensche Waarden;Ingen;Kooldioxide (CO2);77981;kg
2015;204522;Ondergrondse aardgasopslag Zuidwending;Veendam;Kooldioxide (CO2);2821175;kg
2015;204523;Aardgascompressorstation Wijngaarden;Wijngaarden;Kooldioxide (CO2);319;kg
2015;204552;Gesloten stortplaats De Langenberg;Zelhem;Kooldioxide (CO2);1361756;kg
2015;204556;Waterstromen Lichtenvoorde B.V.;Lichtenvoorde;Kooldioxide (CO2);7118785;kg
2015;204602;RWZI Soest;Soest;Kooldioxide (CO2);3530023;kg
2015;204609;Hoogweg Paprikakwekerijen BV;Luttelgeest;Kooldioxide (CO2);40084648;kg
2015;204617;Power Plant Rotterdam;Maasvlakte Rotterdam;Kooldioxide (CO2);2792007723;kg
2015;204654;ENECOGEN V.O.F.;Europoort Rotterdam;Kooldioxide (CO2);907945659;kg
2015;204667;Aliphos Rotterdam BV;Vlaardingen;Kooldioxide (CO2);6083659;kg
2015;204694;Sterling Resources Netherlands B.V.;'s-Gravenhage;Kooldioxide (CO2);0;kg
2015;204763;KH Dairy Sourcing BV;Coevorden;Kooldioxide (CO2);920870;kg
2015;204851;Air Products HyCO 4 (Botlekweg);Botlek Rotterdam;Kooldioxide (CO2);606052366;kg
2015;204944;Eneco Bio Golden Raand C.V.;Farmsum;Kooldioxide (CO2);419000000;kg
2015;204957;WKC Ypenburg;'s-Gravenhage;Kooldioxide (CO2);36580000;kg
2015;205183;Van Merksteijn International B.V.;Almelo;Kooldioxide (CO2);4625531;kg
