identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0005202342;TORAY CARBONS FIBERS EUROPE SA;2013;Air;Acide cyanhydrique (HCN);4930;kg/an
0006400196;SAS ZEPHIRE;2013;Air;Oxydes d'azote (NOx/NO2);210000;kg/an
0006401008;Basell Polyoléfines France SAS;2013;Air;Vanadium et ses composés;990;kg/an
0006501529;HELIO PRINT (ex H2D ex QUEBECOR );2013;Air;Dioxyde de carbone (CO2) d'origine non biomasse;14200000;kg/an
0006700503;BASF;2013;Air;Dioxyde de carbone (CO2) d'origine non biomasse;16000000;kg/an
0007000956;ARCELORMITTAL FRANCE;2013;Air;Cuivre et composés (exprimés en tant que Cu);1570;kg/an
0056900076;AUCHAN HYPERMARCHE;2013;Air;Hydroflurocarbures (HFC);1060;kg/an
;GAEC des Prelions;2013;Air;Ammoniac (NH3);21500;kg/an
;EARL Les Cornalières;2013;Air;Ammoniac (NH3);11500;kg/an
;SAS EGGTEAM AVIPONTE;2013;Air;Ammoniac (NH3);16500;kg/an
;GAEC du Perrat (site volaille);2013;Air;Ammoniac (NH3);15300;kg/an
;SARL de Montburon;2013;Air;Ammoniac (NH3);12600;kg/an
;SARL ELEVAGE DES CHARMES;2013;Air;Ammoniac (NH3);23800;kg/an
;SARL Elevage du Bois Cochon;2013;Air;Ammoniac (NH3);13800;kg/an
;SARL Elevage des Marais;2013;Air;Ammoniac (NH3);17000;kg/an
;PROVENT SDPR - Elevage des 3 Monts;2013;Air;Ammoniac (NH3);33800;kg/an
;SAS AIRPORC / ELEVAGE GREZIAT;2013;Air;Ammoniac (NH3);10200;kg/an
;SCEA SOGIFRA;2013;Air;Ammoniac (NH3);13300;kg/an
;SA Larçon;2013;Air;Ammoniac (NH3);11200;kg/an
;EARL DU CHARPET;2013;Air;Ammoniac (NH3);14500;kg/an
;SCEA Les COUTURES;2013;Air;Ammoniac (NH3);20700;kg/an
;SCEA des 3B;2013;Air;Ammoniac (NH3);12200;kg/an
;GAEC MANSCOURT;2013;Air;Ammoniac (NH3);11800;kg/an
;GAEC des Hayettes - MOREAU;2013;Air;Ammoniac (NH3);15400;kg/an
;EARL DE LA BREZE;2013;Air;Ammoniac (NH3);10000;kg/an
;INTEROVO Avicole France;2013;Air;Ammoniac (NH3);36100;kg/an
;GAEC DE ROOVER;2013;Air;Ammoniac (NH3);24800;kg/an
;CHENE Alain;2013;Air;Ammoniac (NH3);13000;kg/an
;EARL CHENE Alain;2013;Air;Ammoniac (NH3);15600;kg/an
;AUVERGNE POUSSINS;2013;Air;Ammoniac (NH3);15200;kg/an
0005100009;SUEZ RV NORD EST;2013;Air;Méthane (CH4);581000;kg/an
0005100009;SUEZ RV NORD EST;2013;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);12300000;kg/an
0005100009;SUEZ RV NORD EST;2013;Air;Dioxyde de carbone (CO2) d'origine biomasse;12300000;kg/an
0005100058;NLMK COATING S.A.;2013;Air;Dioxyde de carbone (CO2) d'origine non biomasse;11500000;kg/an
0005100058;NLMK COATING S.A.;2013;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);11500000;kg/an
0005100097;NESTLE France SAS;2013;Air;Dioxyde de carbone (CO2) d'origine non biomasse;18800000;kg/an
0005100097;NESTLE France SAS;2013;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);18800000;kg/an
0005100114;TEREOS FRANCE (BUCY);2013;Air;Composés organiques volatils non méthaniques (COVNM);89300;kg/an
0005100114;TEREOS FRANCE (BUCY);2013;Air;Oxydes d'azote (NOx/NO2);138000;kg/an
0005100114;TEREOS FRANCE (BUCY);2013;Air;Dioxyde de carbone (CO2) d'origine non biomasse;112000000;kg/an
0005100114;TEREOS FRANCE (BUCY);2013;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);129000000;kg/an
0005100114;TEREOS FRANCE (BUCY);2013;Air;Dioxyde de carbone (CO2) d'origine biomasse;17300000;kg/an
0005100143;WEPA GREENFIELD SAS;2013;Air;Dioxyde de carbone (CO2) d'origine non biomasse;27300000;kg/an
0005100143;WEPA GREENFIELD SAS;2013;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);27300000;kg/an
0005100143;WEPA GREENFIELD SAS;2013;Eau (direct);Demande chimique en oxygène (DCO);345000;kg/an
0005100143;WEPA GREENFIELD SAS;2013;Sol;Cadmium et composés (exprimés en tant que Cd);8.3;kg/an
0005100143;WEPA GREENFIELD SAS;2013;Sol;Chrome et composés (exprimés en tant que Cr);300;kg/an
0005100143;WEPA GREENFIELD SAS;2013;Sol;Cuivre et composés (exprimés en tant que Cu);1810;kg/an
