identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0005701497;LUZEAL;2011;Air;Dioxyde de carbone (CO2) d'origine non biomasse;10800000;kg/an
0005701751;LUZEAL;2011;Air;Dioxyde de carbone (CO2) d'origine non biomasse;25200000;kg/an
0005800348;ExxonMobil Chemical France;2011;Air;Hydrochlorofluorocarbures (HCFC);4430;kg/an
0006301217;EDF SA;2011;Air;Oxydes d'azote (NOx/NO2);3560000;kg/an
0007203926;Ciments Calcia;2011;Air;Dioxyde de carbone (CO2) d'origine biomasse;25900000;kg/an
0070234000;Usine d'épuration - GAUCHY;2011;Sol;Cuivre et composés (exprimés en tant que Cu);314;kg/an
0078002100;STEP - AMIENS;2011;Sol;Chrome et composés (exprimés en tant que Cr);180;kg/an
0005201004;PENA METAUX  SAS;2011;Eau (direct);Cadmium et composés (exprimés en tant que Cd);0.07;kg/an
0005206330;CET de Zaluaga;2011;Eau (direct);Cadmium et composés (exprimés en tant que Cd);0.002;kg/an
0005515907;SMICTOM Centre Ouest (Gaël);2011;Eau (direct);Cadmium et composés (exprimés en tant que Cd);0.032;kg/an
0005600060;COVED SA - ISDND de Maillet;2011;Eau (indirect);Cadmium et composés (exprimés en tant que Cd);0.001;kg/an
0005702694;SUEZ RV NORD EST - BAR-SUR-SEINE;2011;Eau (indirect);Benzène;0.004;kg/an
0005702694;SUEZ RV NORD EST - BAR-SUR-SEINE;2011;Eau (indirect);Cadmium et composés (exprimés en tant que Cd);0.019;kg/an
0005702694;SUEZ RV NORD EST - BAR-SUR-SEINE;2011;Eau (indirect);Trichloréthylène;0.002;kg/an
0005702694;SUEZ RV NORD EST - BAR-SUR-SEINE;2011;Eau (indirect);Tétrachloroéthylène (PER, tétrachloroéthylène);0.002;kg/an
0006102889;PAPREC CRV;2011;Eau (indirect);Cadmium et composés (exprimés en tant que Cd);0.004;kg/an
0006302311;GEVAL BASSE  BARBONTE;2011;Eau (direct);Cadmium et composés (exprimés en tant que Cd);0.01;kg/an
0006302562;GRANDJOUAN SACO Montilliers;2011;Eau (direct);Cadmium et composés (exprimés en tant que Cd);0.0015;kg/an
