identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0005701543;VERALLIA-FRANCE;2015;Air;Dioxyde de carbone (CO2) d'origine non biomasse;46600000;kg/an
0006804445;DRIMM;2015;Air;Dioxyde de carbone (CO2) d'origine biomasse;46700000;kg/an
0022100006;ALBIOMA LE MOULE;2015;Air;Oxydes de soufre (SOx/SO2);1220000;kg/an
0053501859;ENTREMONT ALLIANCE;2015;Air;Dioxyde de carbone (CO2) d'origine non biomasse;10100000;kg/an
0073604401;SUEZ;2015;Sol;Cuivre et composés (exprimés en tant que Cu);384;kg/an
0076600801;STEP - Argelès sur Mer;2015;Sol;Cuivre et composés (exprimés en tant que Cu);151;kg/an
0006103488;CHU HOPITAL NORD;2015;Air;Méthane (CH4);893000;kg/an
0006103488;CHU HOPITAL NORD;2015;Air;Poussières totales;161000;kg/an
0006103488;CHU HOPITAL NORD;2015;Air;Protoxyde d'azote (N2O);17900;kg/an
;EARL DU CHAMP TISON;2015;Air;Protoxyde d'azote (N2O);19100;kg/an
0006413000;SAUR;2015;Eau (indirect);Azote total;263000;kg/an
0006413000;SAUR;2015;Eau (indirect);Demande biologique en oxygène (DBO5);1110000;kg/an
0006413000;SAUR;2015;Eau (indirect);Demande chimique en oxygène (DCO);2880000;kg/an
0006413000;SAUR;2015;Eau (indirect);Matières en suspension (MES);1410000;kg/an
0006413000;SAUR;2015;Eau (indirect);Phosphore total;32300;kg/an
;GAEC des Prelions;2015;Air;Ammoniac (NH3);17100;kg/an
;EARL Les Cornalières;2015;Air;Ammoniac (NH3);14000;kg/an
;SAS EGGTEAM AVIPONTE;2015;Air;Ammoniac (NH3);24100;kg/an
;SARL de Montburon;2015;Air;Ammoniac (NH3);11000;kg/an
;SARL ELEVAGE DES CHARMES;2015;Air;Ammoniac (NH3);20500;kg/an
;EARL des Quatres Saisons;2015;Air;Ammoniac (NH3);14500;kg/an
;SARL Elevage des Marais;2015;Air;Ammoniac (NH3);26500;kg/an
;PROVENT SDPR - Elevage des 3 Monts;2015;Air;Ammoniac (NH3);40900;kg/an
