identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0005100190;DSP France SAS  (ex DOW FRANCE);2004;Air;Méthanol (alcool méthylique);40000;kg/an
0005401153;THERMODYN;2004;Air;Hydroflurocarbures (HFC);973;kg/an
0005401747;VALEO VISION;2004;Eau (direct);Acide cyanhydrique (HCN);0.33;kg/an
0005701293;FONDERIES GHM - WASSY;2004;Air;Arsenic et composés (exprimés en tant que As);28;kg/an
0005902864;SOLVIN;2004;Air;Hydrochlorofluorocarbures (HCFC);7250;kg/an
0006401008;Basell Polyoléfines France SAS;2004;Air;Composés organiques volatils non méthaniques (COVNM);1630000;kg/an
0010003878;CIMENTS CALCIA - SITE DE BEFFES;2004;Air;Oxydes d'azote (NOx/NO2);625000;kg/an
0010004249;HUTCHINSON;2004;Air;Composés organiques volatils non méthaniques (COVNM);198000;kg/an
0010004362;SUEZ RV CENTRE OUEST - ORVAL;2004;Air;Méthane (CH4);144000;kg/an
0010004475;HENKEL FRANCE OPERATIONS SAS (WR GRACE);2004;Eau (indirect);Zinc et composés (exprimés en tant que Zn);6800;kg/an
0010004585;SWISS KRONO;2004;Air;Composés organiques volatils non méthaniques (COVNM);726000;kg/an
0010004585;SWISS KRONO;2004;Air;Dioxyde de carbone (CO2) d'origine biomasse;106000000;kg/an
0010004585;SWISS KRONO;2004;Air;Oxydes d'azote (NOx/NO2);255000;kg/an
0010005083;SKF FRANCE;2004;Air;Composés organiques volatils non méthaniques (COVNM);171000;kg/an
0010005151;SETRAD;2004;Air;Méthane (CH4);691000;kg/an
0010005199;GRTgaz Station de Roussines;2004;Air;Méthane (CH4);486000;kg/an
0010005199;GRTgaz Station de Roussines;2004;Air;Oxydes d'azote (NOx/NO2);233000;kg/an
0010005755;SUEZ RV Centre Ouest - Installation de stockage de Déchets non dangereux de CHEVILLY 1;2004;Air;Méthane (CH4);217000;kg/an
0010005759;SETRAD;2004;Air;Dioxyde de carbone (CO2) d'origine biomasse;11500000;kg/an
0010005759;SETRAD;2004;Air;Méthane (CH4);795000;kg/an
0010006170;SUEZ RV CENTRE OUEST - MONTEREAU;2004;Air;Méthane (CH4);299000;kg/an
0010007111;SUEZ RV CENTRE OUEST - VILLEHERVIERS;2004;Air;Méthane (CH4);867000;kg/an
0010007112;SUEZ RV CENTRE OUEST - ORCHAISE;2004;Air;Méthane (CH4);695000;kg/an
;SCEA CHAMPFLEURY;2004;Air;Ammoniac (NH3);13900;kg/an
0010100002;PHILIPS Lighting France Miribel;2004;Air;Fluor et ses composés (F);3;kg/an
0010100002;PHILIPS Lighting France Miribel;2004;Eau (direct);Fluor et ses composés (F);36;kg/an
0010100025;MSA PRODUCTION FRANCE SASU;2004;Air;Etain et composés (exprimés en tant que Sn);0.2;kg/an
