identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0006002826;COLAS SUD-OUEST;2021;Air;Monoxyde de carbone (CO);1390000;kg/an
0003012500;ESTIA RESEAUX DE CHALEUR;2021;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);13500000;kg/an
0003012591;METHAVAIR SAS;2021;Sol;Azote total;66000;kg/an
0003012591;METHAVAIR SAS;2021;Sol;Phosphore total;59000;kg/an
0003012705;KNAUF INSULATION LANNEMEZAN;2021;Air;Ammoniac (NH3);53800;kg/an
0003012705;KNAUF INSULATION LANNEMEZAN;2021;Air;Oxydes de soufre (SOx/SO2);236000;kg/an
0003012705;KNAUF INSULATION LANNEMEZAN;2021;Air;Dioxyde de carbone (CO2) d'origine non biomasse;64900000;kg/an
0003012705;KNAUF INSULATION LANNEMEZAN;2021;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);64900000;kg/an
0003012743;COGESTAR 3;2021;Air;Dioxyde de carbone (CO2) d'origine non biomasse;11600000;kg/an
0003012743;COGESTAR 3;2021;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);11600000;kg/an
0003012825;BIOMETHA SAS;2021;Sol;Azote total;155000;kg/an
0003012825;BIOMETHA SAS;2021;Sol;Phosphore total;50300;kg/an
0003014270;METHACHRIST SAS;2021;Sol;Azote total;200000;kg/an
0003014270;METHACHRIST SAS;2021;Sol;Phosphore total;75500;kg/an
0003014555;TotalEnergies - Centrale électrique Saint-Avold;2021;Air;Protoxyde d'azote (N2O);15200;kg/an
0003014555;TotalEnergies - Centrale électrique Saint-Avold;2021;Air;Dioxyde de carbone (CO2) d'origine non biomasse;847000000;kg/an
0003014555;TotalEnergies - Centrale électrique Saint-Avold;2021;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);847000000;kg/an
0003100845;BIOGASCONHA;2021;Sol;Chrome et composés (exprimés en tant que Cr);60;kg/an
0003100845;BIOGASCONHA;2021;Sol;Cuivre et composés (exprimés en tant que Cu);288;kg/an
0003100845;BIOGASCONHA;2021;Sol;Fer et composés (exprimés en tant que Fe);57200;kg/an
0003100845;BIOGASCONHA;2021;Sol;Manganèse et composés (exprimés en tant que Mn);923;kg/an
0003100845;BIOGASCONHA;2021;Sol;Plomb et composés (exprimés en tant que Pb);99;kg/an
0003100845;BIOGASCONHA;2021;Sol;Zinc et composés (exprimés en tant que Zn);1230;kg/an
0003102774;AUNIS BIOGAZ;2021;Sol;Arsenic et composés (exprimés en tant que As);6.4;kg/an
0003102774;AUNIS BIOGAZ;2021;Sol;Azote total;165000;kg/an
0003102774;AUNIS BIOGAZ;2021;Sol;Cuivre et composés (exprimés en tant que Cu);123;kg/an
0003102774;AUNIS BIOGAZ;2021;Sol;Phosphore total;62500;kg/an
0003102774;AUNIS BIOGAZ;2021;Sol;Zinc et composés (exprimés en tant que Zn);753;kg/an
0003201219;EVVA - Chaufferie Valence;2021;Air;Dioxyde de carbone (CO2) d'origine biomasse;12500000;kg/an
0003201219;EVVA - Chaufferie Valence;2021;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);14900000;kg/an
0003201408;ENGIE COFELY;2021;Air;Dioxyde de carbone (CO2) d'origine non biomasse;44400000;kg/an
0003201408;ENGIE COFELY;2021;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);44400000;kg/an
0003201516;CCIAG - BIOMAX;2021;Air;Dioxyde de carbone (CO2) d'origine biomasse;75900000;kg/an
0003201516;CCIAG - BIOMAX;2021;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);77500000;kg/an
0003201824;AURILLAC CHALEUR BOIS (ACB);2021;Air;Dioxyde de carbone (CO2) d'origine biomasse;18400000;kg/an
0003201824;AURILLAC CHALEUR BOIS (ACB);2021;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);20200000;kg/an
0003300085;SCEA des Longchamps;2021;Sol;Azote total;65800;kg/an
0003300085;SCEA des Longchamps;2021;Sol;Phosphore total;18400;kg/an
0003300377;MACON ENERGIES SERVICES;2021;Air;Dioxyde de carbone (CO2) d'origine biomasse;28100000;kg/an
0003300377;MACON ENERGIES SERVICES;2021;Air;Dioxyde de carbone (CO2) d'origine non biomasse;17600000;kg/an
0003300377;MACON ENERGIES SERVICES;2021;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);45600000;kg/an
0003300469;Solvay France;2021;Air;Ammoniac (NH3);12200;kg/an
0003300469;Solvay France;2021;Air;Hydrochlorofluorocarbures (HCFC);1370;kg/an
0003300469;Solvay France;2021;Air;Hydroflurocarbures (HFC);2330;kg/an
0003300469;Solvay France;2021;Air;Oxydes d'azote (NOx/NO2);218000;kg/an
0003300469;Solvay France;2021;Air;Protoxyde d'azote (N2O);16600;kg/an
0003300469;Solvay France;2021;Air;Tétrachlorométhane (TCM, tétrachlorure de carbone);178;kg/an
0003300469;Solvay France;2021;Air;Dioxyde de carbone (CO2) d'origine non biomasse;375000000;kg/an
0003300469;Solvay France;2021;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);375000000;kg/an
0003300469;Solvay France;2021;Eau (direct);Chlorures (en tant que Cl total);64800000;kg/an
0005101363;ARCELORMITTAL ATLANTIQUE -  LORRAINE;2021;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);57100000;kg/an
0005101524;EJ Picardie;2021;Air;Dioxyde de carbone (CO2) d'origine non biomasse;33600000;kg/an
0005101524;EJ Picardie;2021;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);33600000;kg/an
0005101542;REVOCOAT FRANCE SAS;2021;Air;Composés organiques volatils non méthaniques (COVNM);38600;kg/an
0005101610;SAINT GOBAIN GLASS;2021;Air;Oxydes d'azote (NOx/NO2);109000;kg/an
0005101610;SAINT GOBAIN GLASS;2021;Air;Dioxyde de carbone (CO2) d'origine non biomasse;88100000;kg/an
0005101610;SAINT GOBAIN GLASS;2021;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);88100000;kg/an
0005101610;SAINT GOBAIN GLASS;2021;Air;Sélénium;635;kg/an
0005101668;ARKEMA;2021;Air;Composés organiques volatils non méthaniques (COVNM);38000;kg/an
0005101699;LACTINOV  (ex-SFPL);2021;Eau (indirect);Demande biologique en oxygène (DBO5);218000;kg/an
0005101699;LACTINOV  (ex-SFPL);2021;Eau (indirect);Demande chimique en oxygène (DCO);567000;kg/an
