identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0005800331;YARA France;2016;Air;Oxydes d'azote (NOx/NO2);410000;kg/an
0006301217;EDF SA;2016;Air;Cobalt et composés (exprimés en tant que Co);59;kg/an
0007202778;ROUSSELOT ANGOULEME SAS;2016;Sol;Zinc et composés (exprimés en tant que Zn);315;kg/an
0052903464;BOLTON FOOD;2016;Air;Hydroflurocarbures (HFC);103;kg/an
;LABEYRIE;2016;Air;Hydroflurocarbures (HFC);727;kg/an
0006413000;SAUR;2016;Eau (indirect);Azote total;264000;kg/an
0006413000;SAUR;2016;Eau (indirect);Demande biologique en oxygène (DBO5);1180000;kg/an
0006413000;SAUR;2016;Eau (indirect);Demande chimique en oxygène (DCO);2770000;kg/an
0006413000;SAUR;2016;Eau (indirect);Matières en suspension (MES);1350000;kg/an
0006413000;SAUR;2016;Eau (indirect);Phosphore total;31800;kg/an
0010000653;CHEMINEAU LABORATOIRES;2016;Air;Oxydes d'azote (NOx/NO2);1160000;kg/an
0010000653;CHEMINEAU LABORATOIRES;2016;Air;Protoxyde d'azote (N2O);48300;kg/an
0052902038;SCEA JEZEQUEL;2016;Air;Ammoniac (NH3);16900;kg/an
;SCEA DOMAINE DU MAS DE VILLENEUVE;2016;Air;Ammoniac (NH3);12500;kg/an
;SCEA DOMAINE DU MAS DE VILLENEUVE;2016;Air;Protoxyde d'azote (N2O);16800;kg/an
;EARL DE PRESSAUGE;2016;Air;Ammoniac (NH3);11100;kg/an
0005101102;CREIL ENERGIE (ex DALKIA FRANCE);2016;Air;Dioxyde de carbone (CO2) d'origine biomasse;11200000;kg/an
0005101157;Amphastar France Pharmaceuticals;2016;Air;Composés organiques volatils non méthaniques (COVNM);36500;kg/an
0005101176;SAVERGLASS (SAV ...);2016;Air;Oxydes de soufre (SOx/SO2);181000;kg/an
0005101176;SAVERGLASS (SAV ...);2016;Air;Oxydes d'azote (NOx/NO2);140000;kg/an
0005101176;SAVERGLASS (SAV ...);2016;Air;Dioxyde de carbone (CO2) d'origine non biomasse;55800000;kg/an
0005101176;SAVERGLASS (SAV ...);2016;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);55800000;kg/an
0005101189;BIGARD SA;2016;Eau (indirect);Demande biologique en oxygène (DBO5);58500;kg/an
0005101211;STORENGY;2016;Air;Méthane (CH4);211000;kg/an
0005101211;STORENGY;2016;Air;Dioxyde de carbone (CO2) d'origine non biomasse;23500000;kg/an
0005101211;STORENGY;2016;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);23500000;kg/an
0005101264;Montupet Laigneville;2016;Air;Phénols (en tant que C total);1190;kg/an
0005101267;B.R.I. ex YVES SAINT LAURENT;2016;Air;Composés organiques volatils non méthaniques (COVNM);46100;kg/an
0005101321;FAURECIA Intérieur Industrie;2016;Air;Composés organiques volatils non méthaniques (COVNM);64800;kg/an
0005101338;PLACOPLATRE (EX ISOPLAC);2016;Air;Composés organiques volatils non méthaniques (COVNM);245000;kg/an
0005101361;AKZO NOBEL DECORATIVE (ex AKZO NOBEL CO);2016;Air;Composés organiques volatils non méthaniques (COVNM);78900;kg/an
0005101363;ARCELORMITTAL FRANCE;2016;Air;Composés organiques volatils non méthaniques (COVNM);100000;kg/an
0005101363;ARCELORMITTAL FRANCE;2016;Air;Dioxyde de carbone (CO2) d'origine non biomasse;68900000;kg/an
0005101363;ARCELORMITTAL FRANCE;2016;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);68900000;kg/an
0005101410;NSO ENERGIES;2016;Air;Dioxyde de carbone (CO2) d'origine non biomasse;10400000;kg/an
0005101410;NSO ENERGIES;2016;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);10400000;kg/an
