identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0005100097;NESTLE FRANCE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;13400000;kg/an
0005100097;NESTLE FRANCE;2023;Air;Particules (PM10);196000;kg/an
0005100097;NESTLE FRANCE;2023;Air;Poussières totales;196000;kg/an
0005100097;NESTLE FRANCE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);13400000;kg/an
0005100114;TEREOS FRANCE (BUCY);2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;90000000;kg/an
0005100114;TEREOS FRANCE (BUCY);2023;Air;Dioxyde de carbone (CO2) d'origine biomasse;28400000;kg/an
0005100114;TEREOS FRANCE (BUCY);2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);118000000;kg/an
0005100143;GREENFIELD;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;17800000;kg/an
0005100143;GREENFIELD;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);17800000;kg/an
0005100143;GREENFIELD;2023;Sol;Zinc et composés (exprimés en tant que Zn);5880;kg/an
0005100143;GREENFIELD;2023;Sol;Cadmium et composés (exprimés en tant que Cd);7.05;kg/an
0005100143;GREENFIELD;2023;Sol;Chrome et composés (exprimés en tant que Cr);363;kg/an
0005100143;GREENFIELD;2023;Sol;Cuivre et composés (exprimés en tant que Cu);2100;kg/an
0005100143;GREENFIELD;2023;Sol;Mercure et composés (exprimés en tant que Hg);7.05;kg/an
0005100143;GREENFIELD;2023;Sol;Nickel et composés (exprimés en tant que Ni);166;kg/an
0005100143;GREENFIELD;2023;Sol;Plomb et composés (exprimés en tant que Pb);420;kg/an
0005100188;SOC INDUSTRIELLE ET CHIMIQUE DE L AISNE;2023;Air;Antimoine et composés (exprimés en tant que Sb);978;kg/an
0005100190;DSP;2023;Air;Composés organiques volatils non méthaniques (COVNM);36800;kg/an
0005100190;DSP;2023;Eau (direct);Chlorures (en tant que Cl total);3110000;kg/an
0005100190;DSP;2023;Eau (direct);Sulfates;2720000;kg/an
0005100257;VERALLIA FRANCE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);42600000;kg/an
0005100257;VERALLIA FRANCE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;42600000;kg/an
0005100257;VERALLIA FRANCE;2023;Air;Oxydes d'azote (NOx/NO2);169000;kg/an
0005100293;EVERBAL;2023;Air;Dioxyde de carbone (CO2) d'origine biomasse;22300000;kg/an
0005100293;EVERBAL;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);25200000;kg/an
0005100311;EDIFI NORD;2023;Air;Méthane (CH4);373000;kg/an
0005100333;LE CREUSET;2023;Air;Zinc et composés (exprimés en tant que Zn);253;kg/an
0005100349;SOPROCOS;2023;Air;Composés organiques volatils non méthaniques (COVNM);168000;kg/an
0005100400;EVIOSYS PACKAGING FRANCE S.A.S.;2023;Air;Composés organiques volatils non méthaniques (COVNM);92200;kg/an
0005100466;INTERSNACK FRANCE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;10700000;kg/an
0005100466;INTERSNACK FRANCE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);10700000;kg/an
0005100467;ROQUETTE FRERES;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;19500000;kg/an
0005100467;ROQUETTE FRERES;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);19500000;kg/an
0005100467;ROQUETTE FRERES;2023;Sol;Nickel et composés (exprimés en tant que Ni);23.3;kg/an
0005100467;ROQUETTE FRERES;2023;Sol;Zinc et composés (exprimés en tant que Zn);286;kg/an
0005100477;ABL TECHNIC SAINT-QUENTIN;2023;Air;Dioxines et furanes (PCDD + PCDF) (exprimés en iTeq);8.94;kg/an
0005100507;SP SAINT QUENTIN;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);19900000;kg/an
0005100507;SP SAINT QUENTIN;2023;Air;Dioxyde de carbone (CO2) d'origine biomasse;11300000;kg/an
0005100521;TEREOS FRANCE;2023;Air;Dioxyde de carbone (CO2) d'origine biomasse;182000000;kg/an
0005100521;TEREOS FRANCE;2023;Air;Composés organiques volatils non méthaniques (COVNM);173000;kg/an
0005100521;TEREOS FRANCE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);385000000;kg/an
0005100521;TEREOS FRANCE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;203000000;kg/an
0005100521;TEREOS FRANCE;2023;Eau (direct);Mercure et composés (exprimés en tant que Hg);1.1;kg/an
0005100521;TEREOS FRANCE;2023;Eau (direct);Demande chimique en oxygène (DCO);235000;kg/an
0005100521;TEREOS FRANCE;2023;Eau (direct);Arsenic et composés (exprimés en tant que As);11.2;kg/an
0005100521;TEREOS FRANCE;2023;Eau (direct);Zinc et composés (exprimés en tant que Zn);256;kg/an
0005100521;TEREOS FRANCE;2023;Eau (direct);Nickel et composés (exprimés en tant que Ni);43.8;kg/an
0005100521;TEREOS FRANCE;2023;Sol;Zinc et composés (exprimés en tant que Zn);556;kg/an
0005100536;WILLIAM SAURIN PRODUCTION;2023;Air;Hydroflurocarbures (HFC);563;kg/an
0005100562;YAMAHA MOTOR MANUFACTURING EUROPE;2023;Air;Composés organiques volatils non méthaniques (COVNM);39500;kg/an
0005100611;CENTRE HOSPITALIER GENERAL ST QUENTIN;2023;Eau (indirect);Demande biologique en oxygène (DBO5);82000;kg/an
0005100756;ATEMAX FRANCE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);13900000;kg/an
0005100756;ATEMAX FRANCE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;13900000;kg/an
0005100757;SAICA PAPER FRANCE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);141000000;kg/an
0005100757;SAICA PAPER FRANCE;2023;Air;Oxydes d'azote (NOx/NO2);121000;kg/an
0005100757;SAICA PAPER FRANCE;2023;Air;Dioxyde de carbone (CO2) d'origine biomasse;122000000;kg/an
0005100757;SAICA PAPER FRANCE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;19400000;kg/an
0005100757;SAICA PAPER FRANCE;2023;Eau (direct);Demande chimique en oxygène (DCO);209000;kg/an
0005100757;SAICA PAPER FRANCE;2023;Sol;Mercure et composés (exprimés en tant que Hg);3.27;kg/an
0005100757;SAICA PAPER FRANCE;2023;Sol;PCBi : somme des 7 PCB indicateurs (PCB 28+PCB 52+PCB 101+PCB 118+PCB 138+PCB 153+PCB 180);1.04;kg/an
0005100757;SAICA PAPER FRANCE;2023;Sol;Zinc et composés (exprimés en tant que Zn);1800;kg/an
0005100757;SAICA PAPER FRANCE;2023;Sol;Plomb et composés (exprimés en tant que Pb);232;kg/an
0005100757;SAICA PAPER FRANCE;2023;Sol;Nickel et composés (exprimés en tant que Ni);139;kg/an
0005100757;SAICA PAPER FRANCE;2023;Sol;Cuivre et composés (exprimés en tant que Cu);1090;kg/an
0005100757;SAICA PAPER FRANCE;2023;Sol;Chrome et composés (exprimés en tant que Cr);274;kg/an
0005100757;SAICA PAPER FRANCE;2023;Sol;Cadmium et composés (exprimés en tant que Cd);5.85;kg/an
0005100757;SAICA PAPER FRANCE;2023;Sol;Azote total;127000;kg/an
0005100850;ETEX FRANCE BUILDING PERFORMANCE;2023;Air;Composés organiques volatils non méthaniques (COVNM);33700;kg/an
0005100850;ETEX FRANCE BUILDING PERFORMANCE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);41400000;kg/an
0005100850;ETEX FRANCE BUILDING PERFORMANCE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;41400000;kg/an
0005100909;VISKASE;2023;Air;Composés organiques volatils non méthaniques (COVNM);293000;kg/an
0005100909;VISKASE;2023;Air;Sulfure de carbone;293000;kg/an
0005100909;VISKASE;2023;Air;Sulfure d'hydrogène (H2S);30000;kg/an
0005100912;AGCO S.A.S.;2023;Air;Composés organiques volatils non méthaniques (COVNM);81900;kg/an
0005100917;SOCIETE LA BIOCHIMIE APPLIQUEE;2023;Air;Composés organiques volatils non méthaniques (COVNM);36000;kg/an
0005100918;SPONTEX;2023;Air;Sulfure de carbone;267000;kg/an
0005100918;SPONTEX;2023;Air;Sulfure d'hydrogène (H2S);16200;kg/an
0005100918;SPONTEX;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;24600000;kg/an
0005100918;SPONTEX;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);24600000;kg/an
0005100918;SPONTEX;2023;Eau (direct);Demande chimique en oxygène (DCO);152000;kg/an
0005100978;BASF COATINGS;2023;Air;Composés organiques volatils non méthaniques (COVNM);31900;kg/an
0005100993;SI GROUP FRANCE (FRAA) SAS;2023;Air;Composés organiques volatils non méthaniques (COVNM);49900;kg/an
0005101029;TEREOS FRANCE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);53900000;kg/an
0005101029;TEREOS FRANCE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;53900000;kg/an
0005101029;TEREOS FRANCE;2023;Eau (direct);Arsenic et composés (exprimés en tant que As);16;kg/an
0005101075;ENGIE ENERGIE SERVICES;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);19100000;kg/an
0005101075;ENGIE ENERGIE SERVICES;2023;Air;Dioxyde de carbone (CO2) d'origine biomasse;15500000;kg/an
0005101102;CREIL ENERGIE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);24500000;kg/an
0005101102;CREIL ENERGIE;2023;Air;Dioxyde de carbone (CO2) d'origine biomasse;13400000;kg/an
0005101102;CREIL ENERGIE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;11100000;kg/an
0005101176;SAVERGLASS;2023;Air;Oxydes de soufre (SOx/SO2);228000;kg/an
0005101176;SAVERGLASS;2023;Air;Oxydes d'azote (NOx/NO2);163000;kg/an
0005101176;SAVERGLASS;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);54200000;kg/an
0005101176;SAVERGLASS;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;54200000;kg/an
0005101211;STORENGY FRANCE;2023;Air;Méthane (CH4);248000;kg/an
0005101211;STORENGY FRANCE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;14400000;kg/an
0005101211;STORENGY FRANCE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);14400000;kg/an
0005101363;ARCELORMITTAL FRANCE;2023;Air;Monoxyde de carbone (CO);1420000;kg/an
0005101363;ARCELORMITTAL FRANCE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;41000000;kg/an
0005101363;ARCELORMITTAL FRANCE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);41000000;kg/an
0005101363;ARCELORMITTAL FRANCE;2023;Air;Composés organiques volatils non méthaniques (COVNM);52500;kg/an
0005101610;SAINT GOBAIN GLASS;2023;Air;Oxydes d'azote (NOx/NO2);118000;kg/an
0005101610;SAINT GOBAIN GLASS;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;79100000;kg/an
0005101610;SAINT GOBAIN GLASS;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);79100000;kg/an
0005101610;SAINT GOBAIN GLASS;2023;Air;Sélénium;688;kg/an
0005101668;ARKEMA FRANCE;2023;Air;Composés organiques volatils non méthaniques (COVNM);104000;kg/an
0005101758;EUROSERUM;2023;Eau (indirect);Demande biologique en oxygène (DBO5);101000;kg/an
0005101758;EUROSERUM;2023;Eau (indirect);Demande chimique en oxygène (DCO);174000;kg/an
0005101812;ETOUVIE ENERGIES ET ENVIRONNEMENT;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);10500000;kg/an
0005101887;METEX NOOVISTAGO;2023;Eau (direct);Demande chimique en oxygène (DCO);191000;kg/an
0005101887;METEX NOOVISTAGO;2023;Sol;Nickel et composés (exprimés en tant que Ni);49.9;kg/an
0005101887;METEX NOOVISTAGO;2023;Sol;Chrome et composés (exprimés en tant que Cr);87.4;kg/an
0005101887;METEX NOOVISTAGO;2023;Sol;Fer et composés (exprimés en tant que Fe);34200;kg/an
0005101887;METEX NOOVISTAGO;2023;Sol;Zinc et composés (exprimés en tant que Zn);195;kg/an
0005101904;PROCTER & GAMBLE AMIENS;2023;Eau (indirect);Demande biologique en oxygène (DBO5);70500;kg/an
0005101904;PROCTER & GAMBLE AMIENS;2023;Eau (indirect);Demande chimique en oxygène (DCO);161000;kg/an
0005101904;PROCTER & GAMBLE AMIENS;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;10500000;kg/an
0005101904;PROCTER & GAMBLE AMIENS;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);10500000;kg/an
0005101916;MERSEN FRANCE AMIENS SAS;2023;Air;Composés organiques volatils non méthaniques (COVNM);36600;kg/an
0005102078;DS SMITH PACKAGING CONTOIRE-HAMEL;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);33300000;kg/an
0005102078;DS SMITH PACKAGING CONTOIRE-HAMEL;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;31400000;kg/an
0005102201;SAINT FRERES;2023;Air;Composés organiques volatils non méthaniques (COVNM);74000;kg/an
0005102297;EVONIK REXIM ham;2023;Eau (direct);Azote total;61700;kg/an
0005102297;EVONIK REXIM ham;2023;Eau (direct);Composés organohalogénés (exprimés en tant que AOX);1770;kg/an
0005102374;BONDUELLE EUROPE LONG LIFE;2023;Eau (direct);Phosphore total;9230;kg/an
0005102404;TEREOS STARCH & SWEETENERS EUROPE;2023;Air;Composés organiques volatils non méthaniques (COVNM);147000;kg/an
0005102404;TEREOS STARCH & SWEETENERS EUROPE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;159000000;kg/an
0005102404;TEREOS STARCH & SWEETENERS EUROPE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);159000000;kg/an
0005102404;TEREOS STARCH & SWEETENERS EUROPE;2023;Eau (direct);Nickel et composés (exprimés en tant que Ni);21.8;kg/an
0005102490;MOUSLINE;2023;Air;Dioxyde de carbone (CO2) d'origine biomasse;33500000;kg/an
0005102490;MOUSLINE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);33800000;kg/an
0005102505;SAINT LOUIS SUCRE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;75300000;kg/an
0005102505;SAINT LOUIS SUCRE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);75300000;kg/an
0005102581;ROQUETTE FRERES;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;17200000;kg/an
0005102581;ROQUETTE FRERES;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);20800000;kg/an
0005102581;ROQUETTE FRERES;2023;Sol;Azote total;307000;kg/an
0005102581;ROQUETTE FRERES;2023;Sol;Phosphore total;96200;kg/an
0005102587;RKW SAINT FRERES EMBALLAGE;2023;Air;Composés organiques volatils non méthaniques (COVNM);101000;kg/an
0005102598;CRISTAL UNION;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;60600000;kg/an
0005102598;CRISTAL UNION;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);60600000;kg/an
0005103204;EDILIANS;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;33100000;kg/an
0005103204;EDILIANS;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);33100000;kg/an
0005103657;FLINT GROUP FRANCE SAS;2023;Air;Composés organiques volatils non méthaniques (COVNM);61800;kg/an
0005103728;SOCIETE DE COGENERATION DE PICARDIE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;66900000;kg/an
0005103728;SOCIETE DE COGENERATION DE PICARDIE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);66900000;kg/an
0005200010;POLYREY;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;14700000;kg/an
0005200010;POLYREY;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);14700000;kg/an
0005200028;EURENCO FRANCE SAS;2023;Air;Composés organiques volatils non méthaniques (COVNM);110000;kg/an
0005200028;EURENCO FRANCE SAS;2023;Eau (direct);Azote total;92400;kg/an
0005200074;BERKEM;2023;Air;Composés organiques volatils non méthaniques (COVNM);496000;kg/an
0005200074;BERKEM;2023;Air;Méthanol (alcool méthylique);105000;kg/an
0005200086;CONDAT;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;21100000;kg/an
0005200086;CONDAT;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);21100000;kg/an
0005200086;CONDAT;2023;Eau (direct);Aluminium et composés (exprimés en tant que Al);14500;kg/an
0005200086;CONDAT;2023;Sol;Chrome et composés (exprimés en tant que Cr);68.7;kg/an
0005200086;CONDAT;2023;Sol;Nickel et composés (exprimés en tant que Ni);30.4;kg/an
0005200214;LHOIST FRANCE OUEST;2023;Air;Dioxyde de carbone (CO2) d'origine biomasse;18200000;kg/an
0005200214;LHOIST FRANCE OUEST;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;36900000;kg/an
0005200214;LHOIST FRANCE OUEST;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);55100000;kg/an
0005200251;SANOFI WINTHROP INDUSTRIE;2023;Air;Hydroflurocarbures (HFC);132;kg/an
0005200359;SAIPOL;2023;Air;Composés organiques volatils non méthaniques (COVNM);351000;kg/an
0005200359;SAIPOL;2023;Air;Dioxyde de carbone (CO2) d'origine biomasse;54100000;kg/an
0005200359;SAIPOL;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);59100000;kg/an
0005200378;VALBOM;2023;Air;Dioxyde de carbone (CO2) d'origine biomasse;110000000;kg/an
0005200378;VALBOM;2023;Air;Mercure et composés (exprimés en tant que Hg);13.6;kg/an
0005200378;VALBOM;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;84800000;kg/an
0005200378;VALBOM;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);195000000;kg/an
0005200592;SAFT;2023;Eau (direct);Cadmium et composés (exprimés en tant que Cd);1.35;kg/an
0005201222;ETEX FRANCE BUILDING PERFORMANCE;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;26500000;kg/an
0005201222;ETEX FRANCE BUILDING PERFORMANCE;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);26500000;kg/an
0005201261;ARIANEGROUP SAS;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;11000000;kg/an
0005201261;ARIANEGROUP SAS;2023;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);11000000;kg/an
0005201375;O-I FRANCE SAS;2023;Air;Oxydes d'azote (NOx/NO2);168000;kg/an
0005201375;O-I FRANCE SAS;2023;Air;Plomb et composés (exprimés en tant que Pb);269;kg/an
0005201375;O-I FRANCE SAS;2023;Air;Dioxyde de carbone (CO2) d'origine non biomasse;57100000;kg/an
