identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0007000882;.SYNTHEXIM;2009;Eau (direct);Chloroforme (trichlorométhane);122;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2009;Air;Chlorométhane (chlorure de méthyle);16400;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2009;Air;Composés organiques volatils non méthaniques (COVNM);30300;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2009;Air;Dichlorométhane (DCM, chlorure de méthylène);37600;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2009;Air;Méthanol (alcool méthylique);25000;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2009;Eau (direct);1,2-dichloroéthane (DCE - chlorure d'éthylène);48;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2009;Eau (direct);Aldéhyde formique (formaldéhyde);1910;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2009;Eau (direct);Azote total;72500;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2009;Eau (direct);Chlorures (en tant que Cl total);3550000;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2009;Eau (direct);Composés organohalogénés (exprimés en tant que AOX);8080;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2009;Eau (direct);Demande chimique en oxygène (DCO);357000;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2009;Eau (direct);Dichlorométhane (DCM, chlorure de méthylène);43;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2009;Eau (direct);Sulfates;3290000;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2009;Sol;1,2-dichloroéthane (DCE - chlorure d'éthylène);750;kg/an
0005100203;EUROKERA (SNC);2009;Eau (indirect);Arsenic et composés (exprimés en tant que As);8;kg/an
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2009;Air;Arsenic et composés (exprimés en tant que As);179;kg/an
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2009;Air;Cadmium et composés (exprimés en tant que Cd);29;kg/an
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2009;Air;Chrome et composés (exprimés en tant que Cr);634;kg/an
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2009;Air;Cuivre et composés (exprimés en tant que Cu);108;kg/an
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2009;Air;Oxydes de soufre (SOx/SO2);228000;kg/an
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2009;Air;Oxydes d'azote (NOx/NO2);195000;kg/an
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2009;Air;Plomb et composés (exprimés en tant que Pb);1410;kg/an
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2009;Air;Dioxyde de carbone (CO2) d'origine non biomasse;79600000;kg/an
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2009;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);79600000;kg/an
0005100293;EVERBAL PAPETERIE;2009;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);12600000;kg/an
0005100293;EVERBAL PAPETERIE;2009;Air;Dioxyde de carbone (CO2) d'origine biomasse;12600000;kg/an
0005100293;EVERBAL PAPETERIE;2009;Sol;Cuivre et composés (exprimés en tant que Cu);70.3;kg/an
0005100333;LE CREUSET SAS;2009;Eau (direct);Cadmium et composés (exprimés en tant que Cd);15;kg/an
0005100349;SOPROCOS;2009;Air;Composés organiques volatils non méthaniques (COVNM);32700;kg/an
0005100390;SITA NORD EST;2009;Air;Méthane (CH4);762000;kg/an
0005100390;SITA NORD EST;2009;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);12300000;kg/an
0005100390;SITA NORD EST;2009;Air;Dioxyde de carbone (CO2) d'origine biomasse;12300000;kg/an
0005100390;SITA NORD EST;2009;Eau (indirect);Benzo (a) pyrène;0.000000010;kg/an
0005100390;SITA NORD EST;2009;Eau (indirect);Benzo (b) fluoranthène;0.000000010;kg/an
0005100400;CROWN LAON;2009;Air;Composés organiques volatils non méthaniques (COVNM);149000;kg/an
0005100466;INTERSNACK FRANCE ex-VICO SA;2009;Air;Dioxyde de carbone (CO2) d'origine non biomasse;10300000;kg/an
0005100466;INTERSNACK FRANCE ex-VICO SA;2009;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);10300000;kg/an
0005100467;GAVEL;2009;Air;Dioxyde de carbone (CO2) d'origine non biomasse;11800000;kg/an
0005100467;GAVEL;2009;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);11800000;kg/an
0005100494;NOVABION;2009;Air;Dioxyde de carbone (CO2) d'origine non biomasse;20700000;kg/an
0005100494;NOVABION;2009;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);20700000;kg/an
0005100507;ENGIE COFELY;2009;Air;Dioxyde de carbone (CO2) d'origine non biomasse;19600000;kg/an
0005100507;ENGIE COFELY;2009;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);19600000;kg/an
0005100521;TEREOS FRANCE;2009;Air;Composés organiques volatils non méthaniques (COVNM);246000;kg/an
0005100521;TEREOS FRANCE;2009;Air;Oxydes d'azote (NOx/NO2);246000;kg/an
0005100521;TEREOS FRANCE;2009;Air;Poussières totales;215000;kg/an
0005100521;TEREOS FRANCE;2009;Air;Dioxyde de carbone (CO2) d'origine non biomasse;204000000;kg/an
0005100521;TEREOS FRANCE;2009;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);380000000;kg/an
0005100521;TEREOS FRANCE;2009;Air;Dioxyde de carbone (CO2) d'origine biomasse;176000000;kg/an
0005100521;TEREOS FRANCE;2009;Eau (direct);Azote total;56200;kg/an
0005100521;TEREOS FRANCE;2009;Eau (direct);Demande chimique en oxygène (DCO);352000;kg/an
0005100536;WILLIAM SAURIN PRODUCTION;2009;Air;Dioxyde de carbone (CO2) d'origine non biomasse;10600000;kg/an
0005100536;WILLIAM SAURIN PRODUCTION;2009;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);10600000;kg/an
0005100562;MBK INDUSTRIE;2009;Air;Composés organiques volatils non méthaniques (COVNM);98900;kg/an
0005100611;CENTRE HOSPITALIER GENERAL;2009;Eau (indirect);1,2-dichloroéthane (DCE - chlorure d'éthylène);0.31;kg/an
0005100611;CENTRE HOSPITALIER GENERAL;2009;Eau (indirect);Arsenic et composés (exprimés en tant que As);6;kg/an
0005100611;CENTRE HOSPITALIER GENERAL;2009;Eau (indirect);Demande biologique en oxygène (DBO5);775000;kg/an
0005100611;CENTRE HOSPITALIER GENERAL;2009;Eau (indirect);Demande chimique en oxygène (DCO);1060000;kg/an
0005100611;CENTRE HOSPITALIER GENERAL;2009;Eau (indirect);Phosphore total;12500;kg/an
0005100611;CENTRE HOSPITALIER GENERAL;2009;Eau (indirect);Phénols (en tant que C total);217;kg/an
0005100611;CENTRE HOSPITALIER GENERAL;2009;Eau (indirect);Tétrachlorométhane (TCM, tétrachlorure de carbone);0.03;kg/an
0005100611;CENTRE HOSPITALIER GENERAL;2009;Eau (indirect);Zinc et composés (exprimés en tant que Zn);146;kg/an
0005100692;COFELY ex DALKIA;2009;Air;Dioxyde de carbone (CO2) d'origine non biomasse;12400000;kg/an
0005100692;COFELY ex DALKIA;2009;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);12400000;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2009;Air;Dioxyde de carbone (CO2) d'origine non biomasse;71700000;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2009;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);71700000;kg/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2009;Eau (direct);Demande chimique en oxygène (DCO);349000;kg/an
0005100819;SAR (S.A.R. ex KIFFER);2009;Air;Composés organiques volatils non méthaniques (COVNM);243000;kg/an
0005100850;ETEX France Building Performance;2009;Air;Protoxyde d'azote (N2O);11700;kg/an
0005100850;ETEX France Building Performance;2009;Air;Dioxyde de carbone (CO2) d'origine non biomasse;44600000;kg/an
0005100850;ETEX France Building Performance;2009;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);44600000;kg/an
0005100864;VALNOR;2009;Air;Méthane (CH4);726000;kg/an
0005100864;VALNOR;2009;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);12900000;kg/an
