identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0076433501;STEP - LESCAR;2008;Eau (direct);Zinc et composés (exprimés en tant que Zn);1510;kg/an
0005300235;Saint Louis Sucre Site de Cagny;2008;Air;Dioxyde de carbone (CO2) d'origine non biomasse;42300000;kg/an
0005401296;Usine de Frangey;2008;Air;Benzène;1200;kg/an
0006301411;CARGILL France;2008;Air;Hydrochlorofluorocarbures (HCFC);744;kg/an
0006802361;C2M AUROCHS INDUSTRIE;2008;Air;Hydrochlorofluorocarbures (HCFC);57;kg/an
;GAEC LES NOUES;2008;Air;Ammoniac (NH3);10300;kg/an
;GAEC La Cessière;2008;Air;Ammoniac (NH3);11000;kg/an
0011000005;TEINTURES ET APPRETS DANJOUX;2008;Eau (indirect);Demande chimique en oxygène (DCO);158000;kg/an
;SICA SARL LA POMAREDE;2008;Air;Ammoniac (NH3);14800;kg/an
;SASU Le Porc du Maynié;2008;Air;Ammoniac (NH3);14100;kg/an
0012100006;SOCIETE DE COGENERATION DE TAVAUX;2008;Air;Oxydes d'azote (NOx/NO2);135000;kg/an
0012100006;SOCIETE DE COGENERATION DE TAVAUX;2008;Air;Dioxyde de carbone (CO2) d'origine non biomasse;164000000;kg/an
0012100006;SOCIETE DE COGENERATION DE TAVAUX;2008;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);164000000;kg/an
0012200020;SUEZ RV CENTRE EST (ex SITA);2008;Air;Méthane (CH4);162000;kg/an
0012800005;MILGRED;2008;Air;Vanadium et ses composés;0.015;kg/an
;ALVA;2008;Eau (indirect);Demande chimique en oxygène (DCO);158000;kg/an
;DESHAYES Hubert;2008;Air;Ammoniac (NH3);10400;kg/an
;EARL Guillaume;2008;Air;Ammoniac (NH3);16600;kg/an
0016300069;SAPEC 1;2008;Eau (indirect);Nickel et composés (exprimés en tant que Ni);24.6;kg/an
0016300072;KITA CHROME;2008;Air;Nickel et composés (exprimés en tant que Ni);68.5;kg/an
0016300107;O-I MANUFACTURING FRANCE;2008;Air;Antimoine et composés (exprimés en tant que Sb);11;kg/an
0016300107;O-I MANUFACTURING FRANCE;2008;Air;Arsenic et composés (exprimés en tant que As);38;kg/an
0016300107;O-I MANUFACTURING FRANCE;2008;Air;Oxydes de soufre (SOx/SO2);500000;kg/an
0016300107;O-I MANUFACTURING FRANCE;2008;Air;Oxydes d'azote (NOx/NO2);325000;kg/an
0016300107;O-I MANUFACTURING FRANCE;2008;Air;Vanadium et ses composés;117;kg/an
0016300107;O-I MANUFACTURING FRANCE;2008;Air;Thallium et ses composés (exprimés en tant que Tl);3;kg/an
0016300107;O-I MANUFACTURING FRANCE;2008;Air;Dioxyde de carbone (CO2) d'origine non biomasse;120000000;kg/an
0016300107;O-I MANUFACTURING FRANCE;2008;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);120000000;kg/an
0016300160;SEFIC SA;2008;Air;Composés organiques volatils non méthaniques (COVNM);46100;kg/an
0016300168;SOCIETE DES EAUX DE VOLVIC - USINE VOLVIC FRUITS CHANCET 2;2008;Eau (indirect);Demande biologique en oxygène (DBO5);391000;kg/an
0016300168;SOCIETE DES EAUX DE VOLVIC - USINE VOLVIC FRUITS CHANCET 2;2008;Eau (indirect);Demande chimique en oxygène (DCO);476000;kg/an
0016300336;Compagnie des Fromages & Riches Monts;2008;Eau (indirect);Demande biologique en oxygène (DBO5);51900;kg/an
;S.A.S Elvaporcs;2008;Air;Ammoniac (NH3);19100;kg/an
0016400034;ETABLISSEMENT CANARD SA;2008;Air;Composés organiques volatils non méthaniques (COVNM);46600;kg/an
0016400362;SUEZ RV Centre Est;2008;Air;Méthane (CH4);744000;kg/an
0016400362;SUEZ RV Centre Est;2008;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);10100000;kg/an
0016400362;SUEZ RV Centre Est;2008;Air;Dioxyde de carbone (CO2) d'origine biomasse;10100000;kg/an
0016400362;SUEZ RV Centre Est;2008;Eau (indirect);Arsenic et composés (exprimés en tant que As);16;kg/an
0016400362;SUEZ RV Centre Est;2008;Eau (indirect);Cadmium et composés (exprimés en tant que Cd);12.6;kg/an
0016400363;SICTOM Nord Allier;2008;Air;Méthane (CH4);1070000;kg/an
;GAEC de Margnac;2008;Air;Ammoniac (NH3);16100;kg/an
0016500006;COVERIS FLEXIBLES FRANCE SA;2008;Air;Composés organiques volatils non méthaniques (COVNM);351000;kg/an
0016500024;AEP GROUP;2008;Air;Composés organiques volatils non méthaniques (COVNM);120000;kg/an
0016500081;CF&R;2008;Air;Hydrochlorofluorocarbures (HCFC);22;kg/an
0016500081;CF&R;2008;Eau (indirect);Demande biologique en oxygène (DBO5);201000;kg/an
0016500081;CF&R;2008;Eau (indirect);Demande chimique en oxygène (DCO);336000;kg/an
0016500081;CF&R;2008;Eau (indirect);Phosphore total;8000;kg/an
0016500084;G'IMPRIM;2008;Air;Composés organiques volatils non méthaniques (COVNM);240000;kg/an
0016500087;SYMPTTOM Monistrol sur Loire - ISDND;2008;Air;Méthane (CH4);256000;kg/an
0016500105;SICTOM DES MONTS DU FOREZ;2008;Air;Méthane (CH4);104000;kg/an
0016500127;SICTOM VELAY PILAT;2008;Air;Méthane (CH4);255000;kg/an
0016500173;COLLY & MARTIN SAS;2008;Air;Composés organiques volatils non méthaniques (COVNM);71800;kg/an
;SAS DOUX frais établissement du chatelet;2008;Eau (indirect);Demande biologique en oxygène (DBO5);80000;kg/an
;SCA de Civray;2008;Air;Ammoniac (NH3);15000;kg/an
;HYPOR FRANCE;2008;Air;Ammoniac (NH3);52300;kg/an
;scea DU CORMIER;2008;Air;Ammoniac (NH3);18200;kg/an
0018100012;SUEZ RV MEDITERRANEE;2008;Air;Méthane (CH4);587000;kg/an
0018100024;JAL GROUP FRANCE;2008;Air;Dichlorométhane (DCM, chlorure de méthylène);4730;kg/an
0018100024;JAL GROUP FRANCE;2008;Air;Trichloréthylène;2260;kg/an
;le préau SAS;2008;Air;Ammoniac (NH3);62400;kg/an
0018200148;MONIER  Massia ex LAFARGE COUVERTURE;2008;Air;Dioxyde de carbone (CO2) d'origine non biomasse;30400000;kg/an
0018200148;MONIER  Massia ex LAFARGE COUVERTURE;2008;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);30400000;kg/an
;SCEA DE CORTEUIL;2008;Air;Ammoniac (NH3);13000;kg/an
0018300005;CYDEL- UTVE ARC IRIS;2008;Air;Dioxyde de carbone (CO2) d'origine non biomasse;67600000;kg/an
0018300005;CYDEL- UTVE ARC IRIS;2008;Air;Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse);155000000;kg/an
0018300005;CYDEL- UTVE ARC IRIS;2008;Air;Dioxyde de carbone (CO2) d'origine biomasse;87600000;kg/an
0018300699;CABM;2008;Air;Méthane (CH4);194000;kg/an
;CHARAL;2008;Eau (indirect);Demande biologique en oxygène (DBO5);130000;kg/an
;CHARAL;2008;Eau (indirect);Demande chimique en oxygène (DCO);287000;kg/an
;SEM des abattoirs de la Valeynie;2008;Eau (indirect);Demande biologique en oxygène (DBO5);91000;kg/an
;SEM des abattoirs de la Valeynie;2008;Eau (indirect);Demande chimique en oxygène (DCO);217000;kg/an
;SABCOR;2008;Eau (indirect);Demande biologique en oxygène (DBO5);75800;kg/an
;SABCOR;2008;Eau (indirect);Demande chimique en oxygène (DCO);221000;kg/an
;GAEC DE KERGOULIO;2008;Air;Ammoniac (NH3);11600;kg/an
;SARL LE MOUEL;2008;Air;Ammoniac (NH3);22800;kg/an
;EARL LE FALHER;2008;Air;Ammoniac (NH3);13600;kg/an
