identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0005801277;Chaufferie de Mont-Saint-Aignan;2010;Air;Dioxyde de carbone (CO2) d'origine non biomasse;30500000;kg/an
0006400318;MANE ET FILS NOTRE-DAME;2010;Air;Hydrochlorofluorocarbures (HCFC);42;kg/an
0075435775;Station du Grand Nancy située à MAXEVILLE;2010;Sol;Cuivre et composés (exprimés en tant que Cu);488;kg/an
0005101087;DUO METAL (ex GOUX);2010;Air;Vanadium et ses composés;0.0678;kg/an
0005101087;DUO METAL (ex GOUX);2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.0565;kg/an
0005101148;DESRUES S.A.S;2010;Eau (indirect);1,2-dichloroéthane (DCE - chlorure d'éthylène);0.000010;kg/an
0005101148;DESRUES S.A.S;2010;Eau (indirect);Chloroforme (trichlorométhane);0.000020;kg/an
0005101148;DESRUES S.A.S;2010;Eau (indirect);Xylènes (somme ortho-xylène, méta-xylène, para-xylène);0.000020;kg/an
0005101647;INERIS;2010;Air;Vanadium et ses composés;0.00023;kg/an
0005101647;INERIS;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.000090;kg/an
0005102590;ORTEC SERVICES ENVIRONNEMENT-TRD;2010;Air;Vanadium et ses composés;0.0609;kg/an
0005102590;ORTEC SERVICES ENVIRONNEMENT-TRD;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.0314;kg/an
0005200074;BERKEM SAS;2010;Eau (direct);Chloroforme (trichlorométhane);0.038;kg/an
0005200136;TI Charentes-Périgord;2010;Air;Vanadium et ses composés;0.00493;kg/an
0005200352;SIAP PROCINER;2010;Air;Vanadium et ses composés;0.68;kg/an
0005200352;SIAP PROCINER;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.696;kg/an
0005201675;SITCOM - Messanges;2010;Air;Vanadium et ses composés;0.2;kg/an
0005201675;SITCOM - Messanges;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.401;kg/an
0005202729;PCC FRANCE SA;2010;Air;Vanadium et ses composés;1.37;kg/an
0005301484;VERRERIE D'ART AURYS;2010;Eau (direct);Xylènes (somme ortho-xylène, méta-xylène, para-xylène);0.42;kg/an
0005401097;PPG ARCHITECTURAL;2010;Eau (indirect);Xylènes (somme ortho-xylène, méta-xylène, para-xylène);0.0166;kg/an
0005401191;TPC;2010;Air;Vanadium et ses composés;0.8;kg/an
0005401201;COM COM Sénonais UIOM;2010;Air;Vanadium et ses composés;0.162;kg/an
0005401201;COM COM Sénonais UIOM;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.057;kg/an
0005401765;SONIRVAL - VALEST;2010;Air;Vanadium et ses composés;1.55;kg/an
0005401765;SONIRVAL - VALEST;2010;Air;Thallium et ses composés (exprimés en tant que Tl);1.34;kg/an
0005500616;SIDEPAQ;2010;Air;Thallium et ses composés (exprimés en tant que Tl);1.63;kg/an
0005514248;NAVAL GROUPE (ex DCNS);2010;Air;Vanadium et ses composés;0.15;kg/an
0005514248;NAVAL GROUPE (ex DCNS);2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.5;kg/an
0005600075;SADILLEK SA;2010;Air;Vanadium et ses composés;0.285;kg/an
0005600075;SADILLEK SA;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.216;kg/an
0005701056;METAL BLANC;2010;Air;Vanadium et ses composés;1.31;kg/an
0005701056;METAL BLANC;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.6;kg/an
0005701289;GHM - SOMMEVOIRE;2010;Air;Vanadium et ses composés;0.48;kg/an
0005701293;FONDERIES GHM - WASSY;2010;Air;Vanadium et ses composés;0.361;kg/an
0005701293;FONDERIES GHM - WASSY;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.027;kg/an
0005701935;Etablissement DAUM;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.17;kg/an
0005702694;SUEZ RV NORD EST - BAR-SUR-SEINE;2010;Eau (indirect);Benzo (a) pyrène;0.000000010;kg/an
0005702694;SUEZ RV NORD EST - BAR-SUR-SEINE;2010;Eau (indirect);Benzo (b) fluoranthène;0.0602;kg/an
0005800503;CARLO ERBA REAGENTS Val de Reuil;2010;Eau (indirect);Chloroforme (trichlorométhane);0.001;kg/an
0005800503;CARLO ERBA REAGENTS Val de Reuil;2010;Eau (direct);Chloroforme (trichlorométhane);0.002;kg/an
0005800503;CARLO ERBA REAGENTS Val de Reuil;2010;Eau (indirect);Xylènes (somme ortho-xylène, méta-xylène, para-xylène);0.002;kg/an
0005800503;CARLO ERBA REAGENTS Val de Reuil;2010;Eau (direct);Xylènes (somme ortho-xylène, méta-xylène, para-xylène);0.001;kg/an
0005800999;LHOTELLIER_DEPOLLUTION_Ex_IKOS SOL MEIX;2010;Eau (direct);Xylènes (somme ortho-xylène, méta-xylène, para-xylène);0.00013;kg/an
0005801260;centre de traitement des déchets;2010;Air;Vanadium et ses composés;0.4;kg/an
0005801491;Metropole Rouen Normandie;2010;Air;Vanadium et ses composés;0.048;kg/an
0005801491;Metropole Rouen Normandie;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.385;kg/an
0005802920;SOLVALOR SEINE;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.015;kg/an
0005900199;CASTMETAL COLOMBIER;2010;Air;Vanadium et ses composés;1.14;kg/an
0005900199;CASTMETAL COLOMBIER;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.252;kg/an
0005900275;SOTREFI;2010;Eau (indirect);Chloroforme (trichlorométhane);0.00613;kg/an
0005900275;SOTREFI;2010;Eau (indirect);Nonylphénols et éthoxylates de nonylphénol (NP/NPE);0.007;kg/an
0005900275;SOTREFI;2010;Eau (indirect);Xylènes (somme ortho-xylène, méta-xylène, para-xylène);0.005;kg/an
0005900578;CASTMETAL FWF;2010;Air;Vanadium et ses composés;1.4;kg/an
0005900578;CASTMETAL FWF;2010;Air;Thallium et ses composés (exprimés en tant que Tl);1.66;kg/an
0006102037;ROSET S.A.;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.009;kg/an
0006102436;IMERYS ALUMINATES Usine de LE TEIL;2010;Air;Vanadium et ses composés;0.3;kg/an
0006102436;IMERYS ALUMINATES Usine de LE TEIL;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.2;kg/an
0006102464;EURECAT FRANCE;2010;Air;Vanadium et ses composés;0.37;kg/an
0006103134;VICAT SA;2010;Air;Vanadium et ses composés;0.03;kg/an
0006103134;VICAT SA;2010;Air;Thallium et ses composés (exprimés en tant que Tl);0.031;kg/an
0006103183;THOR;2010;Eau (indirect);Benzo (b) fluoranthène;0.0000245;kg/an
0006103514;GFD;2010;Eau (indirect);Nonylphénols et éthoxylates de nonylphénol (NP/NPE);0.00285;kg/an
0006103546;RECYLEX;2010;Eau (direct);Benzo (a) pyrène;0.00021;kg/an
0006103546;RECYLEX;2010;Eau (direct);Benzo (k) fluoranthène;0.00021;kg/an
0006103546;RECYLEX;2010;Eau (direct);Indeno(1,2,3-cd)pyrène;0.00021;kg/an
0006103546;RECYLEX;2010;Eau (direct);Benzo (b) fluoranthène;0.00021;kg/an
0006103549;QUARON SAS;2010;Eau (indirect);Chloroforme (trichlorométhane);1.13;kg/an
0006103617;SUEZ RR IWS CHEMICALS FRANCE;2010;Eau (indirect);1,2-dichloroéthane (DCE - chlorure d'éthylène);0.00129;kg/an
0006103617;SUEZ RR IWS CHEMICALS FRANCE;2010;Eau (indirect);Benzo (a) pyrène;0.000136;kg/an
