identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0006104103;CREALIS;2006;Air;Hexafluorure de soufre (SF6);441;kg/an
0006104103;CREALIS;2006;Air;Hydrochlorofluorocarbures (HCFC);2520;kg/an
0006104103;CREALIS;2006;Air;Hydroflurocarbures (HFC);5780;kg/an
0006104103;CREALIS;2006;Air;1,3-butadiène;170;kg/an
0006104103;CREALIS;2006;Air;Chlorométhane (chlorure de méthyle);1170;kg/an
0006104103;CREALIS;2006;Air;Oxyde de propylène (1,2-époxypropane);224;kg/an
0006104103;CREALIS;2006;Air;Oxyde d'éthylène;196;kg/an
0006104159;LAFAYETTE - ELM Opérations;2006;Air;Oxydes de soufre (SOx/SO2);160000;kg/an
0006104159;LAFAYETTE - ELM Opérations;2006;Air;Oxydes d'azote (NOx/NO2);104000;kg/an
0006104159;LAFAYETTE - ELM Opérations;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;56600000;kg/an
0006104223;METROPOLE DE LYON - Unité de Traitement de de Valorisation Energétique des déchets urbains de Lyon Sud;2006;Air;Cadmium et composés (exprimés en tant que Cd);14.7;kg/an
0006104223;METROPOLE DE LYON - Unité de Traitement de de Valorisation Energétique des déchets urbains de Lyon Sud;2006;Air;Mercure et composés (exprimés en tant que Hg);25.6;kg/an
0006104223;METROPOLE DE LYON - Unité de Traitement de de Valorisation Energétique des déchets urbains de Lyon Sud;2006;Air;Plomb et composés (exprimés en tant que Pb);239;kg/an
0006104223;METROPOLE DE LYON - Unité de Traitement de de Valorisation Energétique des déchets urbains de Lyon Sud;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;111000000;kg/an
0006104223;METROPOLE DE LYON - Unité de Traitement de de Valorisation Energétique des déchets urbains de Lyon Sud;2006;Air;Dioxyde de carbone (CO2) d'origine biomasse;80900000;kg/an
0006104225;STEF Logistique Rhône Alpes Site de Lyon Gerland;2006;Air;Hydrochlorofluorocarbures (HCFC);600;kg/an
0006104257;GIVAUDAN FRANCE FRAGRANCES;2006;Eau (direct);Benzène;1.73;kg/an
0006104259;Givaudan Lavirotte (Groupe ISALTIS);2006;Air;Composés organiques volatils non méthaniques (COVNM);330000;kg/an
0006104259;Givaudan Lavirotte (Groupe ISALTIS);2006;Air;Méthanol (alcool méthylique);2050;kg/an
0006104259;Givaudan Lavirotte (Groupe ISALTIS);2006;Eau (indirect);Carbone organique total (en tant que C total ou DCO/3);93500;kg/an
0006104259;Givaudan Lavirotte (Groupe ISALTIS);2006;Eau (indirect);Demande biologique en oxygène (DBO5);139000;kg/an
0006104259;Givaudan Lavirotte (Groupe ISALTIS);2006;Eau (indirect);Demande chimique en oxygène (DCO);280000;kg/an
0006104259;Givaudan Lavirotte (Groupe ISALTIS);2006;Eau (indirect);Phosphore total;9540;kg/an
0006104259;Givaudan Lavirotte (Groupe ISALTIS);2006;Eau (direct);Méthanol (alcool méthylique);4390;kg/an
0006104280;ELYDE;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;22600000;kg/an
0006104306;GRID Solutions;2006;Air;Dichlorométhane (DCM, chlorure de méthylène);5650;kg/an
0006104306;GRID Solutions;2006;Air;Hexafluorure de soufre (SF6);1310;kg/an
0006104340;NICHE FUSED ALUMINA;2006;Eau (direct);Arsenic et composés (exprimés en tant que As);130;kg/an
0006104344;NICHE FUSED ALUMINA;2006;Air;Fluor et ses composés (F);660;kg/an
0006104344;NICHE FUSED ALUMINA;2006;Eau (direct);Fluor et ses composés (F);15;kg/an
0006104344;NICHE FUSED ALUMINA;2006;Eau (direct);Méthanol (alcool méthylique);2;kg/an
0006104364;OCV CHAMBERY (Usine C);2006;Air;Oxydes d'azote (NOx/NO2);155000;kg/an
0006104364;OCV CHAMBERY (Usine C);2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;29300000;kg/an
0006104364;OCV CHAMBERY (Usine C);2006;Eau (indirect);Carbone organique total (en tant que C total ou DCO/3);68100;kg/an
0006104364;OCV CHAMBERY (Usine C);2006;Eau (indirect);Demande biologique en oxygène (DBO5);45500;kg/an
0006104364;OCV CHAMBERY (Usine C);2006;Eau (indirect);Demande chimique en oxygène (DCO);204000;kg/an
0006104367;PLACOPLATRE;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;47900000;kg/an
0006104372;SCDC (CENTRALE CROIX ROUGE);2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;13400000;kg/an
0006104373;SCDC (CENTRALE DE BISSY);2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;55500000;kg/an
0006104374;MITHIEUX ET FILS;2006;Eau (indirect);Cuivre et composés (exprimés en tant que Cu);57.1;kg/an
0006104374;MITHIEUX ET FILS;2006;Eau (indirect);Nickel et composés (exprimés en tant que Ni);134;kg/an
0006104374;MITHIEUX ET FILS;2006;Eau (indirect);Zinc et composés (exprimés en tant que Zn);177;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Air;Ammoniac (NH3);23000;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Air;Composés organiques volatils non méthaniques (COVNM);210000;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Air;Nickel et composés (exprimés en tant que Ni);360;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Air;Oxydes de soufre (SOx/SO2);335000;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Air;Oxydes d'azote (NOx/NO2);198000;kg/an
