identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0006104748;THALES AVS FRANCE SAS;2012;Air;Hexafluorure de soufre (SF6);378;kg/an
0006400196;SAS ZEPHIRE;2012;Air;Dioxyde de carbone (CO2) d'origine non biomasse;88400000;kg/an
0006704530;AGRO-LOGIC;2012;Sol;Plomb et composés (exprimés en tant que Pb);102;kg/an
0007205682;COURVOISIER SAS - LM;2012;Air;Composés organiques volatils non méthaniques (COVNM);190000;kg/an
0005703169;REMONDIS Electrorecycling SAS;2012;Air;Vanadium et ses composés;0.124;kg/an
0005703169;REMONDIS Electrorecycling SAS;2012;Air;Thallium et ses composés (exprimés en tant que Tl);0.124;kg/an
0005800420;ECOLOGIC PETROLEUM RECOVERY;2012;Air;Vanadium et ses composés;0.0408;kg/an
0005800420;ECOLOGIC PETROLEUM RECOVERY;2012;Air;Thallium et ses composés (exprimés en tant que Tl);0.0424;kg/an
0005800437;ORFEVRERIE CHRISTOFLE;2012;Eau (direct);Chloroforme (trichlorométhane);0.093;kg/an
0005800437;ORFEVRERIE CHRISTOFLE;2012;Eau (direct);Nonylphénols et éthoxylates de nonylphénol (NP/NPE);0.009;kg/an
0005800503;CARLO ERBA REAGENTS Val de Reuil;2012;Eau (indirect);Chloroforme (trichlorométhane);0.0043;kg/an
0005800503;CARLO ERBA REAGENTS Val de Reuil;2012;Eau (direct);Chloroforme (trichlorométhane);0.0006;kg/an
0005800503;CARLO ERBA REAGENTS Val de Reuil;2012;Eau (direct);Xylènes (somme ortho-xylène, méta-xylène, para-xylène);0.0001;kg/an
0005800503;CARLO ERBA REAGENTS Val de Reuil;2012;Eau (indirect);Xylènes (somme ortho-xylène, méta-xylène, para-xylène);0.0003;kg/an
0005800999;LHOTELLIER_DEPOLLUTION_Ex_IKOS SOL MEIX;2012;Eau (direct);Xylènes (somme ortho-xylène, méta-xylène, para-xylène);0.0007;kg/an
0005801491;Metropole Rouen Normandie;2012;Air;Vanadium et ses composés;0.0401;kg/an
0005801491;Metropole Rouen Normandie;2012;Air;Thallium et ses composés (exprimés en tant que Tl);0.0271;kg/an
0005900199;CASTMETAL COLOMBIER;2012;Air;Vanadium et ses composés;0.446;kg/an
0005900199;CASTMETAL COLOMBIER;2012;Air;Thallium et ses composés (exprimés en tant que Tl);0.32;kg/an
0005900578;CASTMETAL FWF;2012;Air;Vanadium et ses composés;0.075;kg/an
0005900578;CASTMETAL FWF;2012;Air;Thallium et ses composés (exprimés en tant que Tl);0.351;kg/an
0005901000;COMTOISE DE TRAITEMENTS DE SURFACES - CTS;2012;Eau (direct);Nonylphénols et éthoxylates de nonylphénol (NP/NPE);0.069;kg/an
0005903605;GESTAMP RONCHAMP SAS;2012;Air;Vanadium et ses composés;0.015;kg/an
0006102219;GROUPE QUINSON-FONLUPT;2012;Eau (direct);Chloroforme (trichlorométhane);0.0077;kg/an
0006102219;GROUPE QUINSON-FONLUPT;2012;Eau (direct);Nonylphénols et éthoxylates de nonylphénol (NP/NPE);0.0747;kg/an
0006102219;GROUPE QUINSON-FONLUPT;2012;Eau (direct);Octylphénols et éthoxylates d'octylphénol;0.0253;kg/an
0006102219;GROUPE QUINSON-FONLUPT;2012;Eau (direct);Xylènes (somme ortho-xylène, méta-xylène, para-xylène);0.0548;kg/an
0006102268;ALBERTI ENNOBLISSEMENT;2012;Eau (indirect);Nonylphénols et éthoxylates de nonylphénol (NP/NPE);0.134;kg/an
0006102436;IMERYS ALUMINATES Usine de LE TEIL;2012;Air;Vanadium et ses composés;0.32;kg/an
