ETS_Name;PRTR_Name;EUTL_Name;Similarity;
BKK Produksjon AS;Bkk produksjon;NA;NA;
Gasnor AS;Gasnor kollsnes;NA;NA;
28088;NA;NA;NA;
5343;NA;NA;NA;
22212;NA;NA;NA;
37084;NA;NA;NA;
33705;NA;NA;NA;
3536;NA;NA;NA;
Atla boreoperasjon Total E&P Norge;NA;NA;NA;
f10118;NA;NA;NA;x
Equinor Petroleum AS Valemonfeltet;NA;NA;NA;
Oselvarfeltet;NA;NA;NA;
Repsol Norge AS Revfeltet;NA;NA;NA;x
Skagerak Varme;NA;NA;NA;
Jette;NA;NA;NA;
f10772;NA;NA;NA;
24142;NA;NA;NA;
37652;NA;NA;NA;
f10893;NA;NA;NA;
Gassco AS Draupner S/E stigerørsinnretning;NA;NA;NA;
Gassco AS Kollsnes gassanlegg;Gassco as kollsnes prosessanlegg;NA;NA;
Gassco AS Kårstø gassprosesseringsanlegg;Gassco as k�rst� prosessanlegg;NA;NA;
GE Healthcare AS Lindesnes Fabrikker;Ge healthcare lindesnes;NA;NA;
Glomma Papp AS;Glomma papp, sarpsborg;NA;NA;
BKK Varme AS;NA;NA;NA;
Hurum Energigjenvinning AS;NA;NA;NA;
INEOS Bamble AS;Ineos bamble;NA;NA;
Hønefoss Fjernvarme;NA;NA;NA;
Lyse Neo AS;Forus nord energisentral, lyse neo fjernvarme;NA;NA;
Aker BP ASA Alvheim;NA;NA;NA;
Leca Norge AS avd. Leca Rælingen;Leca r�lingen;NA;NA;
Mo Fjernvarme AS;NA;NA;NA;
Norcem AS avdeling Brevik;NA;NA;NA;
Norcem AS avdeling Kjøpsvik;Norcem kj�psvik;NA;NA;
Nordic Paper AS Greåker;Nordic paper;NA;NA;x
Borregaard AS;Borregaard - forbrenningsanlegget;NA;NA;x
NorFraKalk AS;Norfrakalk;NA;NA;
OKEA ASA Draugen;NA;NA;NA;
Gassco AS Nyhamna prosessanlegg;Nyhamna prosessanlegg;NA;NA;
Norske Skog Follum AS;Norske skogindustrier asa, follum fabrikker;NA;NA;
Oslo kommune Energigjenvinningsetaten;NA;NA;NA;
Aker BP ASA Ulafeltet;NA;NA;NA;
Ranheim Paper & Board avd papir og papp;Ranheim paper & board;NA;NA;
Skretting AS;NA;NA;NA;x
RHI Normag AS;NA;NA;NA;
SMA Mineral AS;Sma mineral;NA;NA;
Statnett SF Reservekraftanlegg Nyhamna;NA;NA;NA;
Aker BP ASA Valhallfeltet;NA;NA;NA;
OKEA ASA Brage;NA;NA;NA;
Equinor ASA Heimdalfeltet;NA;NA;NA;
Equinor ASA Granefeltet;NA;NA;NA;
Statoil ASA Glitnefeltet;NA;NA;NA;
Equinor ASA Veslefrikk og Huldrafeltet;NA;NA;NA;
Equinor ASA Njordfeltet;NA;NA;NA;
