PRTR_Name;EUTL_Name
3b-fibreglass norway;
Aarenes lærfabrikk a.s;
Af offshore decom miljøbase vats;
Aga as tjeldbergodden;
Agility subsea fabrication as;
Agility subsea fabrication as - tidligere grenland offshore as;
Aim norway - verkstedet ved kjeller;
Aker solutions as, lokasjon stord (demolering);
Aker solutions moss;
Aker solutions stord verft;
Alcoa lista;
Alcoa norway as mosjøen;
Algea as;
Alloc as;
Alsvåg lakseslakteri;
Aludyne norway;
Apply leirvik as;
Arendals bryggeri as;
Arizona chemical as;
Åsland pukkverk, avd. huken;
Bama industri as, avd. grinder;
Basf as sandefjord;
Beas a.s;
Beco eloksal a.s;
Benteler automotive raufoss;
Berendsen tekstil service as;
Bergen engines foundry;
Bergen lufthavn flesland;
Bim norway as;
Biomega as;
Biosirk norge as avd grødaland;
Biosirk norge as, avd. trehørningen, hamar;
Biowood norway as;
Bir avfallsenergi;
Bkk produksjon;
Bodø hovedflystasjon;
Boliden odda;
Borge garveri a.s, avd. lonevåg;
Borregaard - forbrenningsanlegget;
Borregaard avd. spesialcellulose;
Botnhågen avfallsforbrenningsanlegg;
Brødr. sunde avd. ålesund;
Celsa armeringsstål;
Chemring nobel as, high energy materials;
Chitinor kitinfabrikk;
Christiania spigerverk a.s;
Cognis scandinavia produksjon;
Constructor norge  as;
Coruspackaging plus norway a.s;
Curida as, elverum (farmasøytisk prod.);
Daletec as;
Den stolte hane - foredlingsanlegg i kviamarka;
Denofa as;
Det norske myntverket;
Diplom-is as avdeling gjelleråsen;
Dokka fasteners a.s;
Drammen fjernvarme;
Dupont nutrition norge as (tidligere fmc);
Dynea asa, engene;
Dynea lillestrøm;
E c dahls bryggeri;
Eidsiva bioenergi as, avdeling gjøvik;
Eidsiva bioenergi avd. børstad, hamar;
Eidsiva bioenergi avd. elverum;
Eie 1 - forbrenningsanlegg, brakerøya;
Eik sølv-plett a.s;
Einar øgrey industrisand as;
Elkem bjølvefossen;
Elkem bremanger;
Elkem carbon;
Elkem fiskaa silicon;
Elkem meraker as;
Elkem rana;
Elkem salten;
Elkem thamshavn;
Epax  norway as, avd ålesund;
Eramet norway as porsgrunn;
Eramet norway kvinesdal;
Eramet norway sauda;
Eramet titanium & iron as;
Esso norge slagentangen;
Everzinc norway;
Ewos as avd. florø;
Ewos fôrfabrikk, balsfjord;
Ewos fôrfabrikk, meløy;
Exide technologies as;
Fatland jæren;
Fatland ølen - slakteri;
Feiring bruk  avd. dal pukkverk;
Felleskjøpet - kambo;
Felleskjøpet rogaland agder;
Ferroglobe mangan norge;
Figgjo - keramiske produkter produksjon;
Findus avd. larvik;
Findus avd. tønsberg;
Finnfjord;
Fiven norge avd. eydehavn;
Fiven norge avd. lillesand;
Fjordkjøkken;
Fluorsid noralf as;
Forestia  as, braskereidfoss;
Forsvarsbygg - varmesentral setermoen leir;
Fortuna oils as;
Forus energigjenvinning - linje 1 og 2;
Forus nord energisentral, lyse neo fjernvarme;
Fossen as;
Framo fusa as;
Franzefoss pukk, avd bondkall - pukkverk;
Fresenius kabi norge as;
Frevar - forbrenningsanlegget;
Gardermoen flystasjon;
Gasnor kollsnes;
Gassco as kårstø prosessanlegg;
Gassco as kollsnes prosessanlegg;
Gasum lng;
Gc rieber vivomega as fabrikk 1000;
Ge healthcare lindesnes;
Gilde bøndernes salgslag ba, fosen;
Gilde bøndernes salgslag ba, oppdal;
Gilde bøndernes salgslag ba, tunga;
Gilde vest ba, eidsvåg;
Gjestal spinneri a.s;
Glasopor as;
Glava askim;
Glava stjørdal;
Glen dimplex nordic as;
Glencore nikkelverk;
Glomma papp, sarpsborg;
Gmc decom as;
Granberg garveri as;
Grans bryggeri as;
Green-tex norway as;
Grilstad as avd brumunddal;
Gudbrandsdalens uldvarefabrik a.s;
Gyproc a.s;
Hadeland glassverk a.s;
Hafslund oslo celsio as avd klemetsrudveien;
Hammerfest lng;
Hannells as;
Haraldrud energigjenvinningsanlegg;
Haraldrud varmesentral (hafslund oslo celcio as);
Harstad mek. verksted as, sentrum;
Heidelberg materials brevik sementfabrikk;
Heidelberg materials miljø as avd. brevik;
Hellefoss paper;
Hellik teigen as aluminium gjenvinning, karmøy;
Hexagon ragasco;
Hillesvåg ullvarefabrikk a.s;
Himberg pukkverk;
Hoff avd sundnes brenneri;
Hoff sa avd gjøvik;
Hoff sa, avd. brumunddal;
Hoff varmesentral;
Hofseth biocare as avd midsund;
Høie as, høie fabrikker;
Horns slakteri a.s;
Høvik komponent a.s;
Huhtamaki norway as;
Hunsfos fabrikker as;
Hunton fiber as - trefiberplatefabrikken gjøvik;
Huntonit;
Hurum paper mill as;
Husqvarna norge a.s - sarpsborg;
Hydal aluminium profiler as raufoss;
Hydro aluminium årdal karbon;
Hydro aluminium årdal metallverk;
Hydro aluminium høyanger;
Hydro aluminium karmøy;
Hydro aluminium sunndal;
Hydro extrusion norway  magnor  før sapa;
Hydro vigelands brug;
Icopal as, divisjon bygg;
Ineos bamble;
Ineos rafnes;
Innvik sellgren avd. innvik;
Innvik sellgren avd. tingvoll;
Inovyn norge avd. pvc-fabrikk porsgrunn;
Inovyn norge avd. rafnes;
Inpac as;
Jahrestranda næringspark as;
Janusfabrikken as;
Jøtul as;
Jotun gimle;
Jotun manger;
Jotun vindal;
Karmsund protein;
Kd norway as tidl marine ingredients as;
Kemira chemicals as;
Kimek as skipsverft;
Kongsberg automotive avd. rollag;
Kongsvinger vingersjøvegen eidsiva bioenergi as;
Kronos titan;
Krystal as;
Kvitebjørn varme avfallsforbrenningsanlegg skattøra;
Larvik cell as;
Larvik energisentral as;
Leca rælingen;
Longyearbyen energiverk;
Lutelandet offshore as;
Maarud as;
Magnor minerals;
Måløy sildoljefabrikk, avd. ulvesund;
Mandal castings as;
Maxit leca borge;
Meråker kjøtt as;
Metallco aluminium as;
Mills avd. drammen;
Mm follacell;
Moelven våler as;
Mongstad raffineri;
Mosjøen veveri as;
Mowi feed- forfabrikk;
Mustad hooks as;
Naturkraft kårstø;
Nera networks as;
Nestle norge a.s, hamarfabrikken;
Noah solutions langøya;
Nor tekstil as avd. voss;
Norbetong as avd sandefjord;
Norcem kjøpsvik;
Nordic paper;
Nordic paper as, avdeling geithus;
Nordic pharma inc as;
Nordic roads as;
Nordox;
Norferm da;
Norfrakalk;
Norgips norge;
Norpri ex prima;
Norsk protein a/s, avd. fredrikstad;
